material_id,formula,e_form_per_atom_mp2020_corrected,e_above_hull_mp2020_corrected_ppd_mp,wyckoff_spglib,unique_prototype,chemical_system,K300_PARC_release_seed_count,K300_raw_topK_requested_budget_seed_count,K300_raw_topR_matched_release_size_seed_count,K500_PARC_release_seed_count,K500_raw_topK_requested_budget_seed_count,K500_raw_topR_matched_release_size_seed_count,stable_exact_t0
wbm-1-412,Ag1 Pm1 Te2,-0.899679,-0.66647,ABC2_cF16_225_a_b_c:Ag-Pm-Te,True,Ag-Pm-Te,6.0,9.0,6.0,1.0,9.0,1.0,True
wbm-1-3483,As2 Br10,-0.683098,-0.065736,AB5_oP12_59_a_aef:As-Br,True,As-Br,0.0,2.0,0.0,0.0,8.0,0.0,True
wbm-1-6237,Br6 Er2,-2.37116,-2.371134,A3B_mC16_12_ij_g:Br-Er,True,Br-Er,17.0,17.0,17.0,17.0,17.0,17.0,True
wbm-1-6238,Br6 Er2,-2.309965,-2.30994,A3B_mP8_11_3e_e:Br-Er,True,Br-Er,17.0,17.0,17.0,17.0,17.0,17.0,True
wbm-1-6239,Br6 Er2,-2.303985,-2.303959,A3B_hP8_194_h_c:Br-Er,True,Br-Er,17.0,17.0,17.0,17.0,17.0,17.0,True
wbm-1-6267,Br6 I2,-0.527633,-0.249214,A3B_aP8_2_3i_i:Br-I,True,Br-I,0.0,0.0,0.0,0.0,4.0,0.0,True
wbm-1-6280,Br6 Pd2,-0.699719,-0.136665,A3B_mC16_12_ij_g:Br-Pd,True,Br-Pd,0.0,6.0,0.0,0.0,12.0,0.0,True
wbm-1-6358,Br6 Sr2,-1.866799,0.054019,A3B_hP8_176_h_c:Br-Sr,True,Br-Sr,0.0,7.0,0.0,0.0,7.0,0.0,False
wbm-1-6380,Br6 Yb2,-1.896629,-0.01169,A3B_mC16_12_ij_g:Br-Yb,True,Br-Yb,3.0,11.0,3.0,0.0,11.0,0.0,True
wbm-1-6381,Br6 Yb2,-1.829681,0.055258,A3B_hP8_176_h_c:Br-Yb,True,Br-Yb,0.0,0.0,0.0,0.0,3.0,0.0,False
wbm-1-6397,Br8 Ce2,-2.0481,-0.18754,A4B_tI20_141_h_a:Br-Ce,True,Br-Ce,2.0,10.0,2.0,0.0,10.0,0.0,True
wbm-1-6398,Br8 Ce2,-2.048858,-0.188298,A4B_tI20_88_f_a:Br-Ce,True,Br-Ce,6.0,10.0,6.0,2.0,10.0,2.0,True
wbm-1-6404,Br8 Dy2,-1.926335,-0.073443,A4B_aP10_2_4i_i:Br-Dy,True,Br-Dy,0.0,10.0,0.0,0.0,10.0,0.0,True
wbm-1-6405,Br8 Dy2,-1.858825,-0.005934,A4B_tI20_88_f_a:Br-Dy,True,Br-Dy,0.0,10.0,0.0,0.0,10.0,0.0,True
wbm-1-6406,Br8 Er2,-1.908774,-1.908747,A4B_aP10_2_4i_i:Br-Er,True,Br-Er,17.0,17.0,17.0,17.0,17.0,17.0,True
wbm-1-6407,Br8 Er2,-1.839041,-1.839014,A4B_tI20_88_f_a:Br-Er,True,Br-Er,17.0,17.0,17.0,17.0,17.0,17.0,True
wbm-1-6408,Br8 Eu2,-1.718595,-0.095968,A4B_mC20_15_2f_e:Br-Eu,True,Br-Eu,0.0,2.0,0.0,0.0,12.0,0.0,True
wbm-1-6409,Br8 Eu2,-1.706447,-0.083819,A4B_tI20_88_f_a:Br-Eu,True,Br-Eu,0.0,0.0,0.0,0.0,8.0,0.0,True
wbm-1-6410,Br8 Gd2,-1.938885,-0.03382,A4B_mC20_15_2f_e:Br-Gd,True,Br-Gd,0.0,12.0,0.0,0.0,12.0,0.0,True
wbm-1-6411,Br8 Gd2,-1.878652,0.026413,A4B_tI20_88_f_a:Br-Gd,True,Br-Gd,0.0,12.0,0.0,0.0,12.0,0.0,False
wbm-1-6415,Br8 Ho2,-1.917389,-0.07457,A4B_aP10_2_4i_i:Br-Ho,True,Br-Ho,0.0,9.0,0.0,0.0,10.0,0.0,True
wbm-1-6416,Br8 Ho2,-1.848862,-0.006043,A4B_tI20_88_f_a:Br-Ho,True,Br-Ho,0.0,9.0,0.0,0.0,10.0,0.0,True
wbm-1-6423,Br8 La2,-1.989286,-0.000477,A4B_tI20_88_f_a:Br-La,True,Br-La,0.0,12.0,0.0,0.0,12.0,0.0,True
wbm-1-6424,Br8 Lu2,-1.877165,-0.054862,A4B_aP10_2_4i_i:Br-Lu,True,Br-Lu,0.0,10.0,0.0,0.0,10.0,0.0,True
wbm-1-6425,Br8 Lu2,-1.803623,0.01868,A4B_tI20_88_f_a:Br-Lu,True,Br-Lu,0.0,9.0,0.0,0.0,10.0,0.0,False
wbm-1-6428,Br8 Nd2,-1.898442,0.000381,A4B_tI20_88_f_a:Br-Nd,True,Br-Nd,1.0,10.0,1.0,0.0,10.0,0.0,False
wbm-1-6431,Br8 Pb2,-0.940072,-0.130446,A4B_aP10_2_4i_i:Br-Pb,True,Br-Pb,0.0,9.0,0.0,0.0,9.0,0.0,True
wbm-1-6435,Br8 Pr2,-1.904071,-0.005811,A4B_tI20_88_f_a:Br-Pr,True,Br-Pr,0.0,8.0,0.0,0.0,8.0,0.0,True
wbm-1-6436,Br8 Pu2,-1.75455,-0.128597,A4B_tI20_141_h_a:Br-Pu,True,Br-Pu,0.0,11.0,0.0,0.0,11.0,0.0,True
wbm-1-6437,Br8 Pu2,-1.74943,-0.123477,A4B_tI20_88_f_a:Br-Pu,True,Br-Pu,0.0,11.0,0.0,0.0,11.0,0.0,True
wbm-1-6454,Br8 Sm2,-1.887111,5.5e-05,A4B_tI20_88_f_a:Br-Sm,True,Br-Sm,0.0,11.0,0.0,0.0,11.0,0.0,False
wbm-1-6460,Br8 Sr2,-1.773921,-0.237261,A4B_mC20_15_2f_e:Br-Sr,True,Br-Sr,0.0,7.0,0.0,0.0,7.0,0.0,True
wbm-1-6461,Br8 Sr2,-1.698471,-0.161811,A4B_tI20_88_f_a:Br-Sr,True,Br-Sr,0.0,7.0,0.0,0.0,7.0,0.0,True
wbm-1-6464,Br8 Tb2,-1.868027,-0.014424,A4B_tI20_88_f_a:Br-Tb,True,Br-Tb,0.0,11.0,0.0,0.0,11.0,0.0,True
wbm-1-6465,Br8 Tm2,-1.898421,-0.062807,A4B_aP10_2_4i_i:Br-Tm,True,Br-Tm,0.0,8.0,0.0,0.0,10.0,0.0,True
wbm-1-6466,Br8 Tm2,-1.827501,0.008113,A4B_tI20_88_f_a:Br-Tm,True,Br-Tm,0.0,7.0,0.0,0.0,10.0,0.0,False
wbm-1-6469,Br8 Yb2,-1.713155,-0.205198,A4B_mC20_15_2f_e:Br-Yb,True,Br-Yb,0.0,0.0,0.0,0.0,11.0,0.0,True
wbm-1-6470,Br8 Yb2,-1.66261,-0.154653,A4B_tI20_88_f_a:Br-Yb,True,Br-Yb,0.0,6.0,0.0,0.0,11.0,0.0,True
wbm-1-6471,Br8 Y2,-1.927367,-0.024177,A4B_aP10_2_4i_i:Br-Y,True,Br-Y,0.0,11.0,0.0,0.0,11.0,0.0,True
wbm-1-6472,Br8 Y2,-1.858872,0.044318,A4B_tI20_88_f_a:Br-Y,True,Br-Y,0.0,10.0,0.0,0.0,11.0,0.0,False
wbm-1-6476,Br10 Hf2,-1.610735,-0.042086,A5B_aP12_2_5i_i:Br-Hf,True,Br-Hf,0.0,8.0,0.0,0.0,8.0,0.0,True
wbm-1-6477,Br10 Sb2,-0.883449,-0.091489,A5B_hP12_194_fh_c:Br-Sb,True,Br-Sb,0.0,0.0,0.0,0.0,9.0,0.0,True
wbm-1-6479,Br10 Zr2,-1.588193,-0.039134,A5B_aP12_2_5i_i:Br-Zr,True,Br-Zr,0.0,8.0,0.0,0.0,10.0,0.0,True
wbm-1-6491,Br6 Mo1,-0.935293,-0.340295,A6B_hR21_148_f_a:Br-Mo,True,Br-Mo,1.0,11.0,1.0,0.0,11.0,0.0,True
wbm-1-7396,C1 Gd4 I5,-1.335166,-0.457468,AB4C5_mC20_12_a_2i_c2i:C-Gd-I,True,C-Gd-I,0.0,2.0,0.0,0.0,5.0,0.0,True
wbm-1-8396,Br6 Ca2,-1.857797,-0.014015,A3B_mC16_12_ij_g:Br-Ca,True,Br-Ca,0.0,11.0,0.0,0.0,11.0,0.0,True
wbm-1-8397,Br6 Ca2,-1.771068,0.072713,A3B_hP8_176_h_c:Br-Ca,True,Br-Ca,0.0,0.0,0.0,0.0,8.0,0.0,False
wbm-1-8414,Br8 Ca2,-1.67846,-0.203429,A4B_mC20_15_2f_e:Br-Ca,True,Br-Ca,0.0,0.0,0.0,0.0,10.0,0.0,True
wbm-1-8415,Br8 Ca2,-1.622991,-0.14796,A4B_tI20_88_f_a:Br-Ca,True,Br-Ca,0.0,9.0,0.0,0.0,11.0,0.0,True
wbm-1-9699,Cl11 Sb1,-0.857984,-0.27851,A11B_aP12_2_b5i_c:Cl-Sb,True,Cl-Sb,0.0,0.0,0.0,0.0,10.0,0.0,True
wbm-1-9744,Cl8 Cs4,-1.68241,-0.179085,A2B_tI6_139_d_a:Cl-Cs,True,Cl-Cs,2.0,11.0,2.0,0.0,11.0,0.0,True
wbm-1-9828,Cl8 Rb4,-1.663139,-0.166521,A2B_tI6_139_d_a:Cl-Rb,True,Cl-Rb,0.0,1.0,0.0,0.0,9.0,0.0,True
wbm-1-9909,Br2 Cl6,-0.417678,-0.216881,AB3_aP8_2_i_3i:Br-Cl,True,Br-Cl,0.0,0.0,0.0,0.0,7.0,0.0,True
wbm-1-9925,Ca2 Cl6,-2.049717,0.052934,AB3_mC16_12_g_ij:Ca-Cl,True,Ca-Cl,0.0,8.0,0.0,0.0,8.0,0.0,False
wbm-1-9926,Ca2 Cl6,-1.977572,0.125079,AB3_hP8_176_c_h:Ca-Cl,True,Ca-Cl,0.0,3.0,0.0,0.0,8.0,0.0,False
wbm-1-9948,Cl6 Co2,-1.042167,-0.305787,A3B_mC16_12_ij_g:Cl-Co,True,Cl-Co,0.0,11.0,0.0,0.0,11.0,0.0,True
wbm-1-9982,Cl6 Cu2,-0.7856,-0.097964,A3B_aP8_2_3i_i:Cl-Cu,True,Cl-Cu,0.0,0.0,0.0,0.0,3.0,0.0,True
wbm-1-9988,Cl6 Er2,-2.748721,-0.079643,A3B_mC16_12_ij_g:Cl-Er,True,Cl-Er,0.0,0.0,0.0,0.0,1.0,0.0,True
wbm-1-10046,Cl6 Ho2,-2.748204,-0.075567,A3B_mC16_12_ij_g:Cl-Ho,True,Cl-Ho,0.0,0.0,0.0,0.0,1.0,0.0,True
wbm-1-10049,Cl6 Cs2 I2,-1.206146,-0.054849,A3BC_cF40_225_e_c_ab:Cl-Cs-I,True,Cl-Cs-I,0.0,0.0,0.0,0.0,1.0,0.0,True
wbm-1-10064,Cl6 In2,-1.561082,-0.119464,A3B_mC16_12_ij_g:Cl-In,True,Cl-In,0.0,0.0,0.0,0.0,1.0,0.0,True
wbm-1-10065,Cl6 In2,-1.561117,-0.119498,A3B_hR24_148_f_c:Cl-In,True,Cl-In,0.0,0.0,0.0,0.0,1.0,0.0,True
wbm-1-10137,Cl6 Lu2,-2.743423,-0.08566,A3B_mC16_12_ij_g:Cl-Lu,True,Cl-Lu,0.0,0.0,0.0,0.0,1.0,0.0,True
wbm-1-10154,Cl6 Mn2,-1.267047,-0.145754,A3B_mC16_12_ij_g:Cl-Mn,True,Cl-Mn,3.0,14.0,3.0,0.0,14.0,0.0,True
wbm-1-10155,Cl6 Mn2,-1.394724,-0.273431,A3B_hR24_148_f_c:Cl-Mn,True,Cl-Mn,3.0,14.0,3.0,0.0,14.0,0.0,True
wbm-1-10156,Cl6 Mn2,-1.367649,-0.246356,A3B_hP8_193_g_b:Cl-Mn,True,Cl-Mn,0.0,14.0,0.0,0.0,14.0,0.0,True
wbm-1-10169,Cl6 Ni2,-0.911338,-0.133818,A3B_mC16_12_ij_g:Cl-Ni,True,Cl-Ni,0.0,9.0,0.0,0.0,9.0,0.0,True
wbm-1-10175,Cl6 Pd2,-0.820297,-0.152627,A3B_mC16_12_ij_g:Cl-Pd,True,Cl-Pd,0.0,10.0,0.0,0.0,10.0,0.0,True
wbm-1-10281,Cl6 Sr2,-2.065144,0.105834,A3B_hP8_176_h_c:Cl-Sr,True,Cl-Sr,1.0,12.0,1.0,0.0,12.0,0.0,False
wbm-1-10310,Cl6 U2,-2.123189,0.04504,A3B_hR24_148_f_c:Cl-U,True,Cl-U,0.0,0.0,0.0,0.0,3.0,0.0,False
wbm-1-10360,Ca2 Cl8,-1.758004,-0.075876,AB4_oI20_74_e_hi:Ca-Cl,True,Ca-Cl,0.0,8.0,0.0,0.0,8.0,0.0,True
wbm-1-10361,Ca2 Cl8,-1.881244,-0.199116,AB4_aP10_2_i_4i:Ca-Cl,True,Ca-Cl,0.0,8.0,0.0,0.0,8.0,0.0,True
wbm-1-10364,Ce2 Cl8,-2.392334,-0.226878,AB4_mP10_13_e_2g:Ce-Cl,True,Ce-Cl,4.0,12.0,4.0,0.0,12.0,0.0,True
wbm-1-10365,Ce2 Cl8,-2.391604,-0.226148,AB4_tI20_141_a_h:Ce-Cl,True,Ce-Cl,9.0,12.0,9.0,5.0,12.0,5.0,True
wbm-1-10366,Ce2 Cl8,-2.390819,-0.225363,AB4_tI20_88_a_f:Ce-Cl,True,Ce-Cl,10.0,12.0,10.0,6.0,12.0,6.0,True
wbm-1-10385,Cl8 Cu2 Rb2,-1.336392,-0.099098,A4BC_mC24_15_2f_c_e:Cl-Cu-Rb,True,Cl-Cu-Rb,0.0,0.0,0.0,0.0,5.0,0.0,True
wbm-1-10388,Cl8 Dy2,-2.125638,0.044582,A4B_mP10_13_2g_e:Cl-Dy,True,Cl-Dy,6.0,12.0,6.0,1.0,12.0,1.0,False
wbm-1-10389,Cl8 Dy2,-2.282219,-0.111999,A4B_mC20_12_2ij_i:Cl-Dy,True,Cl-Dy,0.0,12.0,0.0,0.0,12.0,0.0,True
wbm-1-10390,Cl8 Dy2,-2.12789,0.04233,A4B_tI20_88_f_a:Cl-Dy,True,Cl-Dy,0.0,10.0,0.0,0.0,12.0,0.0,False
