chemical_system,drift_class,n
Ac-Al-Se,stable_to_stable,1
Ac-As-Pd,stable_to_unstable,1
Ac-As-Pt,stable_to_unstable,1
Ac-Au-Pt,stable_to_stable,1
Ac-Ga-Pt,stable_to_unstable,1
Ac-Ga-Se,stable_to_stable,1
Ac-In-Pt,stable_to_unstable,1
Ac-Ir-Pt,stable_to_stable,1
Ac-K-Pt,stable_to_stable,1
Ac-K-Se,stable_to_stable,1
Ac-Li-Se,stable_to_stable,1
Ac-Na-Se,stable_to_stable,1
Ac-P-Pt,stable_to_stable,1
Ac-Pb-Se,stable_to_stable,1
Ac-Pd,stable_to_stable,2
Ac-Pd-Pt,stable_to_stable,1
Ac-Pd-Rh,stable_to_stable,1
Ac-Pt,stable_to_stable,4
Ac-Pt-Rh,stable_to_stable,1
Ac-Pt-Sn,stable_to_stable,1
Ac-Rb-Se,stable_to_stable,1
Ac-Se,stable_to_stable,1
Ac-Se-Sn,stable_to_stable,1
Ac-Se-Tl,stable_to_stable,1
Ac-Te,stable_to_stable,1
Ag-Br-Co,stable_to_stable,1
Ag-Cl-Li,stable_to_stable,1
Ag-F,stable_to_unstable,1
Ag-F-K,stable_to_unstable,1
Ag-F-Na,stable_to_unstable,1
Ag-F-Rb,stable_to_unstable,1
Ag-Pa-Rb-Se,stable_to_stable,1
Ag-Pm-Te,stable_to_unstable,1
Al-Br-Er,stable_to_stable,3
Al-Ca-F,unstable_to_unstable,2
Al-Cd-F,unstable_to_unstable,1
Al-Cl-Cs,unstable_to_stable,1
Al-Cl-K,stable_to_stable,1
Al-Cl-Rb,unstable_to_stable,1
Al-F-Na,unstable_to_unstable,1
Al-F-Ni,unstable_to_unstable,1
Al-F-Pa,stable_to_unstable,2
Al-F-Sr,unstable_to_unstable,3
Al-F-Yb,unstable_to_unresolved,1
Al-Gd-I,stable_to_stable,1
Al-Pm-Te,stable_to_stable,2
As-Br,stable_to_stable,1
As-Br-Er,stable_to_stable,3
As-Cl,stable_to_stable,1
As-Cl,unstable_to_stable,1
As-Gd-I,stable_to_stable,2
As-Pm-Pt,stable_to_unstable,1
Au-Br-Se,stable_to_stable,1
Au-F-Na,stable_to_unstable,1
Au-Pm-Te,stable_to_unstable,1
Ba-Br,stable_to_stable,4
Ba-Br,unstable_to_stable,1
Ba-Br-Ca,stable_to_stable,1
Ba-Br-Er,stable_to_stable,2
Ba-Br-Sr,stable_to_unstable,1
Ba-Br-Yb,stable_to_unresolved,1
Ba-Ca-Cl,stable_to_unstable,1
Ba-Ca-F,unstable_to_unstable,4
Ba-Ca-F-Na,unstable_to_unstable,1
Ba-Cd-F,unstable_to_unstable,1
Ba-Cl,stable_to_unstable,3
Ba-Cl,unstable_to_unstable,2
Ba-Cl-Sr,stable_to_stable,1
Ba-Cl-Yb,stable_to_unresolved,1
Ba-Cu-F,stable_to_unstable,2
Ba-Dy-F,unstable_to_unstable,1
Ba-Dy-F-Li,unstable_to_unstable,1
Ba-Dy-F-Na,unstable_to_unstable,1
Ba-Er-F,unstable_to_unstable,1
Ba-Er-F-Li,unstable_to_unstable,1
Ba-Eu-F,unstable_to_unstable,2
Ba-Eu-F-Na,stable_to_unstable,1
Ba-F,unstable_to_unstable,1
Ba-F-Gd,stable_to_unstable,3
Ba-F-Gd-Li,stable_to_unstable,1
Ba-F-Gd-Na,unstable_to_unstable,1
Ba-F-Hg,stable_to_unstable,3
Ba-F-Ho,unstable_to_unstable,1
Ba-F-Ho-Li,unstable_to_unstable,1
Ba-F-In,unstable_to_unstable,1
Ba-F-La,unstable_to_unstable,2
Ba-F-La-Na,unstable_to_unstable,1
Ba-F-Li,unstable_to_unstable,1
Ba-F-Li-Pa,stable_to_unstable,1
Ba-F-Li-Sm,unstable_to_unstable,1
Ba-F-Li-Tb,unstable_to_unstable,1
Ba-F-Li-Tm,unstable_to_unstable,1
Ba-F-Li-Y,unstable_to_unstable,1
Ba-F-Lu,unstable_to_unstable,2
Ba-F-Mg,stable_to_unstable,1
Ba-F-Mg,unstable_to_unstable,1
Ba-F-Na,unstable_to_unstable,1
Ba-F-Na-Sm,unstable_to_unstable,1
Ba-F-Na-Tb,unstable_to_unstable,1
Ba-F-Na-Y,unstable_to_unstable,1
Ba-F-Pa,stable_to_unstable,1
Ba-F-Sc,unstable_to_unstable,2
Ba-F-Sm,unstable_to_unstable,1
Ba-F-Sr,stable_to_unstable,1
Ba-F-Sr,unstable_to_unstable,1
Ba-F-Tm,unstable_to_unstable,1
Ba-F-Y,unstable_to_unstable,2
Ba-F-Yb,unstable_to_unresolved,3
Ba-F-Zn,unstable_to_unstable,1
Ba-Gd-I,stable_to_unstable,2
Ba-I,stable_to_unstable,2
Ba-I,unstable_to_unstable,1
Ba-Pa-Se,stable_to_stable,1
Bi-Br,stable_to_stable,1
Bi-Cl,stable_to_unstable,2
Bi-Gd-I,stable_to_unstable,2
Bi-Pa-Se,stable_to_stable,1
Bi-Pm-Pt,stable_to_unstable,1
Br-C-N-Np,unstable_to_unstable,1
Br-Ca,stable_to_stable,6
Br-Ca,unstable_to_stable,3
Br-Cd,unstable_to_stable,1
Br-Cd-Se,stable_to_stable,1
Br-Ce,stable_to_stable,3
Br-Ce-Se,stable_to_unstable,1
Br-Cl,stable_to_stable,1
Br-Cl-Er,stable_to_stable,1
Br-Co,stable_to_stable,6
Br-Co-Pd,stable_to_stable,1
Br-Co-Zn,stable_to_stable,1
Br-Cr,stable_to_stable,2
Br-Cs-Dy,unstable_to_stable,2
Br-Cs-Lu,unstable_to_stable,1
Br-Cs-Pu,stable_to_stable,1
Br-Cs-Tm,unstable_to_stable,2
Br-Cu,stable_to_stable,1
Br-Cu-Er,stable_to_stable,1
Br-Dy,stable_to_stable,3
Br-Dy-K,unstable_to_stable,1
Br-Er,stable_to_stable,14
Br-Er-F,stable_to_unstable,1
Br-Er-Ga,stable_to_stable,3
Br-Er-Ge,stable_to_stable,4
Br-Er-H,stable_to_stable,4
Br-Er-In,stable_to_unstable,3
Br-Er-K,stable_to_stable,4
Br-Er-K-Rb,stable_to_stable,1
Br-Er-Li-Rb,stable_to_stable,1
Br-Er-N,stable_to_stable,7
Br-Er-Na-Rb,stable_to_stable,1
Br-Er-Ni,stable_to_unstable,1
Br-Er-P,stable_to_stable,3
Br-Er-Pb,stable_to_stable,3
Br-Er-Rb,stable_to_stable,3
Br-Er-Rh,stable_to_unstable,1
Br-Er-Ru,stable_to_unstable,1
Br-Er-S,stable_to_stable,3
Br-Er-Sb,stable_to_stable,2
Br-Er-Se,stable_to_stable,2
Br-Er-Si,stable_to_stable,4
Br-Er-Sn,stable_to_stable,5
Br-Er-Zn,stable_to_stable,1
Br-Eu,stable_to_unstable,2
Br-Fe,stable_to_stable,2
Br-Gd,stable_to_stable,1
Br-Gd,unstable_to_stable,2
Br-Hf,stable_to_stable,1
Br-Hf,unstable_to_stable,1
Br-Hg,unstable_to_stable,1
Br-Ho,stable_to_stable,3
Br-Ho-K,unstable_to_stable,1
Br-I,stable_to_stable,1
Br-I-V,stable_to_stable,1
Br-K-Mg,stable_to_stable,1
Br-K-Mn,stable_to_stable,1
Br-K-Rb,unstable_to_stable,1
Br-La,stable_to_stable,1
Br-La,unstable_to_stable,1
Br-Lu,stable_to_stable,2
Br-Lu,unstable_to_stable,1
Br-Lu-Rb,stable_to_stable,2
Br-Mg,stable_to_stable,3
