dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
OVT-B,40,ovtb_v40_p002411,uncertain,insufficient_visual_evidence,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
OVT-B,40,ovtb_v40_p002405,uncertain,insufficient_visual_evidence,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
OVT-B,40,ovtb_v40_p002432,uncertain,insufficient_visual_evidence,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
OVT-B,37,ovtb_v37_p002226,uncertain,insufficient_visual_evidence,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
OVT-B,144,ovtb_v144_p003247,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,130,ovtb_v130_p003147,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,130,ovtb_v130_p003148,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,241,ovtb_v241_p003843,uncertain,ambiguous_category,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
OVT-B,247,ovtb_v247_p003883,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,168,ovtb_v168_p003363,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,168,ovtb_v168_p003362,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,159,ovtb_v159_p003322,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,219,ovtb_v219_p003670,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,169,ovtb_v169_p003368,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,159,ovtb_v159_p003320,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,53,ovtb_v53_p002693,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,53,ovtb_v53_p002698,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,81,ovtb_v81_p002855,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,53,ovtb_v53_p002694,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,53,ovtb_v53_p002679,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,53,ovtb_v53_p002684,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,80,ovtb_v80_p002842,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,53,ovtb_v53_p002691,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,81,ovtb_v81_p002856,actually_false,wrong_category,human_visual_audit_v2_second_pass,high,second_pass_confirmed,no
OVT-B,53,ovtb_v53_p002682,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
OVT-B,85,ovtb_v85_p002894,actually_true,real_unlabeled_object,human_visual_audit_v2_second_pass,high,second_pass_confirmed,yes
OVT-B,85,ovtb_v85_p002883,uncertain,too_small,human_visual_audit_v2_second_pass,medium,second_pass_confirmed,no
