dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path,method,candidate_budget_M,selected_rank,e_value,p_any,p_block,tau_k,self_consistency_margin,release_source
OVT-B,800,ovtb_v800_p007871,woodpecker,1043,0.9352359622716904,0.9352359622716904,0.9352359622716904,8,0.875,6330.0,0.94977016860633,1.0,False,cat:1043,unknown,woodpecker,unknown,global,0,13,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v800_p007871.jpg,parc_track_gamma_tuned_uniform_scs,150,1,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,342,ovtb_v342_p004580,sunglasses,900,0.9201071858406068,0.9201071858406068,0.9201071858406068,1,0.0,3408.0,0.5745836617949662,1.0,False,cat:900,unknown,sunglasses,unknown,global,2,2,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004580.jpg,parc_track_gamma_tuned_uniform_scs,150,2,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,179,ovtb_v179_p003418,person,669,0.9143435582518578,0.9143435582518578,0.9143435582518578,8,0.875,2326.0,0.9827760689328732,1.0,False,cat:669,unknown,person,unknown,global,0,24,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v179_p003418.jpg,parc_track_gamma_tuned_uniform_scs,150,3,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,342,ovtb_v342_p004579,sunglasses,900,0.9125274845532008,0.9125274845532008,0.9125274845532008,7,0.8571428571428571,3408.0,0.8304087723025503,1.0,False,cat:900,unknown,sunglasses,unknown,global,0,15,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004579.jpg,parc_track_gamma_tuned_uniform_scs,150,4,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,678,ovtb_v678_p006989,person,669,0.9092995268957956,0.9092995268957956,0.9092995268957956,7,0.8571428571428571,5576.0,0.9950654857142912,1.0,False,cat:669,unknown,person,unknown,global,3,19,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v678_p006989.jpg,parc_track_gamma_tuned_uniform_scs,150,5,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,827,ovtb_v827_p008082,coffee maker,231,0.9070333689451218,0.9070333689451218,0.9070333689451218,8,0.875,6459.0,0.9572698942360852,1.0,False,cat:231,unknown,coffee maker,unknown,global,0,11,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v827_p008082.jpg,parc_track_gamma_tuned_uniform_scs,150,6,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,541,ovtb_v541_p005916,person,669,0.9061993435025216,0.9061993435025216,0.9061993435025216,8,0.875,4612.0,0.9842825413144666,1.0,False,cat:669,unknown,person,unknown,global,0,16,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v541_p005916.jpg,parc_track_gamma_tuned_uniform_scs,150,7,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,682,ovtb_v682_p007020,person,669,0.9047021120786668,0.9047021120786668,0.9047021120786668,8,0.875,5596.0,0.9835531858870604,1.0,False,cat:669,unknown,person,unknown,global,0,11,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v682_p007020.jpg,parc_track_gamma_tuned_uniform_scs,150,8,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,100,ovtb_v100_p002971,whale,1025,0.9023276567459106,0.9023276567459106,0.9023276567459106,1,0.0,1932.0,0.930891911276344,1.0,False,cat:1025,unknown,whale,unknown,global,123,123,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v100_p002971.jpg,parc_track_gamma_tuned_uniform_scs,150,9,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,244,ovtb_v244_p003861,person,669,0.9020402356982232,0.9020402356982232,0.9020402356982232,8,0.875,2748.0,0.9933931613184503,1.0,False,cat:669,unknown,person,unknown,global,0,29,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v244_p003861.jpg,parc_track_gamma_tuned_uniform_scs,150,10,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,47,ovtb_v47_p002638,cattle,180,0.9014828577637672,0.9014828577637672,0.9014828577637672,8,0.875,1792.0,0.8733893694376861,1.0,False,cat:180,unknown,cattle,unknown,global,0,188,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v47_p002638.jpg,parc_track_gamma_tuned_uniform_scs,150,11,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,654,ovtb_v654_p006774,person,669,0.9006390124559402,0.9006390124559402,0.9006390124559402,8,0.875,5431.0,0.9937079000469622,1.0,False,cat:669,unknown,person,unknown,global,0,24,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v654_p006774.jpg,parc_track_gamma_tuned_uniform_scs,150,12,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,499,ovtb_v499_p005625,person,669,0.8990471959114075,0.8990471959114075,0.8990471959114075,8,0.875,4352.0,0.9932157462082956,1.0,False,cat:669,unknown,person,unknown,global,0,24,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v499_p005625.jpg,parc_track_gamma_tuned_uniform_scs,150,13,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,541,ovtb_v541_p005915,person,669,0.8986018747091293,0.8986018747091293,0.8986018747091293,8,0.875,4611.0,0.9923619989649748,1.0,False,cat:669,unknown,person,unknown,global,0,16,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v541_p005915.jpg,parc_track_gamma_tuned_uniform_scs,150,14,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
