dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path
TAO,4411,ovtb_v4411_p002619,baby,805,0.8445644804409572,0.8445644804409572,0.8445644804409572,7,0.8571428571428571,,0.0,0.0,True,cat:805,unknown,baby,unknown,global,0,825,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_02/audit_viewer/montages/ovtb_v4411_p002619.jpg
TAO,3326,ovtb_v3326_p001814,baby,805,0.8427113592624664,0.8427113592624664,0.8427113592624664,4,0.75,,0.0,0.0,True,cat:805,unknown,baby,unknown,global,528,936,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_02/audit_viewer/montages/ovtb_v3326_p001814.jpg
TAO,3343,ovtb_v3343_p001912,baby,805,0.7572084863980612,0.7572084863980612,0.7572084863980612,6,0.8333333333333334,19905.0,0.4807092642570425,0.0,True,cat:805,unknown,baby,unknown,global,180,1170,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_01/audit_viewer/montages/ovtb_v3343_p001912.jpg
TAO,3542,ovtb_v3542_p002032,baby,805,0.7293079569935799,0.7293079569935799,0.7293079569935799,4,0.75,21188.0,0.2936335155272658,0.0,True,cat:805,unknown,baby,unknown,global,0,570,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_02/audit_viewer/montages/ovtb_v3542_p002032.jpg
TAO,5781,ovtb_v5781_p004235,baby,805,0.7214404046535492,0.7214404046535492,0.7214404046535492,2,0.5,34377.0,0.0031573891338984,0.0,True,cat:805,unknown,baby,unknown,global,990,1170,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v5781_p004235.jpg
TAO,3165,ovtb_v3165_p001627,baby,805,0.7143675088882446,0.7143675088882446,0.7143675088882446,3,0.6666666666666666,18721.0,0.1521630933611052,0.0,True,cat:805,unknown,baby,unknown,global,0,990,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_02/audit_viewer/montages/ovtb_v3165_p001627.jpg
TAO,5092,ovtb_v5092_p003497,baby,805,0.7121007740497589,0.7121007740497589,0.7121007740497589,2,0.5,30751.0,0.0062063280194362,0.0,True,cat:805,unknown,baby,unknown,global,792,936,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_02/audit_viewer/montages/ovtb_v5092_p003497.jpg
TAO,3382,ovtb_v3382_p002049,baby,805,0.6966312328974406,0.6966312328974406,0.6966312328974406,3,0.6666666666666666,20154.0,0.2015899422525488,0.0,True,cat:805,unknown,baby,unknown,global,420,960,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v3382_p002049.jpg
TAO,4172,ovtb_v4172_p002683,baby,805,0.6792639046907425,0.6792639046907425,0.6792639046907425,4,0.75,25494.0,0.0263839715635374,0.0,True,cat:805,unknown,baby,unknown,global,60,450,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v4172_p002683.jpg
TAO,3472,ovtb_v3472_p002083,baby,805,0.6778478920459747,0.6778478920459747,0.6778478920459747,2,0.5,,0.0,0.0,True,cat:805,unknown,baby,unknown,global,840,990,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_01/audit_viewer/montages/ovtb_v3472_p002083.jpg
