method,alpha1,seed,candidate_budget_M,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,empty_reason,empty_diagnostic,unsupported_audited,unsupported_audit_coverage_rate,unsupported_audit_fully_covered
unmatched_as_false_block,0.05,0,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,0,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,0,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,0,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
unmatched_as_false_block,0.05,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0.0,1.0,True
null_superset_no_audit,0.05,0,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,0,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,0,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,0,200,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
null_superset_no_audit,0.05,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,0,75,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,0,125,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,0,175,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0,True
