alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_reason,empty_diagnostic,release_feasible,is_empty,released
0.05,0,unmatched_as_false_block,75,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-13.917237469701782,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,unmatched_as_false_block,100,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-15.03344519141622,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,unmatched_as_false_block,125,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-15.03344519141622,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,unmatched_as_false_block,150,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.15292318766573,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,unmatched_as_false_block,175,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.33195618148509,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,unmatched_as_false_block,200,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.33195618148509,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,unmatched_as_false_block,250,708.0,591.0,591.0,0.0016891891891891,0.5,0.1566537104442394,12.16552506059644,12.16552506059644,-16.95861873485089,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,True,True,0
0.05,0,null_superset_no_audit,75,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-9.402025970654432,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,True,True,0
0.05,0,null_superset_no_audit,100,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-10.678621715335284,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,True,True,0
0.05,0,null_superset_no_audit,125,708.0,591.0,591.0,0.0016891891891891,0.1566537104442394,0.1566537104442394,34.11677023775056,34.11677023775056,-12.471352889450609,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,True,True,0
