method,alpha1,candidate_budget_M,rows,nonempty_rows,released_sum,unsupported_sum,unsupported_unlabeled_sum,min_coverage,all_unsupported_covered
confidence_threshold,0.05,75,3,3,225,0,0.0,1.0,True
confidence_threshold,0.05,100,3,3,300,4,0.0,1.0,True
confidence_threshold,0.05,125,3,3,375,7,0.0,1.0,True
confidence_threshold,0.05,150,3,3,450,13,0.0,1.0,True
confidence_threshold,0.05,175,3,3,525,19,0.0,1.0,True
confidence_threshold,0.05,200,3,3,600,22,0.0,1.0,True
confidence_threshold,0.05,250,3,3,750,34,0.0,1.0,True
confidence_threshold,0.1,75,3,3,225,0,0.0,1.0,True
confidence_threshold,0.1,100,3,3,300,4,0.0,1.0,True
confidence_threshold,0.1,125,3,3,375,7,0.0,1.0,True
confidence_threshold,0.1,150,3,3,450,13,0.0,1.0,True
confidence_threshold,0.1,175,3,3,525,19,0.0,1.0,True
confidence_threshold,0.1,200,3,3,600,22,0.0,1.0,True
confidence_threshold,0.1,250,3,3,750,34,0.0,1.0,True
confidence_threshold,0.2,75,3,3,225,0,0.0,1.0,True
confidence_threshold,0.2,100,3,3,300,4,0.0,1.0,True
confidence_threshold,0.2,125,3,3,375,7,0.0,1.0,True
confidence_threshold,0.2,150,3,3,450,13,0.0,1.0,True
confidence_threshold,0.2,175,3,3,525,19,0.0,1.0,True
confidence_threshold,0.2,200,3,3,600,22,0.0,1.0,True
confidence_threshold,0.2,250,3,3,750,34,0.0,1.0,True
greedy_score_no_risk,0.05,75,3,3,225,0,0.0,1.0,True
greedy_score_no_risk,0.05,100,3,3,300,4,0.0,1.0,True
greedy_score_no_risk,0.05,125,3,3,375,7,0.0,1.0,True
greedy_score_no_risk,0.05,150,3,3,450,13,0.0,1.0,True
greedy_score_no_risk,0.05,175,3,3,525,19,0.0,1.0,True
greedy_score_no_risk,0.05,200,3,3,600,22,0.0,1.0,True
greedy_score_no_risk,0.05,250,3,3,750,34,0.0,1.0,True
greedy_score_no_risk,0.1,75,3,3,225,0,0.0,1.0,True
greedy_score_no_risk,0.1,100,3,3,300,4,0.0,1.0,True
greedy_score_no_risk,0.1,125,3,3,375,7,0.0,1.0,True
greedy_score_no_risk,0.1,150,3,3,450,13,0.0,1.0,True
greedy_score_no_risk,0.1,175,3,3,525,19,0.0,1.0,True
greedy_score_no_risk,0.1,200,3,3,600,22,0.0,1.0,True
greedy_score_no_risk,0.1,250,3,3,750,34,0.0,1.0,True
greedy_score_no_risk,0.2,75,3,3,225,0,0.0,1.0,True
greedy_score_no_risk,0.2,100,3,3,300,4,0.0,1.0,True
greedy_score_no_risk,0.2,125,3,3,375,7,0.0,1.0,True
greedy_score_no_risk,0.2,150,3,3,450,13,0.0,1.0,True
greedy_score_no_risk,0.2,175,3,3,525,19,0.0,1.0,True
greedy_score_no_risk,0.2,200,3,3,600,22,0.0,1.0,True
greedy_score_no_risk,0.2,250,3,3,750,34,0.0,1.0,True
null_superset_no_audit,0.05,75,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.05,100,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.05,125,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.05,150,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.05,175,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.05,200,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.05,250,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.1,75,3,3,225,0,0.0,1.0,True
null_superset_no_audit,0.1,100,3,2,65,0,0.0,1.0,True
null_superset_no_audit,0.1,125,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.1,150,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.1,175,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.1,200,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.1,250,3,0,0,0,0.0,1.0,True
null_superset_no_audit,0.2,75,3,3,225,0,0.0,1.0,True
null_superset_no_audit,0.2,100,3,3,300,4,3.0,0.0,False
null_superset_no_audit,0.2,125,3,3,375,7,6.0,0.0,False
null_superset_no_audit,0.2,150,3,3,421,12,11.0,0.0,False
null_superset_no_audit,0.2,175,3,3,381,12,10.0,0.14285714285714285,False
null_superset_no_audit,0.2,200,3,2,65,0,0.0,1.0,True
null_superset_no_audit,0.2,250,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,75,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,100,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,125,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,150,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,175,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,200,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.05,250,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,75,3,3,225,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,100,3,3,271,2,2.0,0.0,False
parc_track_gamma_tuned_uniform_scs,0.1,125,3,1,41,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,150,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,175,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,200,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.1,250,3,0,0,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.2,75,3,3,225,0,0.0,1.0,True
parc_track_gamma_tuned_uniform_scs,0.2,100,3,3,300,4,3.0,0.0,False
parc_track_gamma_tuned_uniform_scs,0.2,125,3,3,375,7,6.0,0.0,False
parc_track_gamma_tuned_uniform_scs,0.2,150,3,3,424,12,11.0,0.0,False
parc_track_gamma_tuned_uniform_scs,0.2,175,3,3,391,12,10.0,0.14285714285714285,False
parc_track_gamma_tuned_uniform_scs,0.2,200,3,3,277,3,3.0,0.0,False
parc_track_gamma_tuned_uniform_scs,0.2,250,3,1,41,0,0.0,1.0,True
post_filter_e_bh,0.05,75,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.05,100,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.05,125,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.05,150,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.05,175,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.05,200,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.05,250,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.1,75,3,3,225,0,0.0,1.0,True
post_filter_e_bh,0.1,100,3,3,271,2,0.0,1.0,True
post_filter_e_bh,0.1,125,3,1,41,0,0.0,1.0,True
post_filter_e_bh,0.1,150,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.1,175,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.1,200,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.1,250,3,0,0,0,0.0,1.0,True
post_filter_e_bh,0.2,75,3,3,225,0,0.0,1.0,True
post_filter_e_bh,0.2,100,3,3,300,4,0.0,1.0,True
post_filter_e_bh,0.2,125,3,3,375,7,0.0,1.0,True
post_filter_e_bh,0.2,150,3,3,424,12,0.0,1.0,True
post_filter_e_bh,0.2,175,3,3,391,12,0.0,1.0,True
post_filter_e_bh,0.2,200,3,3,277,3,0.0,1.0,True
post_filter_e_bh,0.2,250,3,1,41,0,0.0,1.0,True
tracklet_e_bh,0.05,75,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.05,100,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.05,125,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.05,150,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.05,175,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.05,200,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.05,250,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.1,75,3,3,225,0,0.0,1.0,True
tracklet_e_bh,0.1,100,3,3,300,4,0.0,1.0,True
tracklet_e_bh,0.1,125,3,3,334,6,0.0,1.0,True
tracklet_e_bh,0.1,150,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.1,175,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.1,200,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.1,250,3,0,0,0,0.0,1.0,True
tracklet_e_bh,0.2,75,3,3,225,0,0.0,1.0,True
tracklet_e_bh,0.2,100,3,3,300,4,0.0,1.0,True
tracklet_e_bh,0.2,125,3,3,375,7,0.0,1.0,True
tracklet_e_bh,0.2,150,3,3,450,13,0.0,1.0,True
tracklet_e_bh,0.2,175,3,3,525,19,0.0,1.0,True
tracklet_e_bh,0.2,200,3,3,600,22,0.0,1.0,True
tracklet_e_bh,0.2,250,3,3,750,34,0.0,1.0,True
tracklet_p_bh,0.05,75,3,3,225,0,0.0,1.0,True
tracklet_p_bh,0.05,100,3,3,300,4,0.0,1.0,True
tracklet_p_bh,0.05,125,3,3,375,7,0.0,1.0,True
tracklet_p_bh,0.05,150,3,3,450,13,0.0,1.0,True
tracklet_p_bh,0.05,175,3,3,525,19,0.0,1.0,True
tracklet_p_bh,0.05,200,3,3,600,22,0.0,1.0,True
tracklet_p_bh,0.05,250,3,3,750,34,0.0,1.0,True
tracklet_p_bh,0.1,75,3,3,225,0,0.0,1.0,True
tracklet_p_bh,0.1,100,3,3,300,4,0.0,1.0,True
tracklet_p_bh,0.1,125,3,3,375,7,0.0,1.0,True
tracklet_p_bh,0.1,150,3,3,450,13,0.0,1.0,True
tracklet_p_bh,0.1,175,3,3,525,19,0.0,1.0,True
tracklet_p_bh,0.1,200,3,3,600,22,0.0,1.0,True
tracklet_p_bh,0.1,250,3,3,750,34,0.0,1.0,True
tracklet_p_bh,0.2,75,3,3,225,0,0.0,1.0,True
tracklet_p_bh,0.2,100,3,3,300,4,0.0,1.0,True
tracklet_p_bh,0.2,125,3,3,375,7,0.0,1.0,True
tracklet_p_bh,0.2,150,3,3,450,13,0.0,1.0,True
tracklet_p_bh,0.2,175,3,3,525,19,0.0,1.0,True
tracklet_p_bh,0.2,200,3,3,600,22,0.0,1.0,True
tracklet_p_bh,0.2,250,3,3,750,34,0.0,1.0,True
unmatched_as_false_block,0.05,75,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.05,100,3,0,0,0,0.0,1.0,True
unmatched_as_false_block,0.05,125,3,0,0,0,0.0,1.0,True
