alpha1,seed,M,released_total,tau_k,margin,unsupported_rank,dataset,video_id,path_id,query,score,selected_e,candidate_rank,matched_iou,temporal_overlap,path_length,label,is_audit_covered,reason
0.1,0,75,75,10.0,0.5544921588232796,1,TAO,5294,ovtb_v5294_p003687,giraffe,0.947701334953308,33.97091768583136,4,0.0,0.0,1,,False,
0.1,0,75,75,10.0,0.5544921588232796,2,TAO,5294,ovtb_v5294_p003686,giraffe,0.9103640913963318,33.97091768583136,35,0.0,0.0,1,,False,
0.1,0,75,75,10.0,0.5544921588232796,3,TAO,4807,ovtb_v4807_p003151,surfboard,0.8699007034301758,10.55449215882328,157,0.4896854325062336,0.0,1,,False,
0.1,1,75,75,10.0,0.5834836849301528,1,TAO,5294,ovtb_v5294_p003687,giraffe,0.947701334953308,34.068163221773965,4,0.0,0.0,1,,False,
0.1,1,75,75,10.0,0.5834836849301528,2,TAO,5294,ovtb_v5294_p003686,giraffe,0.9103640913963318,34.068163221773965,35,0.0,0.0,1,,False,
0.1,1,75,75,10.0,0.5834836849301528,3,TAO,4773,ovtb_v4773_p003221,surfboard,0.8971291780471802,34.068163221773965,62,0.467030248975283,0.0,1,,False,
0.1,1,75,75,10.0,0.5834836849301528,4,TAO,4773,ovtb_v4773_p003222,surfboard,0.87847501039505,13.489320694998458,119,0.4992024787398114,0.0,1,,False,
0.1,2,75,75,10.0,0.4964655393578301,1,TAO,5294,ovtb_v5294_p003687,giraffe,0.947701334953308,33.776299976401,4,0.0,0.0,1,,False,
0.1,2,75,75,10.0,0.4964655393578301,2,TAO,5294,ovtb_v5294_p003686,giraffe,0.9103640913963318,33.776299976401,35,0.0,0.0,1,,False,
0.1,2,75,75,10.0,0.4964655393578301,3,TAO,4807,ovtb_v4807_p003151,surfboard,0.8699007034301758,10.49646553935783,157,0.4896854325062336,0.0,1,,False,
