method,alpha1,candidate_budget_M,released_mean,released_std,released_max,nonempty_rate,utr_mean,conservative_ftr_mean,margin_mean,unsupported_unlabeled_sum
confidence_threshold,0.05,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
confidence_threshold,0.05,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
confidence_threshold,0.05,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
confidence_threshold,0.05,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
confidence_threshold,0.05,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
confidence_threshold,0.05,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
confidence_threshold,0.05,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
confidence_threshold,0.1,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
confidence_threshold,0.1,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
confidence_threshold,0.1,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
confidence_threshold,0.1,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
confidence_threshold,0.1,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
confidence_threshold,0.1,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
confidence_threshold,0.1,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
confidence_threshold,0.2,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
confidence_threshold,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
confidence_threshold,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
confidence_threshold,0.2,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
confidence_threshold,0.2,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
confidence_threshold,0.2,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
confidence_threshold,0.2,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
greedy_score_no_risk,0.05,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
greedy_score_no_risk,0.05,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
greedy_score_no_risk,0.05,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
greedy_score_no_risk,0.05,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
greedy_score_no_risk,0.05,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
greedy_score_no_risk,0.05,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
greedy_score_no_risk,0.05,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
greedy_score_no_risk,0.1,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
greedy_score_no_risk,0.1,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
greedy_score_no_risk,0.1,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
greedy_score_no_risk,0.1,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
greedy_score_no_risk,0.1,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
greedy_score_no_risk,0.1,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
greedy_score_no_risk,0.1,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
greedy_score_no_risk,0.2,75,75.0,0.0,75,1.0,0.0,0.9555555555555556,,0.0
greedy_score_no_risk,0.2,100,100.0,0.0,100,1.0,0.013333333333333334,0.9666666666666667,,0.0
greedy_score_no_risk,0.2,125,125.0,0.0,125,1.0,0.018666666666666668,0.9733333333333333,,0.0
greedy_score_no_risk,0.2,150,150.0,0.0,150,1.0,0.028888888888888867,0.9755555555555556,,0.0
greedy_score_no_risk,0.2,175,175.0,0.0,175,1.0,0.036190476190476134,0.9752380952380952,,0.0
greedy_score_no_risk,0.2,200,200.0,0.0,200,1.0,0.03666666666666667,0.9783333333333334,,0.0
greedy_score_no_risk,0.2,250,250.0,0.0,250,1.0,0.04533333333333334,0.98,,0.0
null_superset_no_audit,0.05,75,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.05,100,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.05,125,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.05,150,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.05,175,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.05,200,0.0,0.0,0,0.0,0.0,,,0.0
null_superset_no_audit,0.05,250,0.0,0.0,0,0.0,0.0,,,0.0
