alpha,alpha1,seed,method,selected_M,selected_M_by_tune,selection_status,selection_metric,selection_protocol,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos,tune_released,tune_margin,tune_tau,tune_max_e,gamma,p_min_effective,emax_effective,n_covered,n_rank_denominator
0.05,0.05,0,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,3.872983346207417,0.5,0.016666666666666666,3.872983346207417,59.0,59.0
0.05,0.05,0,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.391037841306427,0.2442393366759723,0.016666666666666666,5.391037841306427,59.0,59.0
0.05,0.05,0,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.391037841306427,0.2442393366759723,0.016666666666666666,5.391037841306427,59.0,59.0
0.05,0.05,0,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,0,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,3.7416573867739413,0.5,0.017857142857142856,3.7416573867739413,55.0,55.0
0.05,0.05,1,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.117875477319688,0.24842549839846914,0.017857142857142856,5.117875477319688,55.0,55.0
0.05,0.05,1,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.117875477319688,0.24842549839846914,0.017857142857142856,5.117875477319688,55.0,55.0
0.05,0.05,1,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,1,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,3.872983346207417,0.5,0.016666666666666666,3.872983346207417,59.0,59.0
0.05,0.05,2,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.391037841306427,0.2442393366759723,0.016666666666666666,5.391037841306427,59.0,59.0
0.05,0.05,2,parc_track_gamma_tuned_uniform_scs,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.391037841306427,0.2442393366759723,0.016666666666666666,5.391037841306427,59.0,59.0
0.05,0.05,2,confidence_threshold,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,tracklet_p_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,tracklet_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,post_filter_e_bh,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.05,0.05,2,greedy_score_no_risk,150,150,shared_from_parc_full:no_feasible_M_on_tune_fallback,shared_parc_feasible_first_release_max,shared_parc_tune_split_only,,,,0,-inf,,,,,,,
0.1,0.1,0,unmatched_as_false_block,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,3.872983346207417,0.5,0.016666666666666666,3.872983346207417,59.0,59.0
0.1,0.1,0,null_superset_no_audit,150,150,no_feasible_M_on_tune_fallback,feasible_first_release_max,tune_split_only_internal_cal_val,142.0,71.0,71.0,0,-inf,inf,5.391037841306427,0.2442393366759723,0.016666666666666666,5.391037841306427,59.0,59.0
