query,category_id,released,supported,score_mean,e_value_mean,unsupported,utr,dataset,generator,alpha1,seed,candidate_budget_M
army tank,22,1,1,0.875883512198925,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
baseball cap,54,2,2,0.8627054989337921,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.1,0,150
bear,70,1,1,0.9511613079479764,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.1,0,150
coffee maker,231,1,1,0.9069922417402267,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.1,0,150
cone,242,2,1,0.8744077682495117,21.432273310978573,1,0.5,OVT-B,GroundingDINO,0.1,0,150
defibrillator,277,1,1,0.8608748093247414,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.1,0,150
dirt bike,284,1,1,0.9090235754847528,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.1,0,150
dog,290,3,3,0.8922222728530566,32.841717726116755,0,0.0,OVT-B,GroundingDINO,0.1,0,150
doughnut,299,1,1,0.9073417683442434,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.1,0,150
garbage truck,397,1,1,0.8811084181070328,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
hat,456,1,1,0.8591142818331718,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.1,0,150
hippopotamus,471,1,1,0.8834720253944397,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
jacket,494,1,1,0.8814528807997704,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
mechanical pencil,581,2,2,0.8754339729036604,18.31803262400634,0,0.0,OVT-B,GroundingDINO,0.1,0,150
minivan,590,1,1,0.929937519133091,38.546439933685846,0,0.0,OVT-B,GroundingDINO,0.1,0,150
music box,604,1,1,0.8732407838106155,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
person,669,67,67,0.8759432654846367,21.08218517304168,0,0.0,OVT-B,GroundingDINO,0.1,0,150
picnic basket,675,1,1,0.8696878552436829,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
police car,702,1,1,0.8734080940485001,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
polo shirt,703,1,1,0.8567109107971191,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.1,0,150
ring,764,2,2,0.8627216666936874,18.31803262400634,0,0.0,OVT-B,GroundingDINO,0.1,0,150
seagull,802,1,1,0.8855689689517021,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
sedan,808,1,1,0.8887259513139725,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
skateboard,836,1,1,0.891389012336731,21.432273310978573,0,0.0,OVT-B,GroundingDINO,0.1,0,150
spectacles,862,7,7,0.8929167592099735,28.766916149281688,0,0.0,OVT-B,GroundingDINO,0.1,0,150
vulture,1001,1,1,0.8597352057695389,15.203791937034106,0,0.0,OVT-B,GroundingDINO,0.1,0,150
zebra,1052,1,0,0.8648730516433716,15.203791937034106,1,1.0,OVT-B,GroundingDINO,0.1,0,150
accordion,1,1,1,0.8635283187031746,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
army tank,22,1,1,0.875883512198925,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
barbell,48,1,1,0.8589383214712143,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
baseball cap,54,4,4,0.874245406438907,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
basket,56,1,1,0.8854187503457069,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
bass guitar,58,1,1,0.8573458269238472,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
bear,70,5,5,0.9098474230085101,30.60466368133415,0,0.0,OVT-B,GroundingDINO,0.1,1,150
bird,93,1,1,0.874662458896637,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
brass plaque,125,1,1,0.8996793106198311,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.1,1,150
cone,242,2,1,0.8744077682495117,20.70154565670066,1,0.5,OVT-B,GroundingDINO,0.1,1,150
dog,290,1,1,0.8989420160651207,37.20674236442314,0,0.0,OVT-B,GroundingDINO,0.1,1,150
excavator,345,1,1,0.8713892176747322,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
garbage truck,397,1,1,0.8811084181070328,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
golf ball,418,1,1,0.8879429996013641,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
kangaroo,506,1,1,0.8687141016125679,20.70154565670066,0,0.0,OVT-B,GroundingDINO,0.1,1,150
mechanical pencil,581,5,5,0.8789628520607948,24.00258499824516,0,0.0,OVT-B,GroundingDINO,0.1,1,150
