metric,dataset,protocol,method,alpha1,candidate_budget_M,mean,std,ci95_low,ci95_high,n
released,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,125,112.0,0.0,112.0,112.0,1
utr,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,125,0.0178571428571428,0.0,0.0178571428571428,0.0178571428571428,1
audited_ftr_supported_plus_labeled,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,125,0.0,0.0,0.0,0.0,1
conservative_ftr_uncertain_and_unlabeled_false,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,125,0.0089285714285714,0.0,0.0089285714285714,0.0089285714285714,1
self_consistency_margin,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,125,0.7558813860707971,0.0,0.7558813860707971,0.7558813860707971,1
released,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,250,232.5,12.020815280171307,224.0,241.0,2
utr,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,250,0.02791567871962055,0.0015980110274295956,0.0267857142857142,0.0290456431535269,2
audited_ftr_supported_plus_labeled,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,250,0.0,0.0,0.0,0.0,2
conservative_ftr_uncertain_and_unlabeled_false,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,250,0.0146802756372258,0.014447591502088759,0.0044642857142857,0.0248962655601659,2
self_consistency_margin,OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,250,0.7867636524888084,0.5062507713884228,0.4287902990591341,1.1447370059184827,2
released,OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,135.0,25.98076211353316,105.0,150.0,3
utr,OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,0.021904761904761868,0.0041513323271815715,0.019047619047619,0.0266666666666666,3
audited_ftr_supported_plus_labeled,OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,0.0,0.0,0.0,0.0,3
conservative_ftr_uncertain_and_unlabeled_false,OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,0.012063492063492033,0.007020109329363833,0.006666666666666601,0.02,3
self_consistency_margin,OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,5.480572478786656,5.004033460733726,0.9180776513198196,10.83233802276235,3
released,OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,150.0,0.0,150.0,150.0,3
utr,OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.019999999999999966,0.00666666666666665,0.0133333333333333,0.0266666666666666,3
audited_ftr_supported_plus_labeled,OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.0,0.0,0.0,0.0,3
conservative_ftr_uncertain_and_unlabeled_false,OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.011111111111111066,0.007698003589195049,0.006666666666666601,0.02,3
self_consistency_margin,OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,10.12947452118192,5.496890762072931,4.864783778505613,15.83233802276235,3
released,TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,100,99.0,1.7320508075688772,97.0,100.0,3
utr,TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,100,0.0067697594501718,0.0058648227197774,0.0,0.0103092783505154,3
audited_ftr_supported_plus_labeled,TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,100,0.0,0.0,0.0,0.0,3
conservative_ftr_uncertain_and_unlabeled_false,TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,100,0.0,0.0,0.0,0.0,3
self_consistency_margin,TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,100,0.44172101086526716,0.1756540631679982,0.2452138083078185,0.5834836849301528,3
released,TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,0.0,0.0,0.0,0.0,3
utr,TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,0.0,0.0,0.0,0.0,3
audited_ftr_supported_plus_labeled,TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,,,,,0
conservative_ftr_uncertain_and_unlabeled_false,TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,,,,,0
self_consistency_margin,TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,150,,,,,0
released,TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,147.33333333333334,4.618802153517007,142.0,150.0,3
utr,TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.024569640062597764,0.015179162006863416,0.0070422535211267,0.0333333333333333,3
audited_ftr_supported_plus_labeled,TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.0022675736961451,0.003927552851630064,0.0,0.006802721088435301,3
conservative_ftr_uncertain_and_unlabeled_false,TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.017777777777777733,0.015396007178389981,0.0,0.0266666666666666,3
self_consistency_margin,TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,150,0.5994989182711778,0.5048828454990294,0.0165819714812327,0.8988670400788825,3
