candidate_id,formula,reduced_formula,elements,anonymous_formula,n_sites,space_group,source_prototype_id,model_family,frozen_model_score,block_id,public_label_status,novelty_status,duplicate_status,keep_for_followup,exclusion_reason,evidence_status,structure_ref,structure_sha256,has_structure_ref
pgcgm-66c6d41b43114189,V2SeBr2,V2SeBr2,V|Se|Br,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Br-Se-V,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---798_1.cif,66c6d41b4311418926c1a446d97014dbce5e7f6811749472d1664656b60d0fe5,True
pgcgm-5ddd09fa44684af0,YSiMo,YSiMo,Y|Si|Mo,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Mo-Si-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---527_0.cif,5ddd09fa44684af0066e7ce702032260309c9bf34a42756935939ccca84119b4,True
pgcgm-5f937ea39374e779,Rb4Y4N,Rb4Y4N,Rb|Y|N,AB4C4,36.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB4C4::N-Rb-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---811_2.cif,5f937ea39374e7791a1c9423f0412f64c2d9f0e340f186316cd528a4b09dec19,True
pgcgm-59cf79031b2e666d,Y(SiO)2,Y(SiO)2,Y|Si|O,AB2C2,20.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::O-Si-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---259_0.cif,59cf79031b2e666d16b5db7014547b9d4dd1c947f0c9ecccbfe1f5dd7626f915,True
pgcgm-2ee0c174b5dc6fca,ReSbSe,ReSbSe,Re|Sb|Se,ABC,36.0,P6_3mc,P6_3mc,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Re-Sb-Se,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P6_3mc---550_2.cif,2ee0c174b5dc6fcaf81be37eb6dd5518405617e871609d0ee76c02bb0b70af96,True
pgcgm-4f4bda49e538ccd8,Cs2Be4Re,Cs2Be4Re,Cs|Be|Re,AB2C4,28.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C4::Be-Cs-Re,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---706_2.cif,4f4bda49e538ccd86a1fe3b0565e10f801c06f9814a3d0f15d665dd88b3552e8,True
pgcgm-13635680727da4dc,HgSbIr,HgSbIr,Hg|Sb|Ir,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Hg-Ir-Sb,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---700_2.cif,13635680727da4dc8c4f07462c5d862c2454925369091bef2a223c9d4bdaa962,True
pgcgm-ed704e3ddf0a5967,Ge(PtO)2,Ge(PtO)2,Ge|Pt|O,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Ge-O-Pt,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---438_2.cif,ed704e3ddf0a59672463e8c1d3c3bf4c5162cbcad383d5a7066ab671ac3a6e27,True
pgcgm-437c34fa35e5e6f8,BaBeIn,BaBeIn,Ba|Be|In,ABC,36.0,P6_3mc,P6_3mc,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Ba-Be-In,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P6_3mc---451_2.cif,437c34fa35e5e6f8398452c8809112036c5fc5e41dba8d007db6861ba7532345,True
pgcgm-64a0d24b2884898a,Cr(AgI)4,Cr(AgI)4,Cr|Ag|I,AB4C4,36.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB4C4::Ag-Cr-I,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---625_0.cif,64a0d24b2884898a9de6ed4e5fe6f3260927c6c6b06c286137de0f55ec56cc5c,True
pgcgm-05fb94c6eda3fa90,YSiO,YSiO,Y|Si|O,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::O-Si-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---259_1.cif,05fb94c6eda3fa90ea6fbfa16a2237bdbc34b02e52ff4a1eb6cbbdcd3505fe88,True
pgcgm-be0a58efd14a564d,RbY2N2,RbY2N2,Rb|Y|N,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::N-Rb-Y,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---811_1.cif,be0a58efd14a564d8c900b960952bd50db6b1e4820fcc65f87e082c20a79f834,True
pgcgm-ca1c5341e064dad3,NaGa2Ru,NaGa2Ru,Na|Ga|Ru,ABC2,32.0,Cmcm,Cmcm,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC2::Ga-Na-Ru,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Cmcm---770_2.cif,ca1c5341e064dad3ef59af5344eb0ea5034b056799a002e57bcfab6ad27ac117,True
pgcgm-e983b58eeeb1219d,CaScNb,CaScNb,Ca|Sc|Nb,ABC,36.0,P-3m1,P-3m1,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Ca-Nb-Sc,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::P-3m1---854_2.cif,e983b58eeeb1219d249fbb00260a02baff61cbaba2f022c46a77efe2353b0deb,True
pgcgm-e87c0c5a9b877273,FeBO,FeBO,Fe|B|O,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::B-Fe-O,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---616_0.cif,e87c0c5a9b87727351b78f0ca63b2ddf59d7f81d62b3abe0d32d657c2b48f382,True
pgcgm-b32823434deab415,VHgI,VHgI,V|Hg|I,ABC,24.0,Pnma,Pnma,PGCGM_generated_pool_pending_ALIGNN_FF,,ABC::Hg-I-V,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Pnma---111_2.cif,b32823434deab415fea8cbbf25430e85f4997f585899af6b2298ffe492f8117a,True
pgcgm-ce902eed50d28520,Ba4Nb2O,Ba4Nb2O,Ba|Nb|O,AB2C4,28.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C4::Ba-Nb-O,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---624_2.cif,ce902eed50d28520bde97491cc1c2da5d113f8971101faa1865cbf93d9ddb7a0,True
pgcgm-2d8b642adcd71227,Ca(NbCu)2,Ca(NbCu)2,Ca|Nb|Cu,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Ca-Cu-Nb,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---963_1.cif,2d8b642adcd71227217fc10f4464daf2555a3a17b4d71321794c69d36b904dfd,True
pgcgm-235dac208ac07bce,Ta(CoAu)2,Ta(CoAu)2,Ta|Co|Au,AB2C2,40.0,Immm,Immm,PGCGM_generated_pool_pending_ALIGNN_FF,,AB2C2::Au-Co-Ta,no_public_label_index_match,public_label_index_checked_structure_matcher_external_or_not_applicable,unique_candidate_id,True,,candidate_pool_public_label_excluded_pending_alignnff_scores,1.tar.gz::Immm---87_0.cif,235dac208ac07bce7d0313d1d5f1ca3b97cde43d52e12b5de08d7c37b67eff3b,True
