candidate_id,source,formula,n_sites,block_id,stable_DFT,structure_ref,structure_sha256,chgnet_energy_per_atom,frozen_model_score,score_status,element_reference_energy_per_atom,predicted_formation_energy_proxy
pgcgm-66c6d41b43114189,PGCGM_generated_candidates,V2SeBr2,40.0,AB2C2::Br-Se-V,,1.tar.gz::Immm---798_1.cif,66c6d41b4311418926c1a446d97014dbce5e7f6811749472d1664656b60d0fe5,5.714621543884277,-10.664442107838193,scored,-4.9498205639539155,10.664442107838193
pgcgm-5ddd09fa44684af0,PGCGM_generated_candidates,YSiMo,24.0,ABC::Mo-Si-Y,,1.tar.gz::Pnma---527_0.cif,5ddd09fa44684af0066e7ce702032260309c9bf34a42756935939ccca84119b4,3.540764808654785,-11.109812408458723,scored,-7.569047599803937,11.109812408458723
pgcgm-5f937ea39374e779,PGCGM_generated_candidates,Rb4Y4N,36.0,AB4C4::N-Rb-Y,,1.tar.gz::Immm---811_2.cif,5f937ea39374e7791a1c9423f0412f64c2d9f0e340f186316cd528a4b09dec19,7.73951244354248,-11.974425400753223,scored,-4.234912957210744,11.974425400753223
pgcgm-59cf79031b2e666d,PGCGM_generated_candidates,Y(SiO)2,20.0,AB2C2::O-Si-Y,,1.tar.gz::Pnma---259_0.cif,59cf79031b2e666d16b5db7014547b9d4dd1c947f0c9ecccbfe1f5dd7626f915,3.530594825744629,-8.976532259856855,scored,-5.445937434112226,8.976532259856855
pgcgm-2ee0c174b5dc6fca,PGCGM_generated_candidates,ReSbSe,36.0,ABC::Re-Sb-Se,,1.tar.gz::P6_3mc---550_2.cif,2ee0c174b5dc6fcaf81be37eb6dd5518405617e871609d0ee76c02bb0b70af96,5.585221290588379,-12.279310639533302,scored,-6.694089348944923,12.279310639533302
pgcgm-4f4bda49e538ccd8,PGCGM_generated_candidates,Cs2Be4Re,28.0,AB2C4::Be-Cs-Re,,1.tar.gz::Immm---706_2.cif,4f4bda49e538ccd86a1fe3b0565e10f801c06f9814a3d0f15d665dd88b3552e8,6.385216236114502,-10.607533873052207,scored,-4.222317636937705,10.607533873052207
pgcgm-13635680727da4dc,PGCGM_generated_candidates,HgSbIr,24.0,ABC::Hg-Ir-Sb,,1.tar.gz::Pnma---700_2.cif,13635680727da4dc8c4f07462c5d862c2454925369091bef2a223c9d4bdaa962,1.9288954734802248,-6.361005179893553,scored,-4.432109706413328,6.361005179893553
pgcgm-ed704e3ddf0a5967,PGCGM_generated_candidates,Ge(PtO)2,40.0,AB2C2::Ge-O-Pt,,1.tar.gz::Immm---438_2.cif,ed704e3ddf0a59672463e8c1d3c3bf4c5162cbcad383d5a7066ab671ac3a6e27,5.364925861358643,-10.71509194201819,scored,-5.350166080659547,10.71509194201819
pgcgm-437c34fa35e5e6f8,PGCGM_generated_candidates,BaBeIn,36.0,ABC::Ba-Be-In,,1.tar.gz::P6_3mc---451_2.cif,437c34fa35e5e6f8398452c8809112036c5fc5e41dba8d007db6861ba7532345,1.6267926692962646,-4.467000280708791,scored,-2.8402076114125263,4.467000280708791
pgcgm-64a0d24b2884898a,PGCGM_generated_candidates,Cr(AgI)4,36.0,AB4C4::Ag-Cr-I,,1.tar.gz::Immm---625_0.cif,64a0d24b2884898a9de6ed4e5fe6f3260927c6c6b06c286137de0f55ec56cc5c,-0.4862878322601318,-2.515586491988658,scored,-3.00187432424879,2.515586491988658
pgcgm-05fb94c6eda3fa90,PGCGM_generated_candidates,YSiO,24.0,ABC::O-Si-Y,,1.tar.gz::Pnma---259_1.cif,05fb94c6eda3fa90ea6fbfa16a2237bdbc34b02e52ff4a1eb6cbbdcd3505fe88,5.322222709655762,-10.93886127292499,scored,-5.616638563269229,10.93886127292499
pgcgm-be0a58efd14a564d,PGCGM_generated_candidates,RbY2N2,40.0,AB2C2::N-Rb-Y,,1.tar.gz::Immm---811_1.cif,be0a58efd14a564d8c900b960952bd50db6b1e4820fcc65f87e082c20a79f834,4.259818077087402,-10.367795766440087,scored,-6.107977689352685,10.367795766440087
pgcgm-ca1c5341e064dad3,PGCGM_generated_candidates,NaGa2Ru,32.0,ABC2::Ga-Na-Ru,,1.tar.gz::Cmcm---770_2.cif,ca1c5341e064dad3ef59af5344eb0ea5034b056799a002e57bcfab6ad27ac117,5.654720306396484,-9.848372756304894,scored,-4.193652449908409,9.848372756304894
pgcgm-e983b58eeeb1219d,PGCGM_generated_candidates,CaScNb,36.0,ABC::Ca-Nb-Sc,,1.tar.gz::P-3m1---854_2.cif,e983b58eeeb1219d249fbb00260a02baff61cbaba2f022c46a77efe2353b0deb,4.717930793762207,-10.889044581910568,scored,-6.171113788148362,10.889044581910568
pgcgm-e87c0c5a9b877273,PGCGM_generated_candidates,FeBO,24.0,ABC::B-Fe-O,,1.tar.gz::Pnma---616_0.cif,e87c0c5a9b87727351b78f0ca63b2ddf59d7f81d62b3abe0d32d657c2b48f382,1.539690017700195,-8.254659005337675,scored,-6.71496898763748,8.254659005337675
pgcgm-b32823434deab415,PGCGM_generated_candidates,VHgI,24.0,ABC::Hg-I-V,,1.tar.gz::Pnma---111_2.cif,b32823434deab415fea8cbbf25430e85f4997f585899af6b2298ffe492f8117a,5.561925411224365,-9.1862242286888,scored,-3.6242988174644353,9.1862242286888
pgcgm-ce902eed50d28520,PGCGM_generated_candidates,Ba4Nb2O,28.0,AB2C4::Ba-Nb-O,,1.tar.gz::Immm---624_2.cif,ce902eed50d28520bde97491cc1c2da5d113f8971101faa1865cbf93d9ddb7a0,-1.2881927490234375,-3.431614918455022,scored,-4.7198076674784595,3.431614918455022
pgcgm-2d8b642adcd71227,PGCGM_generated_candidates,Ca(NbCu)2,40.0,AB2C2::Ca-Cu-Nb,,1.tar.gz::Immm---963_1.cif,2d8b642adcd71227217fc10f4464daf2555a3a17b4d71321794c69d36b904dfd,6.1413679122924805,-12.242033589913206,scored,-6.100665677620726,12.242033589913206
pgcgm-235dac208ac07bce,PGCGM_generated_candidates,Ta(CoAu)2,40.0,AB2C2::Au-Co-Ta,,1.tar.gz::Immm---87_0.cif,235dac208ac07bce7d0313d1d5f1ca3b97cde43d52e12b5de08d7c37b67eff3b,7.510795593261719,-14.063385046475185,scored,-6.552589453213466,14.063385046475185
pgcgm-6fb71cfbdf58763c,PGCGM_generated_candidates,Rb2Ga2Bi,40.0,AB2C2::Bi-Ga-Rb,,1.tar.gz::P4#mmm---309_1.cif,6fb71cfbdf58763c092a207abfbb18960f30972dc751c6c82925644550591cd7,8.296364784240723,-10.67797943170346,scored,-2.381614647462736,10.67797943170346
pgcgm-4e6d50894923d53b,PGCGM_generated_candidates,MgHgMo,36.0,ABC::Hg-Mg-Mo,,1.tar.gz::P6_3mc---967_0.cif,4e6d50894923d53bfd85470c56f7ffa3d9d765d8281c95baae2bc43b96792994,9.050111770629885,-13.27954093923902,scored,-4.229429168609136,13.27954093923902
pgcgm-1370d6427f61db07,PGCGM_generated_candidates,Be2HgAs,32.0,ABC2::As-Be-Hg,,1.tar.gz::P4#mmm---317_1.cif,1370d6427f61db075358724e071635e163a33e213af9906d9be2f50faa119202,2.8449106216430664,-5.99414313855547,scored,-3.149232516912404,5.99414313855547
pgcgm-cebc6aa4d10ccddd,PGCGM_generated_candidates,Al2Cu2Pd,40.0,AB2C2::Al-Cu-Pd,,1.tar.gz::P4#mmm---572_1.cif,cebc6aa4d10ccddd46f0a3d907f73f37a09a854dd047b2e81ad40bfce7bf11a2,3.63195276260376,-7.823342446830271,scored,-4.19138968422651,7.823342446830271
pgcgm-10534e6da750aa46,PGCGM_generated_candidates,Y2Cr2Au,30.0,AB2C2::Au-Cr-Y,,1.tar.gz::P-3m1---422_2.cif,10534e6da750aa46141024f9ca2ab1b53296e7dc4d5d3bf16e5341de0a532c08,6.870935440063477,-13.988129987372538,scored,-7.117194547309062,13.988129987372538
pgcgm-45655fc81a848043,PGCGM_generated_candidates,CrPbW,36.0,ABC::Cr-Pb-W,,1.tar.gz::P-3m1---574_1.cif,45655fc81a848043866689bcb349b0793c9add3be06eb97ea6b1de046d4291ef,5.510289192199707,-14.283035834958778,scored,-8.77274664275907,14.283035834958778
pgcgm-4efd2f436b6939d6,PGCGM_generated_candidates,Zn2HIr2,20.0,AB2C2::H-Ir-Zn,,1.tar.gz::Immm---818_0.cif,4efd2f436b6939d66e665aabfb722f4bfbfa32d707935ce0588a6fa22c860634,1.995595932006836,-6.751933727061096,scored,-4.75633779505426,6.751933727061096
pgcgm-c9f78dedd6c27d49,PGCGM_generated_candidates,LiZrMo,24.0,ABC::Li-Mo-Zr,,1.tar.gz::Pnma---497_2.cif,c9f78dedd6c27d49a5314d8bf66a48e3ed1a4897ad888a99fd00c6b070adfae3,4.611751556396484,-11.710736736829443,scored,-7.098985180432958,11.710736736829443
