method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol,selected_M,selected_M_by_tune,selection_metric,selection_status,tune_released,tune_margin,tune_tau,tune_max_e,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.5,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,13.313526955694432,12.16552506059644,20.0,True,12.16552506059644,6.997518763885249,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,150.0,20.0,-16.15292318766573,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,3.872983346207417,142.0,71.0,71.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708.0,591.0,117.0,591.0,591.0,591.0,117.0,0.0,0.1566537104442394,0.1566537104442394,0.001410437235543,0.0016891891891891,0.0016891891891891,39.72122294384446,34.11677023775056,20.0,True,34.11677023775056,14.659577593529882,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2753.0,,,147.0,20.40816326530612,-15.059921501527825,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.391037841306427,142.0,71.0,71.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,708.0,588.0,120.0,588.0,588.0,588.0,120.0,0.0,0.1567784859787324,0.1567784859787324,0.001410437235543,0.0016977928692699,0.0016977928692699,39.72031650906805,33.97091768583136,20.0,True,33.97091768583136,17.12796617807508,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,41.0,2712.0,,,147.0,20.40816326530612,-13.82397212247225,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.391037841306427,142.0,71.0,71.0
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.2,,0.9733333333333334,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001607304438948,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.2,,0.9733333333333334,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001603197306394,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003573400899767,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003221416845917,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,145,5,,,,,,,,,0.0333333333333333,0.2,,0.9733333333333334,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.000141279771924,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.5,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,13.313526955694432,12.206555615733704,20.0,True,12.206555615733704,7.192590621333613,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,150.0,20.0,-15.931148128088765,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,3.741657386773941,142.0,71.0,71.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,708.0,595.0,113.0,595.0,595.0,595.0,113.0,0.0,0.1564886288483465,0.1564886288483465,0.001410437235543,0.0016778523489932,0.0016778523489932,39.72238348169974,34.311093800927324,20.0,True,34.311093800927324,15.373729008551068,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2746.0,,,150.0,20.0,-14.623246139859448,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,5.117875477319688,142.0,71.0,71.0
