reannotation_sample_id,dataset,video_id,path_id,pending_montage_path,second_reviewer_label,second_reviewer_verified_positive_for_calibration,second_reviewer_reason,second_reviewer_confidence,review_status
audit2000_reann_1593,BURST,1908,ovtb_v1908_p002541,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1908_p002541.jpg,,,,,
audit2000_reann_1218,TAO,4661,ovtb_v4661_p003118,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4661_p003118.jpg,,,,,
audit2000_reann_0607,OVT-B,222,ovtb_v222_p003707,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v222_p003707.jpg,,,,,
audit2000_reann_1174,TAO,3538,ovtb_v3538_p002140,,,,,,
audit2000_reann_1502,BURST,118,ovtb_v118_p000125,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v118_p000125.jpg,,,,,
audit2000_reann_0389,OVT-B,389,ovtb_v389_p004860,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v389_p004860.jpg,,,,,
audit2000_reann_0748,TAO,1836,ovtb_v1836_p000775,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1836_p000775.jpg,,,,,
audit2000_reann_0821,TAO,2076,ovtb_v2076_p000983,,,,,,
audit2000_reann_0027,OVT-B,42,ovtb_v42_p002570,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v42_p002570.jpg,,,,,
audit2000_reann_0834,TAO,3401,ovtb_v3401_p001919,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3401_p001919.jpg,,,,,
audit2000_reann_1988,BURST,550,ovtb_v550_p000960,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v550_p000960.jpg,,,,,
audit2000_reann_1525,BURST,761,ovtb_v761_p001078,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v761_p001078.jpg,,,,,
audit2000_reann_0833,TAO,4751,ovtb_v4751_p003072,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4751_p003072.jpg,,,,,
audit2000_reann_1201,TAO,894,ovtb_v894_p000455,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v894_p000455.jpg,,,,,
audit2000_reann_0818,TAO,3877,ovtb_v3877_p002215,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3877_p002215.jpg,,,,,
audit2000_reann_0382,OVT-B,85,ovtb_v85_p002888,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v85_p002888.jpg,,,,,
audit2000_reann_0571,OVT-B,396,ovtb_v396_p004922,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v396_p004922.jpg,,,,,
audit2000_reann_0371,OVT-B,918,ovtb_v918_p008744,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v918_p008744.jpg,,,,,
audit2000_reann_1164,TAO,1929,ovtb_v1929_p000797,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1929_p000797.jpg,,,,,
audit2000_reann_1249,TAO,2330,ovtb_v2330_p001237,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2330_p001237.jpg,,,,,
audit2000_reann_1453,BURST,2292,ovtb_v2292_p002884,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2292_p002884.jpg,,,,,
audit2000_reann_1820,BURST,1141,ovtb_v1141_p001472,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1141_p001472.jpg,,,,,
audit2000_reann_0729,TAO,1632,ovtb_v1632_p000669,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1632_p000669.jpg,,,,,
audit2000_reann_1641,BURST,932,ovtb_v932_p001274,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v932_p001274.jpg,,,,,
audit2000_reann_0756,TAO,3343,ovtb_v3343_p001912,,,,,,
audit2000_reann_0429,OVT-B,600,ovtb_v600_p006383,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v600_p006383.jpg,,,,,
audit2000_reann_1785,BURST,230,ovtb_v230_p000345,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v230_p000345.jpg,,,,,
audit2000_reann_0052,OVT-B,221,ovtb_v221_p003694,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v221_p003694.jpg,,,,,
audit2000_reann_0554,OVT-B,46,ovtb_v46_p002634,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v46_p002634.jpg,,,,,
audit2000_reann_0978,TAO,203,ovtb_v203_p000094,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v203_p000094.jpg,,,,,
audit2000_reann_0236,OVT-B,42,ovtb_v42_p002547,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v42_p002547.jpg,,,,,
audit2000_reann_1715,BURST,271,ovtb_v271_p000465,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v271_p000465.jpg,,,,,
audit2000_reann_0360,OVT-B,34,ovtb_v34_p001975,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v34_p001975.jpg,,,,,
audit2000_reann_1631,BURST,2316,ovtb_v2316_p002977,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2316_p002977.jpg,,,,,
audit2000_reann_0482,OVT-B,846,ovtb_v846_p008201,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v846_p008201.jpg,,,,,
audit2000_reann_1206,TAO,5938,ovtb_v5938_p004431,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5938_p004431.jpg,,,,,
audit2000_reann_0986,TAO,3423,ovtb_v3423_p001992,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3423_p001992.jpg,,,,,
audit2000_reann_1879,BURST,26,ovtb_v26_p000030,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v26_p000030.jpg,,,,,
audit2000_reann_1829,BURST,1175,ovtb_v1175_p001505,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1175_p001505.jpg,,,,,
audit2000_reann_0215,OVT-B,33,ovtb_v33_p001893,,,,,,
audit2000_reann_0595,OVT-B,479,ovtb_v479_p005507,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v479_p005507.jpg,,,,,
audit2000_reann_0122,OVT-B,447,ovtb_v447_p005263,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v447_p005263.jpg,,,,,
audit2000_reann_1019,TAO,3356,ovtb_v3356_p001842,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3356_p001842.jpg,,,,,
audit2000_reann_0492,OVT-B,783,ovtb_v783_p007741,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v783_p007741.jpg,,,,,
audit2000_reann_1308,TAO,3786,ovtb_v3786_p002192,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3786_p002192.jpg,,,,,
audit2000_reann_1835,BURST,165,ovtb_v165_p000320,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v165_p000320.jpg,,,,,
audit2000_reann_1117,TAO,2132,ovtb_v2132_p001139,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2132_p001139.jpg,,,,,
audit2000_reann_1894,BURST,423,ovtb_v423_p000751,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v423_p000751.jpg,,,,,
audit2000_reann_1415,BURST,272,ovtb_v272_p000444,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v272_p000444.jpg,,,,,
audit2000_reann_0596,OVT-B,189,ovtb_v189_p003459,,,,,,
audit2000_reann_0530,OVT-B,839,ovtb_v839_p008159,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v839_p008159.jpg,,,,,
audit2000_reann_1304,TAO,4430,ovtb_v4430_p002627,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4430_p002627.jpg,,,,,
audit2000_reann_0533,OVT-B,221,ovtb_v221_p003683,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v221_p003683.jpg,,,,,
audit2000_reann_0781,TAO,2578,ovtb_v2578_p001229,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2578_p001229.jpg,,,,,
audit2000_reann_1563,BURST,1198,ovtb_v1198_p001554,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1198_p001554.jpg,,,,,
audit2000_reann_0303,OVT-B,624,ovtb_v624_p006560,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v624_p006560.jpg,,,,,
audit2000_reann_0491,OVT-B,453,ovtb_v453_p005306,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v453_p005306.jpg,,,,,
audit2000_reann_1898,BURST,45,ovtb_v45_p000094,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v45_p000094.jpg,,,,,
audit2000_reann_0461,OVT-B,472,ovtb_v472_p005463,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v472_p005463.jpg,,,,,
audit2000_reann_1767,BURST,2820,ovtb_v2820_p003572,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2820_p003572.jpg,,,,,
audit2000_reann_1467,BURST,2306,ovtb_v2306_p002924,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2306_p002924.jpg,,,,,
audit2000_reann_0888,TAO,3542,ovtb_v3542_p002035,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3542_p002035.jpg,,,,,
audit2000_reann_1189,TAO,4007,ovtb_v4007_p002444,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4007_p002444.jpg,,,,,
audit2000_reann_0952,TAO,2919,ovtb_v2919_p001488,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2919_p001488.jpg,,,,,
audit2000_reann_1316,TAO,3218,ovtb_v3218_p001738,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3218_p001738.jpg,,,,,
