dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source,label,reason,auditor,confidence,review_status,verified_positive_for_calibration_label,is_verified_positive,truth,e_value,generator,alpha1,seed
OVT-B,651,ovtb_v651_p006754,test,cone,242,0.875226616859436,0.875226616859436,0.875226616859436,1,0.0,21,21,1,183,False,5415.0,0.4947680834542864,0.0,0,False,True,,no,cat:242,unknown,cone,unknown,global,0,final_score_proxy,,,,,,,False,,21.432273310978573,GroundingDINO,0.1,0
OVT-B,62,ovtb_v62_p002745,test,zebra,1052,0.8648730516433716,0.8648730516433716,0.8648730516433716,1,0.0,186,186,1,259,False,,0.0,0.0,0,False,True,actually_true,no,cat:1052,unknown,zebra,unknown,global,0,final_score_proxy,,,,,,,False,,15.203791937034106,GroundingDINO,0.1,0
OVT-B,651,ovtb_v651_p006754,test,cone,242,0.875226616859436,0.875226616859436,0.875226616859436,1,0.0,21,21,1,183,False,5415.0,0.4947680834542864,0.0,0,False,True,,no,cat:242,unknown,cone,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.1,1
OVT-B,1327,ovtb_v1327_p011765,test,sphygmomanometer,864,0.8663057908415794,0.8663057908415794,0.8663057908415794,8,0.875,0,19,8,250,False,9694.0,0.0818698471034325,0.0,0,False,True,,no,cat:864,unknown,sphygmomanometer,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.1,1
OVT-B,62,ovtb_v62_p002745,test,zebra,1052,0.8648730516433716,0.8648730516433716,0.8648730516433716,1,0.0,186,186,1,259,False,,0.0,0.0,0,False,True,actually_true,no,cat:1052,unknown,zebra,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.1,1
OVT-B,1925,ovtb_v1925_p015931,test,person,669,0.8556187748908997,0.8556187748908997,0.8556187748908997,1,0.0,89,89,1,345,False,,0.0,0.0,0,False,True,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.1,1
OVT-B,40,ovtb_v40_p002441,test,bee,73,0.8958861231803894,0.8958861231803894,0.8958861231803894,1,0.0,246,246,1,70,False,,0.0,0.0,0,False,True,actually_true,no,cat:73,unknown,bee,unknown,global,0,final_score_proxy,,,,,,,False,,37.44649344759844,GroundingDINO,0.1,2
OVT-B,40,ovtb_v40_p002410,test,bee,73,0.8723716735839844,0.8723716735839844,0.8723716735839844,1,0.0,35,35,1,204,False,1562.0,0.3060659425015704,0.0,0,False,True,actually_true,no,cat:73,unknown,bee,unknown,global,0,final_score_proxy,,,,,,,False,,37.44649344759844,GroundingDINO,0.1,2
OVT-B,1327,ovtb_v1327_p011765,test,sphygmomanometer,864,0.8663057908415794,0.8663057908415794,0.8663057908415794,8,0.875,0,19,8,250,False,9694.0,0.0818698471034325,0.0,0,False,True,,no,cat:864,unknown,sphygmomanometer,unknown,global,0,final_score_proxy,,,,,,,False,,37.44649344759844,GroundingDINO,0.1,2
OVT-B,651,ovtb_v651_p006754,test,cone,242,0.875226616859436,0.875226616859436,0.875226616859436,1,0.0,21,21,1,183,False,5415.0,0.4947680834542864,0.0,0,False,True,,no,cat:242,unknown,cone,unknown,global,0,final_score_proxy,,,,,,,False,,21.432273310978573,GroundingDINO,0.2,0
OVT-B,62,ovtb_v62_p002745,test,zebra,1052,0.8648730516433716,0.8648730516433716,0.8648730516433716,1,0.0,186,186,1,259,False,,0.0,0.0,0,False,True,actually_true,no,cat:1052,unknown,zebra,unknown,global,0,final_score_proxy,,,,,,,False,,15.203791937034106,GroundingDINO,0.2,0
OVT-B,651,ovtb_v651_p006754,test,cone,242,0.875226616859436,0.875226616859436,0.875226616859436,1,0.0,21,21,1,183,False,5415.0,0.4947680834542864,0.0,0,False,True,,no,cat:242,unknown,cone,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.2,1
OVT-B,1327,ovtb_v1327_p011765,test,sphygmomanometer,864,0.8663057908415794,0.8663057908415794,0.8663057908415794,8,0.875,0,19,8,250,False,9694.0,0.0818698471034325,0.0,0,False,True,,no,cat:864,unknown,sphygmomanometer,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.2,1
OVT-B,62,ovtb_v62_p002745,test,zebra,1052,0.8648730516433716,0.8648730516433716,0.8648730516433716,1,0.0,186,186,1,259,False,,0.0,0.0,0,False,True,actually_true,no,cat:1052,unknown,zebra,unknown,global,0,final_score_proxy,,,,,,,False,,20.70154565670066,GroundingDINO,0.2,1
