method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,471.0,406.0,65.0,406.0,406.0,406.0,65.0,0.0,0.5,0.1664222150262011,0.0021186440677966,0.0024570024570024,0.0024570024570024,10.862780491200242,10.087120500916008,10.0,True,10.087120500916008,9.062911447664224,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3890.0,,,150.0,10.0,-2.8673286911564477,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,471.0,406.0,65.0,406.0,406.0,406.0,65.0,0.0,0.1664222150262011,0.1664222150262011,0.0021186440677966,0.0024570024570024,0.0024570024570024,28.193561864225494,24.917887765177458,10.0,True,24.917887765177458,21.126891734235222,150,150.0,0.0,150,144,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.04,1.0,0.0,3890.0,10.0,3.982322291305639,98.0,15.306122448979592,9.611765316197866,13.98232229130564,21.126891734235222,24.917887765177458,,,0,certified_or_core_baseline,,
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,471.0,406.0,65.0,406.0,406.0,406.0,65.0,0.0,0.1664222150262011,0.1664222150262011,0.0021186440677966,0.0024570024570024,0.0024570024570024,28.193561864225494,24.917887765177458,10.0,True,24.917887765177458,21.126891734235222,150,150.0,0.0,150,144,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.04,1.0,0.0,3890.0,10.0,3.982322291305639,98.0,15.306122448979592,9.611765316197866,13.98232229130564,21.126891734235222,24.917887765177458,,,0,certified_or_core_baseline,,
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00014610402286052704,score_threshold_from_calibration_null_quantile
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001428679097443819,tracklet_level_p_bh
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,10.0,12.053911217740946,,,,,,,,,0,diagnostic_baseline,0.00013911095447838306,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,10.0,3.982322291305641,,,,,,,,,0,diagnostic_baseline,0.00014365906827151775,block_evalue_post_filter
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00013502291403710842,top_m_by_score_no_risk_control
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,471.0,403.0,68.0,403.0,403.0,403.0,68.0,0.0,0.5,0.1666273737668555,0.0021186440677966,0.0024752475247524,0.0024752475247524,10.862780491200242,10.04987562112089,10.0,True,7.106335201775948,7.106335201775948,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3773.0,,,150.0,10.0,-2.8936647982240524,,,,no_k_satisfies_uniform_self_consistency,observed_e_below_required_emax,1,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,471.0,403.0,68.0,403.0,403.0,403.0,68.0,0.0,0.1666273737668555,0.1666273737668555,0.0021186440677966,0.0024752475247524,0.0024752475247524,28.19268345859232,24.76470919866719,10.0,True,13.89834456929123,13.89834456929123,150,150.0,0.0,150,144,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.04,1.0,0.0,3773.0,10.0,3.898344569291231,150.0,10.0,3.898344569291231,13.89834456929123,13.89834456929123,13.89834456929123,,,1,certified_or_core_baseline,,
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,471.0,403.0,68.0,403.0,403.0,403.0,68.0,0.0,0.1666273737668555,0.1666273737668555,0.0021186440677966,0.0024752475247524,0.0024752475247524,28.19268345859232,24.76470919866719,10.0,True,13.89834456929123,13.89834456929123,150,150.0,0.0,150,144,6,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.04,1.0,0.0,3773.0,10.0,3.898344569291231,150.0,10.0,3.898344569291231,13.89834456929123,13.89834456929123,13.89834456929123,,,1,certified_or_core_baseline,,
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.000141895841807127,score_threshold_from_calibration_null_quantile
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.00015288707800209522,tracklet_level_p_bh
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,10.0,7.734147850968199,,,,,,,,,1,diagnostic_baseline,0.00013770908117294312,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,144,6,,,,,,,,,0.04,,,0.04,1.0,,,10.0,3.898344569291231,,,,,,,,,1,diagnostic_baseline,0.00013725785538554192,block_evalue_post_filter
