method,alpha1,candidate_budget_M,released_mean,released_std,utr_mean,conservative_ftr_mean,margin_mean,nonempty_rate
confidence_threshold,0.1,150,150.0,0.0,0.042222222222222223,0.042222222222222223,,1.0
confidence_threshold,0.2,150,150.0,0.0,0.042222222222222223,0.042222222222222223,,1.0
greedy_score_no_risk,0.1,150,150.0,0.0,0.042222222222222223,0.042222222222222223,,1.0
greedy_score_no_risk,0.2,150,150.0,0.0,0.042222222222222223,0.042222222222222223,,1.0
null_superset_no_audit,0.1,150,100.0,86.60254037844386,0.02666666666666667,0.04,3.940333430298435,0.6666666666666666
null_superset_no_audit,0.2,150,150.0,0.0,0.042222222222222196,0.042222222222222196,6.934408113548997,1.0
parc_track_gamma_tuned_uniform_scs,0.1,150,100.0,86.60254037844386,0.02666666666666667,0.04,3.940333430298435,0.6666666666666666
parc_track_gamma_tuned_uniform_scs,0.2,150,150.0,0.0,0.042222222222222196,0.042222222222222196,6.934408113548997,1.0
post_filter_e_bh,0.1,150,100.0,86.60254037844386,0.02666666666666667,0.04,3.940333430298436,0.6666666666666666
post_filter_e_bh,0.2,150,150.0,0.0,0.042222222222222223,0.042222222222222223,6.934408113548998,1.0
tracklet_e_bh,0.1,150,150.0,0.0,0.042222222222222223,0.042222222222222223,7.838589424362813,1.0
tracklet_e_bh,0.2,150,150.0,0.0,0.042222222222222223,0.042222222222222223,12.838589424362814,1.0
tracklet_p_bh,0.1,150,150.0,0.0,0.042222222222222223,0.042222222222222223,,1.0
tracklet_p_bh,0.2,150,150.0,0.0,0.042222222222222223,0.042222222222222223,,1.0
unmatched_as_false_block,0.1,150,0.0,0.0,0.0,,,0.0
unmatched_as_false_block,0.2,150,150.0,0.0,0.042222222222222196,0.042222222222222196,1.4378174310552032,1.0
