dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
BURST,25,ovtb_v25_p000057,,,,,,
BURST,1352,ovtb_v1352_p001689,,,,,,
BURST,1514,ovtb_v1514_p001852,,,,,,
BURST,54,ovtb_v54_p000076,,,,,,
BURST,2317,ovtb_v2317_p002997,,,,,,
BURST,2317,ovtb_v2317_p002999,,,,,,
BURST,2317,ovtb_v2317_p002998,,,,,,
BURST,2317,ovtb_v2317_p003001,,,,,,
BURST,612,ovtb_v612_p001110,,,,,,
BURST,612,ovtb_v612_p001095,,,,,,
BURST,612,ovtb_v612_p001117,,,,,,
BURST,612,ovtb_v612_p001102,,,,,,
BURST,612,ovtb_v612_p001123,,,,,,
BURST,612,ovtb_v612_p001122,,,,,,
BURST,612,ovtb_v612_p001101,,,,,,
BURST,612,ovtb_v612_p001104,,,,,,
BURST,612,ovtb_v612_p001118,,,,,,
BURST,612,ovtb_v612_p001105,,,,,,
BURST,1388,ovtb_v1388_p001939,,,,,,
BURST,1605,ovtb_v1605_p001994,,,,,,
BURST,1605,ovtb_v1605_p001998,,,,,,
BURST,1505,ovtb_v1505_p002035,,,,,,
BURST,1740,ovtb_v1740_p002102,,,,,,
BURST,1348,ovtb_v1348_p001889,,,,,,
BURST,1348,ovtb_v1348_p001887,,,,,,
BURST,337,ovtb_v337_p000584,,,,,,
BURST,2816,ovtb_v2816_p003471,,,,,,
BURST,202,ovtb_v202_p000365,,,,,,
BURST,202,ovtb_v202_p000363,,,,,,
BURST,1626,ovtb_v1626_p002118,,,,,,
BURST,1496,ovtb_v1496_p002020,,,,,,
BURST,2702,ovtb_v2702_p003371,,,,,,
BURST,2933,ovtb_v2933_p003698,,,,,,
BURST,2785,ovtb_v2785_p003279,,,,,,
BURST,2648,ovtb_v2648_p003153,,,,,,
BURST,2736,ovtb_v2736_p003486,,,,,,
BURST,2736,ovtb_v2736_p003485,,,,,,
BURST,2648,ovtb_v2648_p003152,,,,,,
BURST,1503,ovtb_v1503_p001943,,,,,,
BURST,2736,ovtb_v2736_p003487,,,,,,
BURST,2737,ovtb_v2737_p003505,,,,,,
BURST,2848,ovtb_v2848_p003527,,,,,,
BURST,2337,ovtb_v2337_p003021,,,,,,
BURST,2337,ovtb_v2337_p003020,,,,,,
BURST,2837,ovtb_v2837_p003322,,,,,,
BURST,1499,ovtb_v1499_p001811,,,,,,
BURST,2235,ovtb_v2235_p002848,,,,,,
BURST,642,ovtb_v642_p001165,,,,,,
BURST,2878,ovtb_v2878_p003659,,,,,,
BURST,642,ovtb_v642_p001161,,,,,,
BURST,2878,ovtb_v2878_p003657,,,,,,
BURST,2759,ovtb_v2759_p003526,,,,,,
BURST,2177,ovtb_v2177_p002802,,,,,,
BURST,2702,ovtb_v2702_p003375,,,,,,
BURST,2916,ovtb_v2916_p003696,,,,,,
BURST,2417,ovtb_v2417_p003113,,,,,,
BURST,1016,ovtb_v1016_p001347,,,,,,
BURST,2392,ovtb_v2392_p003073,,,,,,
BURST,1141,ovtb_v1141_p001466,,,,,,
BURST,45,ovtb_v45_p000091,,,,,,
BURST,2392,ovtb_v2392_p003070,,,,,,
BURST,2392,ovtb_v2392_p003069,,,,,,
BURST,1141,ovtb_v1141_p001474,,,,,,
BURST,1141,ovtb_v1141_p001467,,,,,,
BURST,2137,ovtb_v2137_p002773,,,,,,
BURST,1348,ovtb_v1348_p001893,,,,,,
