audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,packet,strong_model_label,strong_model_confidence,strong_model_support_score,model_reason,strong_model_id,auditor_id,human_label,human_confidence,human_notes,human_accepts_ai_label,evidence_scope
CTC-PHASE81-0003,PhC-C2DH-U373,2,109,110,PhC-C2DH-U373/02/t109,109,401,426,3,3,PhC-C2DH-U373/02/t110,110,398,426,3,3,calibration_audit,uncertain,medium,0.702111,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0006,Fluo-N2DL-HeLa,2,67,68,Fluo-N2DL-HeLa/02/t067,67,702,517,5,5,Fluo-N2DL-HeLa/02/t068,68,702,517,5,5,calibration_audit,same_cell_supported,high,0.925058,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0011,DIC-C2DH-HeLa,2,69,70,DIC-C2DH-HeLa/02/t069,69,91,275,19,19,DIC-C2DH-HeLa/02/t070,70,91,275,19,19,calibration_audit,uncertain,medium,0.638921,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0012,PhC-C2DH-U373,2,24,25,PhC-C2DH-U373/02/t024,24,78,244,9,9,PhC-C2DH-U373/02/t025,25,83,244,9,9,calibration_audit,same_cell_supported,medium,0.798836,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0014,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,404,388,5,5,Fluo-N2DL-HeLa/02/t027,27,404,388,5,5,calibration_audit,same_cell_supported,high,0.900717,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0020,PhC-C2DH-U373,2,87,88,PhC-C2DH-U373/02/t087,87,586,180,9,9,PhC-C2DH-U373/02/t088,88,582,172,9,9,calibration_audit,uncertain,medium,0.594045,mixed image-template and geometry evidence; route to human adjudication if used evidentially,phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,uncertain,medium,model-surrogate replacement label; not external human evidence; mixed image-template and geometry evidence; route to human adjudication if used evidentially,model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0025,Fluo-N2DH-GOWT1,2,29,30,Fluo-N2DH-GOWT1/02/t029,29,218,370,42,37,Fluo-N2DH-GOWT1/02/t030,30,218,369,37,37,calibration_audit,same_cell_supported,medium,0.772651,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,medium,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0028,Fluo-N2DH-GOWT1,2,0,1,Fluo-N2DH-GOWT1/02/t000,0,788,773,55,57,Fluo-N2DH-GOWT1/02/t001,1,788,775,55,55,calibration_audit,same_cell_supported,high,0.942708,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0034,Fluo-N2DH-GOWT1,2,17,18,Fluo-N2DH-GOWT1/02/t017,17,599,671,40,39,Fluo-N2DH-GOWT1/02/t018,18,601,671,39,39,calibration_audit,same_cell_supported,high,0.906087,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
CTC-PHASE81-0040,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,610,169,5,5,Fluo-N2DL-HeLa/02/t032,32,610,169,5,5,calibration_audit,same_cell_supported,high,0.881581,"image-template, local-crop and geometry evidence support adjacent-frame same-cell link",phase91_ctc_image_template_segmentation_surrogate_v1,phase91_ctc_image_template_segmentation_surrogate_v1,same_cell_supported,high,"model-surrogate replacement label; not external human evidence; image-template, local-crop and geometry evidence support adjacent-frame same-cell link",model_surrogate_not_human,ctc_strong_model_annotation;image_template_segmentation_surrogate;model_surrogate_labels_only;replaces_manual_review_operationally_not_evidentially;not_external_human_audit;not_expert_microscopy_adjudication;not_CTC_ground_truth;not_completed_real_audit_positive_evidence;not_materials_or_DFT_evidence
