K,evidence_scope,gate,interpretation,status,threshold,value
300,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,CHGNet_full_calibration_evalues_available,CHGNet full calibration source exists over frozen WBM calibration denominator,PASS,1,1
300,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,MACE_full_calibration_evalues_available,MACE full calibration source exists over frozen WBM calibration denominator,PASS,1,1
300,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,best_fullcal_t1_improvement_ge_0p05,best full-calibration row is PARC-CHGNet-MACE-fullcal-equal,FAIL,0.05,0.018353576248313075
300,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,best_fullcal_t1_improvement_ge_0p03,best full-calibration row is PARC-CHGNet-MACE-fullcal-equal,FAIL,0.03,0.018353576248313075
300,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,best_fullcal_release_nontrivial_ge_100,best full-calibration row should not be a tiny post-hoc subset,PASS,100,195
300,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,headline_method_upgrade_allowed,headline requires strong t1 improvement and nontrivial release; otherwise this remains a full-calibration diagnostic,FAIL,1,0
500,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,CHGNet_full_calibration_evalues_available,CHGNet full calibration source exists over frozen WBM calibration denominator,PASS,1,1
500,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,MACE_full_calibration_evalues_available,MACE full calibration source exists over frozen WBM calibration denominator,PASS,1,1
500,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,best_fullcal_t1_improvement_ge_0p05,best full-calibration row is PARC-CHGNet-MACE-fullcal-equal,FAIL,0.05,0.03685185185185186
500,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,best_fullcal_t1_improvement_ge_0p03,best full-calibration row is PARC-CHGNet-MACE-fullcal-equal,PASS,0.03,0.03685185185185186
500,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,best_fullcal_release_nontrivial_ge_100,best full-calibration row should not be a tiny post-hoc subset,PASS,100,150
500,full_calibration_CHGNet_MACE_evalue_audit;uses_frozen_WBM_one_per_composition_family_calibration_denominator;target_overlap_excluded_from_calibration;not_t1_alpha_certificate;not_DFT_evidence;not_prospective_discovery,headline_method_upgrade_allowed,headline requires strong t1 improvement and nontrivial release; otherwise this remains a full-calibration diagnostic,FAIL,1,0
