K,arm,drift_class,n,rate,denominator
300,PARC_release,stable_to_stable,189,0.6217105263157895,304
300,PARC_release,stable_to_unstable,56,0.18421052631578946,304
300,PARC_release,stable_to_unresolved,4,0.013157894736842105,304
300,PARC_release,unstable_to_stable,19,0.0625,304
300,PARC_release,unstable_to_unstable,31,0.10197368421052631,304
300,PARC_release,unstable_to_unresolved,5,0.01644736842105263,304
300,raw_topK,stable_to_stable,338,0.48216833095577744,701
300,raw_topK,stable_to_unstable,149,0.21255349500713266,701
300,raw_topK,stable_to_unresolved,12,0.017118402282453638,701
300,raw_topK,unstable_to_stable,67,0.09557774607703282,701
300,raw_topK,unstable_to_unstable,128,0.1825962910128388,701
300,raw_topK,unstable_to_unresolved,7,0.009985734664764621,701
500,PARC_release,stable_to_stable,146,0.6759259259259259,216
500,PARC_release,stable_to_unstable,44,0.2037037037037037,216
500,PARC_release,stable_to_unresolved,2,0.009259259259259259,216
500,PARC_release,unstable_to_stable,3,0.013888888888888888,216
500,PARC_release,unstable_to_unstable,19,0.08796296296296297,216
500,PARC_release,unstable_to_unresolved,2,0.009259259259259259,216
500,raw_topK,stable_to_stable,479,0.40218303946263645,1191
500,raw_topK,stable_to_unstable,264,0.2216624685138539,1191
500,raw_topK,stable_to_unresolved,19,0.01595298068849706,1191
500,raw_topK,unstable_to_stable,132,0.11083123425692695,1191
500,raw_topK,unstable_to_unstable,284,0.23845507976490343,1191
500,raw_topK,unstable_to_unresolved,13,0.0109151973131822,1191
