proposal_source,alpha,K,non_empty_seeds,PARC_released_mean,raw_selected_links_mean,raw_false_lineage_edges_mean,PARC_false_lineage_edges_mean,prevented_false_lineage_edges_mean,raw_corrupted_lineage_components_mean,PARC_corrupted_lineage_components_mean,prevented_corrupted_lineage_components_mean,raw_aogm_edge_edit_burden_proxy_mean,PARC_aogm_edge_edit_burden_proxy_mean,prevented_aogm_edge_edit_burden_proxy_mean,best_mass_ratio_mean,interpretation
ctc_learned_hybrid,0.1,100,20,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_learned_hybrid,0.1,300,20,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_learned_hybrid,0.1,500,20,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_learned_hybrid,0.1,1000,20,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_learned_hybrid,0.1,5000,0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817746563217749,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_noisy_geometric_linker,0.1,100,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6651292527987277,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_noisy_geometric_linker,0.1,300,0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6651292527987277,raw_queue_clean_or_no_lineage_damage_at_this_budget
ctc_noisy_geometric_linker,0.1,500,0,0.0,500.0,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.2,0.6604068351038567,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_noisy_geometric_linker,0.1,1000,0,0.0,1000.0,20.15,0.0,20.15,19.55,0.0,19.55,43.25,0.0,43.25,0.463661602125993,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_noisy_geometric_linker,0.1,5000,0,0.0,5000.0,2907.5,0.0,2907.5,2085.05,0.0,2085.05,5888.9,0.0,5888.9,0.0938763427400124,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_random_score_negative_control,0.1,100,0,0.0,100.0,80.55,0.0,80.55,79.75,0.0,79.75,161.3,0.0,161.3,0.0682352941648057,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_random_score_negative_control,0.1,300,0,0.0,300.0,237.0,0.0,237.0,231.5,0.0,231.5,474.45,0.0,474.45,0.0432946939211821,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_random_score_negative_control,0.1,500,0,0.0,500.0,393.8,0.0,393.8,377.7,0.0,377.7,786.75,0.0,786.75,0.0375886472504733,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_random_score_negative_control,0.1,1000,0,0.0,1000.0,792.0,0.0,792.0,731.45,0.0,731.45,1580.75,0.0,1580.75,0.0280996235801487,PARC_prevents_false_lineage_edges_from_entering_graph
ctc_random_score_negative_control,0.1,5000,0,0.0,5000.0,3997.05,0.0,3997.05,2648.6,0.0,2648.6,7945.8,0.0,7945.8,0.0198405300286021,PARC_prevents_false_lineage_edges_from_entering_graph
