domain,source,K,alpha,PARC_FTR_current_public_label,raw_topK_FTR_current_public_label,raw_topR_FTR_current_public_label,prevented_unstable_followups_current_public_label,temporal_status,evidence_state,completed_positive_result
materials_discovery,alignn_ff_modern_learned_materials_model,100,0.1,0.0854999999999999,0.0854999999999999,0.0854999999999999,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,300,0.1,0.0870024948491858,0.2531666666666666,0.0870024948491858,64.25,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,500,0.1,0.0482207668261013,0.3269,0.0482207668261013,158.3,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,1000,0.1,0.0059724934477619,0.3909999999999999,0.0059724934477619,390.5,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,5000,0.1,0.0,0.51548,0.0,2577.4,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,100,0.2,0.0854999999999999,0.0854999999999999,0.0854999999999999,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,300,0.2,0.2320160314579552,0.2531666666666666,0.2320160314579552,8.25,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,500,0.2,0.1309811557332293,0.3269,0.1309811557332293,136.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,1000,0.2,0.0482207668261013,0.3909999999999999,0.0482207668261013,385.85,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,alignn_ff_modern_learned_materials_model,5000,0.2,0.0,0.51548,0.0,2577.4,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,100,0.1,0.03,0.03,0.03,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,300,0.1,0.091556238689795,0.2349999999999999,0.091556238689795,52.55,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,500,0.1,0.0318972059842815,0.3258999999999999,0.0318972059842815,158.25,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,1000,0.1,0.0135530164863021,0.4096,0.0135530164863021,407.95,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,5000,0.1,0.0,0.40651,0.0,2032.55,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,100,0.2,0.03,0.03,0.03,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,300,0.2,0.2255898050495365,0.2349999999999999,0.2255898050495365,4.65,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,500,0.2,0.1345361990925361,0.3258999999999999,0.1345361990925361,130.25,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,1000,0.2,0.0318972059842815,0.4096,0.0318972059842815,404.9,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,cgcnn_ensemble_learned_materials_model,5000,0.2,0.0,0.40651,0.0,2032.55,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,100,0.1,0.0465,0.0465,0.0465,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,300,0.1,0.1134224425316824,0.184,0.1134224425316824,30.7,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,500,0.1,0.0413139560333971,0.2209,0.0413139560333971,105.4,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,1000,0.1,0.0088096164778365,0.2916,0.0088096164778365,290.7,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,5000,0.1,0.0,0.5366899999999999,0.0,2683.45,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,100,0.2,0.0465,0.0465,0.0465,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,300,0.2,0.184,0.184,0.184,0.0,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,500,0.2,0.2018535889187373,0.2209,0.2018535889187373,26.45,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,1000,0.2,0.0413139560333971,0.2916,0.0413139560333971,286.55,retrospective_current_snapshot_only,diagnostic,False
materials_discovery,megnet_weak_learned_materials_model,5000,0.2,0.0,0.5366899999999999,0.0,2683.45,retrospective_current_snapshot_only,diagnostic,False
