claim_id,claim_text,manuscript_role,evidence_state,primary_artifact,display_item,allowed_language,forbidden_language,overclaim_guardrail,evidence_scope
NCS-THESIS,Scientific AI candidate queues should be governed by release cards rather than static top-K lists.,central_thesis,conceptual_synthesis_supported,outputs/milestones/ncs_phase76_parc_lifecycle_calculus/table_lifecycle_baseline_capabilities.csv,Figure 1; Figure 6,release-card lifecycle framework for scientific AI candidate queues,"new generator, universal scientific discovery system, or broad success across all domains",do_not_claim_new_empirical_evidence_from_Phase76,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
PARC-CORE,PARC gives a one-sided release/refusal certificate for a frozen candidate universe and fixed reference version.,main_method,theory_and_completed_artifacts,outputs/milestones/ncs_phase76_parc_lifecycle_calculus/supplement_parc_lifecycle_calculus.tex,Figure 2,one-sided null-superset release/refusal certificate,guarantee under unversioned truth or future reference updates,version_scope_required,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
PARC-A-CTC,PARC-A is the primary empirical positive: CTC K=100 reaches 20/20 safe releases and 2000 released links with observed FTR 0.0 under targeted one-sided audit.,primary_empirical_positive,completed_positive_existing_label_audit_emulation,outputs/milestones/ncs_phase63_parc_a_certificate_directed_active_verification/table_parc_a_primary_gate.csv,Figure 3,verification-budgeted release; existing-label one-sided audit emulation,new human audit unless Phase78 completes; materials discovery,disclose_masked_label_emulation,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
PARC-A-MECHANISM,"At 0.2% score-targeted audit, CTC reaches 20/20 safe seeds; high-score positives remove calibration block maxima 182.50000000000003x more than random.",mechanism_support,completed_mechanism_diagnostic,outputs/milestones/ncs_phase65b_parc_a_mechanism_diagnostics/table_parc_a_mechanism_gate.csv,Figure 3,active audit gain mechanism,generic score threshold alone explains the lifecycle,mechanism_support_not_new_labels,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
PHASE76-LIFECYCLE,"Phase76 defines the lifecycle states: certified release/refusal, expiry, recertification, risk triage and active audit.",conceptual_framework,completed_synthesis,outputs/milestones/ncs_phase76_parc_lifecycle_calculus/table_release_card_states.csv,Figure 1,release-card lifecycle calculus,standalone empirical positive,phase76_is_scaffold_not_new_result,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
MATERIALS-STRESS,Materials is a lifecycle stress test: t0 release cards expire under current-MP updates and recertification returns refusal/no-go.,materials_stress_test,completed_boundary_and_no_go,outputs/milestones/ncs_phase76_parc_lifecycle_calculus/table_lifecycle_replay_materials.csv,Figure 4,version-bound durability stress test; recertification refusal,"current-MP alpha certificate, DFT validation, or prospective discovery",materials_not_main_positive,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
PARC-D-TRIAGE,Durability-risk triage is positive but scoped: dropping the top 30% high-risk rows leaves retained flip rate 0.115 versus base 0.225; the flagged rows contain 64.3% of observed flips; it is not a repaired alpha certificate.,risk_triage_positive,completed_risk_triage_positive_not_certificate,outputs/milestones/ncs_phase69_durability_budgeted_parc/table_risk_triage_frontier.csv,Figure 5,t0 public-label release-card risk triage,label-free deployment predictor or full alpha certificate,triage_not_certificate,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
PARC-D-CERT-NOGO,Risk-gated recertification is no-go: Phase74 K=300 primary row returns 0/20 non-empty seeds.,boundary_no_go,completed_no_go,outputs/milestones/ncs_phase74_risk_gated_recertification/table_risk_gated_primary_row.csv,Figure 4; Supplement,risk-gated recertification refuses,near-success current-MP certificate,do_not_soften_no_go,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
ACTIVE-RECERT-NOGO,"Active current-MP recertification is no-go: best row has 4/20 non-empty seeds, 0/20 safe seeds and FTR 0.320.",boundary_no_go,completed_no_go,outputs/milestones/ncs_phase75_active_versioned_recertification/table_active_recertification_policy_comparison.csv,Figure 4; Supplement,targeted t1 support does not repair materials recertification,constructive materials positive,phase75_no_go_explicit,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
DFT-V2-PENDING,"DFT v2 is optional and pending: 11 completed, 2 failed, no stable_exact outcomes.",pending_bonus_not_core,execution_checkpoint_only,outputs/milestones/ncs_phase70_dft_v2_checkpoint/table_dft_v2_execution_checkpoint_summary.csv,Supplement only unless gates pass,ongoing blinded recomputation checkpoint,"DFT validation, stable/unstable outcome, or prospective discovery",exclude_from_core_until_claim_ready,NCS_architecture_freeze;paper_spine_claim_hierarchy_display_plan_guardrails;no_new_empirical_evidence;materials_as_lifecycle_stress_test;PARC_A_as_primary_empirical_positive;not_DFT_evidence;not_prospective_materials_discovery
