dataset,generator,method,alpha1,seed,candidate_budget_M,num_predictions,idf1,mota,motp,num_switches,precision,recall,HOTA,hota_note,runtime_sec
OVT-B,GroundingDINO,PARC,0.1,0,150,724,0.10851888441370924,0.05733815842380374,,5.0,0.9958563535911602,0.05798150381986329,,requires_trackeval,7.070102660916746
OVT-B,GroundingDINO,PARC,0.1,1,150,969,0.0914004914004914,0.04715958928847841,,29.0,0.9865841073271414,0.04932666013105619,,requires_trackeval,8.668023354373872
OVT-B,GroundingDINO,PARC,0.1,2,150,1005,0.080920533377643,0.041572741460031204,,18.0,0.9860696517412936,0.04295994451187793,,requires_trackeval,11.47931301034987
OVT-B,GroundingDINO,PARC,0.2,0,150,1027,0.09830032443949445,0.05172238075825519,,6.0,0.997078870496592,0.05218100285364859,,requires_trackeval,7.8521205661818385
OVT-B,GroundingDINO,PARC,0.2,1,150,969,0.0914004914004914,0.04715958928847841,,29.0,0.9865841073271414,0.04932666013105619,,requires_trackeval,8.674708838574588
OVT-B,GroundingDINO,PARC,0.2,2,150,1005,0.080920533377643,0.041572741460031204,,18.0,0.9860696517412936,0.04295994451187793,,requires_trackeval,11.516773820854723
OVT-B,GroundingDINO,confidence_top_m,0.1,0,150,1027,0.09830032443949445,0.05172238075825519,,6.0,0.997078870496592,0.05218100285364859,,requires_trackeval,7.6974786119535565
OVT-B,GroundingDINO,confidence_top_m,0.1,1,150,969,0.0914004914004914,0.04715958928847841,,29.0,0.9865841073271414,0.04932666013105619,,requires_trackeval,8.601895541884005
OVT-B,GroundingDINO,confidence_top_m,0.1,2,150,1005,0.080920533377643,0.041572741460031204,,18.0,0.9860696517412936,0.04295994451187793,,requires_trackeval,11.259133531711996
OVT-B,GroundingDINO,confidence_top_m,0.2,0,150,1027,0.09830032443949445,0.05172238075825519,,6.0,0.997078870496592,0.05218100285364859,,requires_trackeval,7.760984274558723
OVT-B,GroundingDINO,confidence_top_m,0.2,1,150,969,0.0914004914004914,0.04715958928847841,,29.0,0.9865841073271414,0.04932666013105619,,requires_trackeval,8.524468261748552
OVT-B,GroundingDINO,confidence_top_m,0.2,2,150,1005,0.080920533377643,0.041572741460031204,,18.0,0.9860696517412936,0.04295994451187793,,requires_trackeval,11.303591969422996
TAO,GroundingDINO,PARC,0.1,0,150,0,,,,,,,,requires_trackeval,0.1925958599895239
TAO,GroundingDINO,PARC,0.1,1,150,0,,,,,,,,requires_trackeval,0.19121914822608232
TAO,GroundingDINO,PARC,0.1,2,150,0,,,,,,,,requires_trackeval,0.1915979515761137
TAO,GroundingDINO,PARC,0.2,0,150,441,0.09489916963226572,0.04897844948222785,,63.0,0.9682539682539683,0.05975370836831794,,requires_trackeval,5.997447933070362
TAO,GroundingDINO,PARC,0.2,1,150,399,0.08139064816062526,0.04201082312731419,,84.0,0.974937343358396,0.05539732270008545,,requires_trackeval,5.402050114236772
TAO,GroundingDINO,PARC,0.2,2,150,449,0.11062547098718915,0.05884254768832853,,63.0,0.9755011135857461,0.07080504364694472,,requires_trackeval,5.508321986533701
TAO,GroundingDINO,confidence_top_m,0.1,0,150,441,0.09489916963226572,0.04897844948222785,,63.0,0.9682539682539683,0.05975370836831794,,requires_trackeval,5.5194623144343495
TAO,GroundingDINO,confidence_top_m,0.1,1,150,399,0.08139064816062526,0.04201082312731419,,84.0,0.974937343358396,0.05539732270008545,,requires_trackeval,5.217971647158265
TAO,GroundingDINO,confidence_top_m,0.1,2,150,460,0.11101137043686415,0.05896529562982,,69.0,0.9739130434782609,0.07197943444730077,,requires_trackeval,5.502119020558894
TAO,GroundingDINO,confidence_top_m,0.2,0,150,441,0.09489916963226572,0.04897844948222785,,63.0,0.9682539682539683,0.05975370836831794,,requires_trackeval,5.470836197026074
TAO,GroundingDINO,confidence_top_m,0.2,1,150,399,0.08139064816062526,0.04201082312731419,,84.0,0.974937343358396,0.05539732270008545,,requires_trackeval,5.285061436705291
TAO,GroundingDINO,confidence_top_m,0.2,2,150,460,0.11101137043686415,0.05896529562982,,69.0,0.9739130434782609,0.07197943444730077,,requires_trackeval,5.506468382664025
