K,score_a,score_b,intersection_n,overlap_fraction_of_K,jaccard
25,chgnet_score,mace_score,23,0.92,0.8518518518518519
25,chgnet_score,consensus_score,24,0.96,0.9230769230769231
25,chgnet_score,alignnff_score,3,0.12,0.06382978723404255
25,mace_score,consensus_score,23,0.92,0.8518518518518519
25,mace_score,alignnff_score,5,0.2,0.1111111111111111
25,consensus_score,alignnff_score,3,0.12,0.06382978723404255
50,chgnet_score,mace_score,47,0.94,0.8867924528301887
50,chgnet_score,consensus_score,48,0.96,0.9230769230769231
50,chgnet_score,alignnff_score,11,0.22,0.12359550561797752
50,mace_score,consensus_score,49,0.98,0.9607843137254902
50,mace_score,alignnff_score,11,0.22,0.12359550561797752
50,consensus_score,alignnff_score,11,0.22,0.12359550561797752
75,chgnet_score,mace_score,70,0.9333333333333333,0.875
75,chgnet_score,consensus_score,70,0.9333333333333333,0.875
75,chgnet_score,alignnff_score,18,0.24,0.13636363636363635
75,mace_score,consensus_score,74,0.9866666666666667,0.9736842105263158
75,mace_score,alignnff_score,19,0.25333333333333335,0.1450381679389313
75,consensus_score,alignnff_score,19,0.25333333333333335,0.1450381679389313
100,chgnet_score,mace_score,95,0.95,0.9047619047619048
100,chgnet_score,consensus_score,95,0.95,0.9047619047619048
100,chgnet_score,alignnff_score,24,0.24,0.13636363636363635
100,mace_score,consensus_score,99,0.99,0.9801980198019802
100,mace_score,alignnff_score,23,0.23,0.12994350282485875
100,consensus_score,alignnff_score,24,0.24,0.13636363636363635
300,chgnet_score,mace_score,279,0.93,0.8691588785046729
300,chgnet_score,consensus_score,281,0.9366666666666666,0.8808777429467085
300,chgnet_score,alignnff_score,96,0.32,0.19047619047619047
300,mace_score,consensus_score,296,0.9866666666666667,0.9736842105263158
300,mace_score,alignnff_score,92,0.30666666666666664,0.18110236220472442
300,consensus_score,alignnff_score,93,0.31,0.1834319526627219
500,chgnet_score,mace_score,476,0.952,0.9083969465648855
500,chgnet_score,consensus_score,478,0.956,0.9157088122605364
500,chgnet_score,alignnff_score,198,0.396,0.24688279301745636
500,mace_score,consensus_score,496,0.992,0.9841269841269841
500,mace_score,alignnff_score,188,0.376,0.2315270935960591
500,consensus_score,alignnff_score,189,0.378,0.23304562268803947
