score,arm,n,mean,median,min,max,n_release,n_tail,mean_delta,median_delta
chgnet_score,PARC-release-full,75.0,4.2854620474614356,4.119761201729927,3.572861935388299,7.643260214617967,,,,
chgnet_score,raw_top100_extra_tail,25.0,3.5059934558655788,3.453525357219505,3.365442318397988,3.8949115392165137,,,,
mace_score,PARC-release-full,75.0,4.246405440013775,4.046403213275749,3.5412002687406394,8.095871954847524,,,,
mace_score,raw_top100_extra_tail,25.0,3.4363816646570986,3.4325037279837813,3.363642960532551,3.516488570646924,,,,
consensus_score,PARC-release-full,75.0,4.217015142682366,4.021921662301351,3.5412002687406394,7.643260214617967,,,,
consensus_score,raw_top100_extra_tail,25.0,3.427481014664416,3.431923868202582,3.363642960532551,3.5038187745514726,,,,
alignnff_score,PARC-release-full,75.0,4.985622198936659,4.768810749053955,1.1288503408432007,9.873527526855469,,,,
alignnff_score,raw_top100_extra_tail,25.0,4.079171729078925,3.9941886453067554,1.0866341590881348,6.7556884765625,,,,
alignnff_energy_per_atom,PARC-release-full,75.0,-4.985622198936659,-4.768810749053955,-9.873527526855469,-1.1288503408432007,,,,
alignnff_energy_per_atom,raw_top100_extra_tail,25.0,-4.079171729078925,-3.9941886453067554,-6.7556884765625,-1.0866341590881348,,,,
chgnet_score,PARC-release-full_minus_raw_top100_extra_tail,,,,,,75.0,25.0,0.7794685915958568,0.6662358445104224
mace_score,PARC-release-full_minus_raw_top100_extra_tail,,,,,,75.0,25.0,0.8100237753566764,0.6138994852919675
consensus_score,PARC-release-full_minus_raw_top100_extra_tail,,,,,,75.0,25.0,0.7895341280179502,0.5899977940987693
alignnff_score,PARC-release-full_minus_raw_top100_extra_tail,,,,,,75.0,25.0,0.9064504698577345,0.7746221037471996
alignnff_energy_per_atom,PARC-release-full_minus_raw_top100_extra_tail,,,,,,75.0,25.0,-0.9064504698577345,-0.7746221037471996
