domain,step,lifecycle_state,event,reference_version,K,alpha,audit_policy,audit_budget_fraction,release_size,nonempty_seeds,safe_seeds,observed_FTR,artifact,interpretation,evidence_scope,panel,state,entry_condition,exit_condition,allowed_claim,forbidden_claim,method,one_sided_validity,can_release,can_refuse,can_acquire_audit,can_expire_certificate,can_recertify,has_release_card,handles_reference_drift,capability_note
CTC cell tracking,1.0,active_audit_required,initial scarce one-sided support is insufficient for release,CTC official labels masked for audit emulation,100,0.1,none_or_matched_random,0.0,0,0.0,0.0,,outputs/milestones/ncs_phase63_parc_a_certificate_directed_active_verification/table_parc_a_primary_gate.csv,"without targeted one-sided support, release remains unavailable",PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,ctc_active_audit_lifecycle,,,,,,,,,,,,,,,
CTC cell tracking,2.0,certified_release,targeted audit acquires verified positives and restores release,CTC official labels masked for audit emulation,100,0.1,top_score,0.005,2000,20.0,20.0,0.0,outputs/milestones/ncs_phase63_parc_a_certificate_directed_active_verification/table_parc_a_primary_gate.csv,PARC-A turns verification budget into a strict release card,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,ctc_active_audit_lifecycle,,,,,,,,,,,,,,,
CTC cell tracking,3.0,certified_release,mechanism: high-score positives remove limiting null-superset block maxima,CTC official labels masked for audit emulation,100,0.1,score_targeted_0p2pct,0.002,2000,20.0,20.0,0.0,outputs/milestones/ncs_phase65b_parc_a_mechanism_diagnostics/table_parc_a_mechanism_gate.csv,active audit gain explains why targeted support is not a generic threshold trick,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,ctc_active_audit_lifecycle,,,,,,,,,,,,,,,
WBM materials,1.0,certified_release,t0 public-label PARC release exists under original reference,WBM/Matbench t0,300,0.1,,,pre-existing t0 release rows,,,t0-scoped,outputs/milestones/ncs_phase69_durability_budgeted_parc/table_durability_budgeted_release_frontier.csv,t0 certificate is version-scoped and does not automatically transport,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,materials_reference_update_lifecycle,,,,,,,,,,,,,,,
WBM materials,2.0,expired_after_reference_update,current-MP t1 reference changes the validity labels,Materials Project current t1,300,0.1,,,89,,,0.0224719101123595,outputs/milestones/ncs_phase69_durability_budgeted_parc/table_durability_budgeted_release_frontier.csv,version-shift accounting is required before inheriting a release,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,materials_reference_update_lifecycle,,,,,,,,,,,,,,,
WBM materials,3.0,risk_triage_required,t0 public-label release-card metadata predicts drift risk,Materials Project current t1 audit,300,0.1,,,99,,,0.0202020202020202,outputs/milestones/ncs_phase69_durability_budgeted_parc/table_risk_triage_frontier.csv,triage reduces retained drift burden but is not a repaired alpha certificate,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,materials_reference_update_lifecycle,,,,,,,,,,,,,,,
WBM materials,4.0,recertified_refusal,risk-gated filtered-universe recertification still refuses,Materials Project current t1,300,0.1,,,0,,,,outputs/milestones/ncs_phase74_risk_gated_recertification/table_risk_gated_primary_row.csv,risk-gating upstream does not recover a current-MP release certificate,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,materials_reference_update_lifecycle,,,,,,,,,,,,,,,
WBM materials,5.0,recertified_refusal,active t1 recertification also fails GO-medium/GO-strong gate,Materials Project current t1,20,0.1,,,3.0,,,0.3201871657754011,outputs/milestones/ncs_phase75_active_versioned_recertification/table_active_recertification_policy_comparison.csv,targeted calibration-side t1 support does not repair the materials certificate,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,materials_reference_update_lifecycle,,,,,,,,,,,,,,,
WBM materials,6.0,active_audit_required,"independent DFT v2 remains a checkpoint, not evidence",blinded DFT v2 manifest,,,,,11,,,,outputs/milestones/ncs_phase70_dft_v2_checkpoint/table_dft_v2_execution_checkpoint_summary.csv,do not use DFT v2 until stable_exact and workflow gates pass,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,materials_reference_update_lifecycle,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PARC_lifecycle_calculus;synthesis_of_completed_artifacts;not_new_empirical_claim;not_DFT_evidence;not_prospective_materials_discovery,release_card_states,certified_release,non-empty compatible set satisfies PARC self-consistency,"reference update, audit failure, or new release request",version-scoped expected false-release control,"absolute truth, prospective materials discovery, or guarantee under a future reference",,,,,,,,,,
