risk_model,K,alpha0,retain_fraction,release_size_candidate_level,nonempty_folds,fold_count,min_test_retained_n_across_folds,safe_folds_t1,observed_FTR_t1,observed_flip_rate_retained,mean_FTR_t0_by_design,beta_UCB_max_across_calibration_folds,beta_UCB_mean_across_calibration_folds,alpha0_plus_beta_UCB,budget_pass_pre_eval,seed_level_gate_available,primary_success_candidate_level,primary_success_full_certificate,paper_role,evidence_scope
candidate_margin_only,300,0.01,0.3,74,3,5,0,0,0.22972972972972974,0.22972972972972974,0.0,0.3779638698231735,0.3389395121249844,0.3879638698231735,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.025,0.3,74,3,5,0,0,0.22972972972972974,0.22972972972972974,0.0,0.3779638698231735,0.3389395121249844,0.4029638698231735,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.05,0.3,74,3,5,0,0,0.22972972972972974,0.22972972972972974,0.0,0.3779638698231735,0.3389395121249844,0.42796386982317347,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.075,0.3,74,3,5,0,0,0.22972972972972974,0.22972972972972974,0.0,0.3779638698231735,0.3389395121249844,0.4529638698231735,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.01,0.4,96,5,5,2,0,0.20833333333333334,0.20833333333333334,0.0,0.3493998645422746,0.32252251637673124,0.3593998645422746,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.025,0.4,96,5,5,2,0,0.20833333333333334,0.20833333333333334,0.0,0.3493998645422746,0.32252251637673124,0.37439986454227464,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.05,0.4,96,5,5,2,0,0.20833333333333334,0.20833333333333334,0.0,0.3493998645422746,0.32252251637673124,0.3993998645422746,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.075,0.4,96,5,5,2,0,0.20833333333333334,0.20833333333333334,0.0,0.3493998645422746,0.32252251637673124,0.42439986454227463,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.01,0.5,118,5,5,11,0,0.211864406779661,0.211864406779661,0.0,0.32154564856827694,0.2976413478474771,0.33154564856827695,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.025,0.5,118,5,5,11,0,0.211864406779661,0.211864406779661,0.0,0.32154564856827694,0.2976413478474771,0.34654564856827696,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
candidate_margin_only,300,0.05,0.5,118,5,5,11,0,0.211864406779661,0.211864406779661,0.0,0.32154564856827694,0.2976413478474771,0.37154564856827693,False,False,False,False,risk_triage_or_boundary_diagnostic,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery
