risk_model,n_rows,base_flip_rate,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_brier_score,top20_risk_flip_rate,bottom20_risk_flip_rate,top20_enrichment_vs_base,feature_names,cv_scheme,evidence_scope,delta_auc_vs_candidate_margin,system_beats_candidate_margin,combined_beats_candidate_margin,primary_prediction_signal,model_role,panel,K,retain_fraction,flagged_fraction,n_total,n_retained_low_risk,n_flagged_high_risk,retained_flip_rate,flagged_flip_rate,relative_flip_rate_reduction_retained,fraction_flips_flagged,retained_beta_UCB_observed,triage_secondary_success,alpha0,release_size_candidate_level,nonempty_folds,fold_count,min_test_retained_n_across_folds,safe_folds_t1,observed_FTR_t1,observed_flip_rate_retained,mean_FTR_t0_by_design,beta_UCB_max_across_calibration_folds,beta_UCB_mean_across_calibration_folds,alpha0_plus_beta_UCB,budget_pass_pre_eval,seed_level_gate_available,primary_success_candidate_level,primary_success_full_certificate,paper_role
candidate_margin_only,441.0,0.2267573696145124,0.5442954538763201,0.1400598001475805,0.3472479773401465,0.1335298353010123,0.2526182532143216,0.1910112359550561,0.2359550561797752,0.8423595505617977,t0_margin,GroupKFold_by_chemical_system,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,0.0,True,True,False,comparison,risk_model_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_plus_system,441.0,0.2267573696145124,0.7693302007315774,0.057885881337941,0.449916472119572,0.1579413717423904,0.2100824613486579,0.4157303370786517,0.0337078651685393,1.8333707865168536,t0_margin;t0_e_above_hull_numeric;raw_rank;raw_score;parc_e_value;parc_release_margin;parc_release_seed_count;near_hull_25mev_t0_int;near_hull_50mev_t0_int;K;chemsys_n_candidates;chemsys_log_n_candidates;chemsys_n_elements;chemsys_t0_stable_count;chemsys_t0_stable_frac;chemsys_near_hull_25_count;chemsys_near_hull_50_count;chemsys_near_hull_100_count;chemsys_near_hull_200_count;chemsys_near_hull_25_frac;chemsys_near_hull_50_frac;chemsys_near_hull_100_frac;chemsys_near_hull_200_frac;chemsys_t0_margin_mean;chemsys_t0_margin_std;chemsys_t0_margin_min;chemsys_t0_margin_max;chemsys_t0_margin_median;chemsys_t0_margin_ge_010_count;chemsys_t0_margin_ge_020_count;chemsys_t0_margin_ge_050_count;chemsys_raw_score_mean;chemsys_raw_score_max;chemsys_raw_score_std;chemsys_raw_rank_min;chemsys_raw_rank_median,GroupKFold_by_chemical_system,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,0.2250347468552573,True,True,False,comparison,risk_model_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_t0_score_only,441.0,0.2267573696145124,0.4668914367501006,0.1470302166738018,0.2774092190392893,0.1237572823125304,0.3010435182157523,0.1348314606741573,0.2696629213483146,0.5946067415730336,t0_margin;t0_e_above_hull_numeric;raw_rank;raw_score;parc_e_value;parc_release_margin;parc_release_seed_count;near_hull_25mev_t0_int;near_hull_50mev_t0_int;K,GroupKFold_by_chemical_system,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,-0.0774040171262194,True,True,False,comparison,risk_model_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chemical_system_exploration_only,441.0,0.2267573696145124,0.7659166126950671,0.0385365748181357,0.4027846197223421,0.0905474980572542,0.2094520001529081,0.4044943820224719,0.0,1.783820224719101,chemsys_n_candidates;chemsys_log_n_candidates;chemsys_n_elements;chemsys_t0_stable_count;chemsys_t0_stable_frac;chemsys_near_hull_25_count;chemsys_near_hull_50_count;chemsys_near_hull_100_count;chemsys_near_hull_200_count;chemsys_near_hull_25_frac;chemsys_near_hull_50_frac;chemsys_near_hull_100_frac;chemsys_near_hull_200_frac;chemsys_t0_margin_mean;chemsys_t0_margin_std;chemsys_t0_margin_min;chemsys_t0_margin_max;chemsys_t0_margin_median;chemsys_t0_margin_ge_010_count;chemsys_t0_margin_ge_020_count;chemsys_t0_margin_ge_050_count;chemsys_raw_score_mean;chemsys_raw_score_max;chemsys_raw_score_std;chemsys_raw_rank_min;chemsys_raw_rank_median,GroupKFold_by_chemical_system,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,0.221621158818747,True,True,True,comparison,risk_model_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
system_margin_distribution,441.0,0.2267573696145124,0.8439105997137972,0.0571792026841391,0.5580141430027996,0.1505718196842268,0.1778705461196434,0.5842696629213483,0.0,2.576629213483146,chemsys_t0_margin_mean;chemsys_t0_margin_std;chemsys_t0_margin_min;chemsys_t0_margin_max;chemsys_t0_margin_median;chemsys_t0_margin_ge_010_count;chemsys_t0_margin_ge_020_count;chemsys_t0_margin_ge_050_count,GroupKFold_by_chemical_system,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,False,False,False,primary_phase69_model,risk_model_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
system_size_activity_proxy,441.0,0.2267573696145124,0.7945521872621966,0.073896169130737,0.47435980730936,0.1184963000443098,0.1877021367760138,0.3932584269662921,0.0,1.7342696629213483,chemsys_n_candidates;chemsys_log_n_candidates;chemsys_n_elements;chemsys_t0_stable_count;chemsys_t0_stable_frac,GroupKFold_by_chemical_system,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,False,False,False,comparison,risk_model_comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.3,0.7,249.0,74.0,175.0,0.22972972972972974,0.22285714285714286,-0.021476833976834066,0.6964285714285714,0.33746529266622677,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.4,0.6,249.0,99.0,150.0,0.21212121212121213,0.23333333333333334,0.05681818181818176,0.625,0.302615280774591,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.5,0.5,249.0,124.0,125.0,0.20967741935483872,0.24,0.06768433179723496,0.5357142857142857,0.28950516192235964,False,,,,,,,,,,,,,,,,,
candidate_margin_only,,0.2248995983935743,,,,,,,,,,,durability_budgeted_release_card_diagnostic;crossfit_risk_scores_grouped_by_chemical_system;t0_public_label_features_not_label_free;candidate_level_t0_stable_release_rows;not_full_release_alpha_certificate;not_DFT_evidence;not_prospective_materials_discovery,,,,,,risk_triage_frontier,300.0,0.6,0.4,249.0,149.0,100.0,0.18791946308724833,0.28,0.16442953020134224,0.5,0.2581910148934781,False,,,,,,,,,,,,,,,,,
