claim_id,claim_text,evidence_type,positive_evidence,scope,artifact_path,hash,validation_command,status,overclaim_guardrail
M-T1-001,Frozen PARC K=300/500 queues have lower current-MP t1 FTR than raw top-K.,current_MP_hull_shift_utility_audit,yes,not_strict_alpha_certificate,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t1_ftr_by_k_and_policy.csv,d1c17631d1509f71ad182bbf6cbde6d24a54aa2e595feedc95579d4ab90fa553,make reproduce-materials-t0-t1 && make reproduce-materials-figures,PASS,do_not_claim_temporal_alpha_control_or_prospective_discovery
M-T1-002,Stable-to-unstable drift is not concentrated in the PARC release relative to raw top-K.,current_MP_hull_shift_utility_audit,yes,version_shift_drift_diagnostic,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t1_stable_to_unstable_drift.csv,0da035ff8668895e97d95b9bcbb800376b97f58aa310ad142d80d83077bc35c3,make reproduce-materials-t0-t1 && make reproduce-materials-figures,PASS,drift_diagnostic_not_t1_certificate
M-T1-003,The current-MP t1 audit is not a strict alpha=0.10 temporal certificate.,claim_boundary,no,failed_strict_t1_alpha_gate,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_t1_gate_assessment.csv,3db71892f9545676c5ab17dfa6f90ba5c99dd140c8f01fdf33ca6019dfe431ae,make reproduce-materials-t0-t1,PASS,explicitly_forbid_t1_alpha_control_claim
M-CAND-001,"Candidate-level t1 false releases are decomposed into boundary, drift, chemistry, and model-disagreement classes.",candidate_level_failure_explanation,yes,explanation_diagnostic_no_MLIP_consensus_claim,outputs/milestones/ncs_phase51_materials_t1_candidate_explanation/table_t1_false_release_decomposition.csv,526eabeedfddcb5b32a432a2152050ecdc60e4dfcc72ad9ec43f51452ff4587a,make reproduce-materials-mlip-audit,PASS,do_not_claim_CHGNet_MACE_consensus_validation
M-STAT-001,Chemical-system block bootstrap intervals quantify t1 utility and drift uncertainty.,block_bootstrap_uncertainty,yes,paired_audit_uncertainty,outputs/milestones/ncs_phase52_materials_t1_uncertainty/table_t1_bootstrap_ci.csv,669019c635996be67ab3e0eb812ebb7178584cfabb853310fb40a02439c2c225,make reproduce-materials-figures,PASS,confidence_intervals_are_not_theorem_guarantees
M-STAT-002,"Rank-bin randomization tests compare PARC to raw top-K, matched raw top-R, and stratified raw subsets.",randomization_test,yes,empirical_audit_comparison,outputs/milestones/ncs_phase52_materials_t1_uncertainty/table_t1_randomization_tests.csv,77a8c9ce5c913f5103fc2fe38e818027e29e615f842e501184a74cfa14cc71ce,make reproduce-materials-figures,PASS,does_not_claim_matched_volume_ranking_improvement
M-MLIP-001,Phase53 CHGNet/MACE score-support proxies favor PARC release over raw-only extra-tail at K=300/500.,candidate_level_CHGNet_MACE_score_audit,yes,score_support_proxy_not_reference_hull_or_DFT_evidence,outputs/milestones/ncs_phase53_chgnet_mace_candidate_audit/table_chgnet_mace_support_by_policy.csv,4ce97542f89e78c3a2ec2c49fbe0f0f57c529e96280f13d16d8293d9848ad582,make reproduce-ncs-phase53-chgnet-mace-candidate-audit,PASS,do_not_claim_reference_hull_ehull_DFT_or_prospective_discovery
M-MLIP-002,Phase53 t1 false-case explanation is only partial under CHGNet/MACE score proxies.,candidate_level_CHGNet_MACE_boundary_diagnostic,no,partial_false_case_mechanism_not_completed_stability_validation,outputs/milestones/ncs_phase53_chgnet_mace_candidate_audit/table_phase53_go_no_go.csv,560396dbd92630b476c857689b96319397974b2b648f50b10dffc6b08b4cbba3,make reproduce-ncs-phase53-chgnet-mace-candidate-audit,PASS,do_not_claim_CHGNet_MACE_explains_all_current_MP_false_releases
M-VSHIFT-001,The current-MP t1 burden decomposes into t0 FTR plus stable-to-current-not-stable drift minus not-stable-to-current-stable drift.,version_shift_accounting_identity,yes,deterministic_accounting_not_new_alpha_certificate,outputs/milestones/ncs_phase56_version_shift_accounting/table_version_shift_decomposition.csv,1f491625bb6b7c79ce4505ba5e5ab56dc5685e81ec7e644050cf33f8b7c7284a,make reproduce-ncs-phase56-version-shift-accounting,PASS,do_not_claim_t1_alpha_control_from_accounting_identity
M-BASE-T1-001,"The t1/CHGNet-MACE baseline frontier preserves the matched-volume boundary: PARC is certified stopping/refusal, not a matched-volume ranking improvement claim.",t1_MLIP_empirical_baseline_frontier,yes,capability_comparison_not_equal_target_object,outputs/milestones/ncs_phase57_t1_mlip_baseline_frontier/table_t1_mlip_baseline_frontier.csv,a0b57777b0074261d95bc54c89eeda1ce7bb060af4441a068509886f218d28c0,make reproduce-ncs-phase57-t1-mlip-baseline-frontier,PASS,do_not_claim_PARC_matched_volume_ranking_improvement
M-PARCV-001,A simple CHGNet/MACE support-gated PARC-V subset is non-empty but does not create a headline-capable current-MP t1 release result.,PARC_V_support_gate_feasibility_audit,no,completed_no_go_for_headline_not_full_SCS_rerun,outputs/milestones/ncs_phase60_parc_v_version_aware_release/table_parc_v_gate_audit.csv,df39352057a825bf53bf849de842618816faf79a3a9d50ef42006d7fcaae15b3,make reproduce-ncs-phase60-parc-v-version-aware-release,PASS,do_not_claim_new_PARC_V_theorem_t1_alpha_control_DFT_or_prospective_discovery
M-PARCM-001,PARC-M proxy fusion gives a medium empirical t1 improvement but is not a theorem-grade multi-evidence certificate.,PARC_M_multi_evidence_fusion_feasibility_audit,partial,empirical_medium_signal_not_theorem_grade_or_headline_ready,outputs/milestones/ncs_phase61_parc_m_multi_evidence_fusion/table_parc_m_gate_audit.csv,b52550397532753c8cd217816231c2afd3d94a45e6e0f4a15b4192e6158eb747,make reproduce-ncs-phase61-parc-m-multi-evidence-fusion,PASS,do_not_claim_multi_evidence_evalue_certificate_t1_alpha_control_DFT_or_prospective_discovery
M-PARCM-FULLCAL-001,"CHGNet/MACE auxiliary sources have full-calibration e-values over the frozen WBM calibration subset, but do not pass the headline method-upgrade gate.",full_calibration_auxiliary_evalue_audit,partial,completed_full_calibration_sources_no_headline_signal,outputs/milestones/ncs_phase62_full_calibration_mlip_evalues/table_parc_m_full_calibration_gate_audit.csv,6ce07f028aa76451ad18e8b560a2420762bb55c06e557834647d8cdff8b0eca4,make reproduce-ncs-phase62-full-calibration-mlip-evalues,PASS,do_not_claim_t1_alpha_control_DFT_evidence_or_prospective_materials_discovery
M-PARCR-001,Current-MP PARC-R recertification refuses the K=300/500 materials queues rather than inheriting the old t0 release under an unsafe current hull.,versioned_recertification_refusal_boundary,partial,queue_limited_current_MP_t1_recertification_refusal_not_nonempty_release,outputs/milestones/ncs_phase64_parc_r_versioned_recertification/table_parc_r_gate_audit.csv,d5d8c112ef876f60216f529a2af956b212ee11d3252501186ee809b8c3390383,make reproduce-ncs-phase64-parc-r-versioned-recertification,PASS,do_not_claim_nonempty_t1_alpha_release_DFT_or_prospective_materials_discovery
CTC-PARCA-POLICY-001,PARC-A certificate-directed acquisition policies are evaluated against score-targeted and random one-sided audit on the CTC K=100 primary row.,certificate_directed_active_acquisition_policy,partial,primary_CTC_only_no_new_labels_or_materials_discovery,outputs/milestones/ncs_phase65_parc_a_certificate_directed_policy/table_parc_a_claim_gate.csv,2c173242fe28b3f8245f6d4cbc7159cecd7d7d35ae6f651280a0b54fe1a24402,make reproduce-ncs-phase65-parc-a-certificate-directed-policy,PASS,do_not_claim_new_human_labels_DFT_or_prospective_materials_discovery
MAT-PARCA-ACTIVE-001,Materials active-audit policies are evaluated as t0 public-label audit-emulation attempts with t1 utility reported only as a scoped audit.,materials_active_audit_attempt,partial,materials_t0_public_label_emulation_not_prospective_discovery,outputs/milestones/ncs_phase65c_materials_active_audit_attempt/table_materials_active_audit_claim_gate.csv,0082949ff1748aa78fc2c49db80b730cffd2e2e457758130cf33ba08c2bcb96f,make reproduce-ncs-phase65c-materials-active-audit-attempt,PASS,do_not_claim_prospective_materials_discovery_t1_alpha_control_or_DFT_evidence
MAT-DFTV2-PILOT-001,A blinded DFT v2 pilot manifest and CIF package are frozen before outcomes.,pre_outcome_DFT_execution_package,no,pre_outcome_package_only_not_DFT_evidence,outputs/milestones/ncs_phase68_dft_v2_pilot/dft_v2_blinded_transfer_manifest.csv,dc9cee8aaf0a7e3abbc18137d38a2893c467a6bf2de89b042ca0d4ddc21d5787,make reproduce-ncs-phase68-dft-v2-pilot,PASS,do_not_claim_DFT_outcome_prospective_discovery_or_alpha_control
MAT-DFTV2-QE-SECONDARY-001,The blinded Phase68 package has a local Quantum ESPRESSO secondary-sensitivity tmux launch with complete pseudopotential coverage.,QE_secondary_local_execution_launch,no,QE_secondary_sensitivity_not_primary_DFT_v2_validity_endpoint,outputs/milestones/ncs_phase68b_qe_secondary_launch/qe_secondary_launch_status.csv,4446dd1218a9c47c064a7f2841c6aec7a2ede69efdbda2003224c432cf3ed159,make reproduce-ncs-phase68b-qe-secondary-local-run,PASS,do_not_claim_primary_DFT_endpoint_DFT_outcome_prospective_discovery_or_alpha_control
