dataset,generator,alpha1,seed,candidate_budget_M,best_mass_ratio,best_margin,best_k,best_tau,predicted_nonempty,actual_released,actual_nonempty,prediction_correct
OVT-B,GroundingDINO,0.1,0,150,1.0642654355923875,0.9180776513198197,105,14.285714285714286,True,105,True,True
OVT-B,GroundingDINO,0.1,1,150,2.042552504794465,10.566410521565524,148,10.135135135135135,True,150,True,True
OVT-B,GroundingDINO,0.1,2,150,2.895862159947613,24.515458964839823,116,12.93103448275862,True,150,True,True
OVT-B,GroundingDINO,0.2,0,150,2.128530871184775,11.158300708238848,105,7.142857142857143,True,150,True,True
OVT-B,GroundingDINO,0.2,1,150,4.08510500958893,15.633978089133091,148,5.0675675675675675,True,150,True,True
OVT-B,GroundingDINO,0.2,2,150,5.791724319895226,30.980976206219133,116,6.46551724137931,True,150,True,True
TAO,GroundingDINO,0.1,0,150,0.9285384167460573,-2.5053999261555937,41,36.58536585365853,False,0,False,True
TAO,GroundingDINO,0.1,1,150,0.8093592416999075,-3.1773459716682098,90,16.666666666666668,False,0,False,True
TAO,GroundingDINO,0.1,2,150,0.810631199433624,-4.479698100294373,36,41.666666666666664,False,0,False,True
TAO,GroundingDINO,0.2,0,150,1.8570768334921146,15.678234759002095,41,18.292682926829265,True,150,True,True
TAO,GroundingDINO,0.2,1,150,1.618718483399815,12.009339692362204,90,8.333333333333334,True,150,True,True
TAO,GroundingDINO,0.2,2,150,1.621262398867248,12.942966643067667,36,20.833333333333332,True,142,True,True
OVT-B,OWLv2,0.1,0,150,0.1025347110778336,-9.104358936424056,125,12.0,False,0,False,True
OVT-B,OWLv2,0.1,1,150,0.10368984390304763,-8.963101560969523,150,10.0,False,0,False,True
OVT-B,OWLv2,0.1,2,150,0.11567260561881762,-9.126573508350724,6,249.99999999999997,False,0,False,True
OVT-B,OWLv2,0.2,0,150,0.2050694221556672,-4.104358936424055,125,6.0,False,0,False,True
OVT-B,OWLv2,0.2,1,150,0.20737968780609525,-3.9631015609695237,150,5.0,False,0,False,True
OVT-B,OWLv2,0.2,2,150,0.23134521123763524,-4.126573508350724,6,124.99999999999999,False,0,False,True
TAO,OWLv2,0.1,0,150,0.0838466810881992,-9.191812083702104,130,11.538461538461538,False,0,False,True
TAO,OWLv2,0.1,1,150,0.11914398670391325,-8.867354713657855,12,124.99999999999999,False,0,False,True
TAO,OWLv2,0.1,2,150,0.11944810337585036,-8.820938539402361,139,10.79136690647482,False,0,False,True
TAO,OWLv2,0.2,0,150,0.1676933621763984,-4.1918120837021045,130,5.769230769230769,False,0,False,True
TAO,OWLv2,0.2,1,150,0.2382879734078265,-3.8673547136578548,12,62.49999999999999,False,0,False,True
TAO,OWLv2,0.2,2,150,0.23889620675170073,-3.820938539402361,139,5.39568345323741,False,0,False,True
OVT-B,OWL-ViT v1,0.1,0,150,0.194134466682491,-8.919400030056954,73,20.54794520547945,False,0,False,True
OVT-B,OWL-ViT v1,0.1,1,150,0.2100866322437731,-8.267318176032163,82,18.292682926829265,False,0,False,True
OVT-B,OWL-ViT v1,0.1,2,150,0.11745956053770051,-8.93556705666717,100,15.0,False,0,False,True
OVT-B,OWL-ViT v1,0.2,0,150,0.388268933364982,-3.9194000300569547,73,10.273972602739725,False,0,False,True
OVT-B,OWL-ViT v1,0.2,1,150,0.4201732644875462,-3.2673181760321617,82,9.146341463414632,False,0,False,True
OVT-B,OWL-ViT v1,0.2,2,150,0.23491912107540103,-3.9355670566671694,100,7.5,False,0,False,True
TAO,OWL-ViT v1,0.1,0,150,0.05031972350573266,-9.512517807365796,139,10.79136690647482,False,0,False,True
TAO,OWL-ViT v1,0.1,1,150,0.04368784616833212,-9.602710429394786,147,10.204081632653061,False,0,False,True
TAO,OWL-ViT v1,0.1,2,150,0.039367182968016,-9.60632817031984,150,10.0,False,0,False,True
TAO,OWL-ViT v1,0.2,0,150,0.10063944701146532,-4.512517807365796,139,5.39568345323741,False,0,False,True
TAO,OWL-ViT v1,0.2,1,150,0.08737569233666424,-4.602710429394787,147,5.1020408163265305,False,0,False,True
TAO,OWL-ViT v1,0.2,2,150,0.078734365936032,-4.6063281703198395,150,5.0,False,0,False,True
