audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,ai_label,ai_confidence,ai_support_score,ai_reason,human_label,human_confidence,human_notes,human_accepts_ai_label
CTC-PHASE81-0003,PhC-C2DH-U373,2,109,110,PhC-C2DH-U373/02/t109,109,401,426,3,3,PhC-C2DH-U373/02/t110,110,398,426,3,3,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0006,Fluo-N2DL-HeLa,2,67,68,Fluo-N2DL-HeLa/02/t067,67,702,517,5,5,Fluo-N2DL-HeLa/02/t068,68,702,517,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0011,DIC-C2DH-HeLa,2,69,70,DIC-C2DH-HeLa/02/t069,69,91,275,19,19,DIC-C2DH-HeLa/02/t070,70,91,275,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0012,PhC-C2DH-U373,2,24,25,PhC-C2DH-U373/02/t024,24,78,244,9,9,PhC-C2DH-U373/02/t025,25,83,244,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0014,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,404,388,5,5,Fluo-N2DL-HeLa/02/t027,27,404,388,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0020,PhC-C2DH-U373,2,87,88,PhC-C2DH-U373/02/t087,87,586,180,9,9,PhC-C2DH-U373/02/t088,88,582,172,9,9,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0025,Fluo-N2DH-GOWT1,2,29,30,Fluo-N2DH-GOWT1/02/t029,29,218,370,42,37,Fluo-N2DH-GOWT1/02/t030,30,218,369,37,37,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0028,Fluo-N2DH-GOWT1,2,0,1,Fluo-N2DH-GOWT1/02/t000,0,788,773,55,57,Fluo-N2DH-GOWT1/02/t001,1,788,775,55,55,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0034,Fluo-N2DH-GOWT1,2,17,18,Fluo-N2DH-GOWT1/02/t017,17,599,671,40,39,Fluo-N2DH-GOWT1/02/t018,18,601,671,39,39,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0040,Fluo-N2DL-HeLa,2,31,32,Fluo-N2DL-HeLa/02/t031,31,610,169,5,5,Fluo-N2DL-HeLa/02/t032,32,610,169,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0043,DIC-C2DH-HeLa,2,49,50,DIC-C2DH-HeLa/02/t049,49,206,176,19,19,DIC-C2DH-HeLa/02/t050,50,206,176,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0045,Fluo-N2DH-GOWT1,2,63,64,Fluo-N2DH-GOWT1/02/t063,63,182,53,29,29,Fluo-N2DH-GOWT1/02/t064,64,184,53,29,29,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0057,PhC-C2DH-U373,2,10,11,PhC-C2DH-U373/02/t010,10,560,97,9,9,PhC-C2DH-U373/02/t011,11,556,97,13,9,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0059,Fluo-N2DL-HeLa,2,51,52,Fluo-N2DL-HeLa/02/t051,51,908,275,5,5,Fluo-N2DL-HeLa/02/t052,52,908,275,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0063,Fluo-N2DL-HeLa,2,10,11,Fluo-N2DL-HeLa/02/t010,10,583,162,5,5,Fluo-N2DL-HeLa/02/t011,11,583,161,5,6,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0067,PhC-C2DH-U373,2,90,91,PhC-C2DH-U373/02/t090,90,51,288,1,1,PhC-C2DH-U373/02/t091,91,52,286,1,1,uncertain,medium,0.5,geometry is plausible but displacement or size change needs human review,,,,
CTC-PHASE81-0068,DIC-C2DH-HeLa,2,59,60,DIC-C2DH-HeLa/02/t059,59,220,301,19,19,DIC-C2DH-HeLa/02/t060,60,220,301,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0071,DIC-C2DH-HeLa,2,61,62,DIC-C2DH-HeLa/02/t061,61,286,435,19,19,DIC-C2DH-HeLa/02/t062,62,286,435,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0074,Fluo-N2DL-HeLa,2,12,13,Fluo-N2DL-HeLa/02/t012,12,583,286,6,5,Fluo-N2DL-HeLa/02/t013,13,584,286,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0085,Fluo-N2DH-GOWT1,2,76,77,Fluo-N2DH-GOWT1/02/t076,76,513,515,40,41,Fluo-N2DH-GOWT1/02/t077,77,513,515,39,39,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0086,Fluo-N2DH-GOWT1,2,33,34,Fluo-N2DH-GOWT1/02/t033,33,392,192,18,19,Fluo-N2DH-GOWT1/02/t034,34,392,193,22,23,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0089,DIC-C2DH-HeLa,2,12,13,DIC-C2DH-HeLa/02/t012,12,146,49,15,15,DIC-C2DH-HeLa/02/t013,13,147,48,13,14,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0092,Fluo-N2DH-GOWT1,2,45,46,Fluo-N2DH-GOWT1/02/t045,45,431,241,33,33,Fluo-N2DH-GOWT1/02/t046,46,430,241,33,33,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
