audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,auditor_label,auditor_confidence,auditor_notes
CTC-PHASE81-0001,PhC-C2DH-U373,2,53,54,PhC-C2DH-U373/02/t053,53,633,284,5,5,PhC-C2DH-U373/02/t054,54,633,284,5,5,,,
CTC-PHASE81-0010,PhC-C2DH-U373,2,16,17,PhC-C2DH-U373/02/t016,16,548,97,9,9,PhC-C2DH-U373/02/t017,17,548,97,9,9,,,
CTC-PHASE81-0016,PhC-C2DH-U373,2,75,76,PhC-C2DH-U373/02/t075,75,482,453,3,3,PhC-C2DH-U373/02/t076,76,482,453,3,3,,,
CTC-PHASE81-0019,PhC-C2DH-U373,2,93,94,PhC-C2DH-U373/02/t093,93,456,422,3,3,PhC-C2DH-U373/02/t094,94,455,422,3,3,,,
CTC-PHASE81-0024,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,389,630,5,5,Fluo-N2DL-HeLa/02/t002,2,389,630,5,5,,,
CTC-PHASE81-0026,Fluo-N2DL-HeLa,2,52,53,Fluo-N2DL-HeLa/02/t052,52,488,84,3,3,Fluo-N2DL-HeLa/02/t053,53,488,84,3,3,,,
CTC-PHASE81-0029,Fluo-N2DL-HeLa,2,13,14,Fluo-N2DL-HeLa/02/t013,13,454,627,5,5,Fluo-N2DL-HeLa/02/t014,14,454,627,5,5,,,
CTC-PHASE81-0032,PhC-C2DH-U373,2,47,48,PhC-C2DH-U373/02/t047,47,635,300,3,3,PhC-C2DH-U373/02/t048,48,635,299,3,3,,,
CTC-PHASE81-0033,Fluo-N2DL-HeLa,2,88,89,Fluo-N2DL-HeLa/02/t088,88,645,241,3,3,Fluo-N2DL-HeLa/02/t089,89,645,241,3,3,,,
CTC-PHASE81-0046,Fluo-N2DL-HeLa,2,29,30,Fluo-N2DL-HeLa/02/t029,29,645,599,3,3,Fluo-N2DL-HeLa/02/t030,30,645,599,3,3,,,
CTC-PHASE81-0050,Fluo-N2DL-HeLa,2,1,2,Fluo-N2DL-HeLa/02/t001,1,581,378,5,5,Fluo-N2DL-HeLa/02/t002,2,581,378,5,5,,,
CTC-PHASE81-0058,Fluo-N2DL-HeLa,2,17,18,Fluo-N2DL-HeLa/02/t017,17,642,572,3,3,Fluo-N2DL-HeLa/02/t018,18,642,572,4,3,,,
CTC-PHASE81-0072,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,575,283,5,5,Fluo-N2DL-HeLa/02/t006,6,575,283,5,5,,,
CTC-PHASE81-0076,Fluo-N2DL-HeLa,2,2,3,Fluo-N2DL-HeLa/02/t002,2,363,553,5,5,Fluo-N2DL-HeLa/02/t003,3,363,553,5,5,,,
CTC-PHASE81-0077,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,642,583,3,3,Fluo-N2DL-HeLa/02/t020,20,642,583,3,3,,,
CTC-PHASE81-0079,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,585,602,1,1,Fluo-N2DL-HeLa/02/t027,27,585,602,1,1,,,
CTC-PHASE81-0080,Fluo-N2DL-HeLa,2,82,83,Fluo-N2DL-HeLa/02/t082,82,677,180,3,3,Fluo-N2DL-HeLa/02/t083,83,677,180,3,3,,,
CTC-PHASE81-0087,PhC-C2DH-U373,2,59,60,PhC-C2DH-U373/02/t059,59,77,295,9,9,PhC-C2DH-U373/02/t060,60,77,295,9,9,,,
CTC-PHASE81-0104,Fluo-N2DL-HeLa,2,88,89,Fluo-N2DL-HeLa/02/t088,88,323,64,3,3,Fluo-N2DL-HeLa/02/t089,89,323,64,3,3,,,
CTC-PHASE81-0105,PhC-C2DH-U373,2,52,53,PhC-C2DH-U373/02/t052,52,519,461,3,3,PhC-C2DH-U373/02/t053,53,518,461,3,3,,,
CTC-PHASE81-0111,PhC-C2DH-U373,2,39,40,PhC-C2DH-U373/02/t039,39,638,296,3,3,PhC-C2DH-U373/02/t040,40,638,296,3,3,,,
CTC-PHASE81-0119,PhC-C2DH-U373,2,104,105,PhC-C2DH-U373/02/t104,104,424,431,3,3,PhC-C2DH-U373/02/t105,105,424,431,3,3,,,
CTC-PHASE81-0120,Fluo-N2DL-HeLa,2,17,18,Fluo-N2DL-HeLa/02/t017,17,920,670,5,5,Fluo-N2DL-HeLa/02/t018,18,920,670,5,5,,,
CTC-PHASE81-0123,PhC-C2DH-U373,2,86,87,PhC-C2DH-U373/02/t086,86,635,265,3,3,PhC-C2DH-U373/02/t087,87,635,265,3,3,,,
CTC-PHASE81-0125,PhC-C2DH-U373,2,89,90,PhC-C2DH-U373/02/t089,89,61,420,5,5,PhC-C2DH-U373/02/t090,90,61,420,5,5,,,
CTC-PHASE81-0128,Fluo-N2DL-HeLa,2,5,6,Fluo-N2DL-HeLa/02/t005,5,766,124,5,5,Fluo-N2DL-HeLa/02/t006,6,766,124,5,5,,,
CTC-PHASE81-0137,PhC-C2DH-U373,2,22,23,PhC-C2DH-U373/02/t022,22,112,422,7,7,PhC-C2DH-U373/02/t023,23,112,422,7,7,,,
CTC-PHASE81-0146,PhC-C2DH-U373,2,6,7,PhC-C2DH-U373/02/t006,6,62,279,9,9,PhC-C2DH-U373/02/t007,7,62,279,9,9,,,
CTC-PHASE81-0150,Fluo-N2DL-HeLa,2,84,85,Fluo-N2DL-HeLa/02/t084,84,318,59,3,3,Fluo-N2DL-HeLa/02/t085,85,318,59,3,3,,,
CTC-PHASE81-0153,PhC-C2DH-U373,2,91,92,PhC-C2DH-U373/02/t091,91,61,420,5,5,PhC-C2DH-U373/02/t092,92,61,420,5,5,,,
CTC-PHASE81-0155,PhC-C2DH-U373,2,54,55,PhC-C2DH-U373/02/t054,54,633,284,5,5,PhC-C2DH-U373/02/t055,55,633,284,5,5,,,
CTC-PHASE81-0165,PhC-C2DH-U373,2,99,100,PhC-C2DH-U373/02/t099,99,66,416,5,5,PhC-C2DH-U373/02/t100,100,66,416,5,5,,,
CTC-PHASE81-0179,PhC-C2DH-U373,2,1,2,PhC-C2DH-U373/02/t001,1,58,292,9,9,PhC-C2DH-U373/02/t002,2,58,292,9,9,,,
CTC-PHASE81-0189,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,88,240,9,9,PhC-C2DH-U373/02/t031,31,88,240,9,9,,,
CTC-PHASE81-0199,Fluo-N2DL-HeLa,2,2,3,Fluo-N2DL-HeLa/02/t002,2,454,626,5,5,Fluo-N2DL-HeLa/02/t003,3,454,626,5,5,,,
CTC-PHASE81-0212,PhC-C2DH-U373,2,73,74,PhC-C2DH-U373/02/t073,73,58,423,5,5,PhC-C2DH-U373/02/t074,74,58,423,5,5,,,
