audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,auditor_label,auditor_confidence,auditor_notes
CTC-PHASE81-0021,PhC-C2DH-U373,2,80,81,PhC-C2DH-U373/02/t080,80,579,191,9,9,PhC-C2DH-U373/02/t081,81,638,264,3,3,,,
CTC-PHASE81-0038,PhC-C2DH-U373,2,45,46,PhC-C2DH-U373/02/t045,45,66,462,5,5,PhC-C2DH-U373/02/t046,46,57,446,5,5,,,
CTC-PHASE81-0049,PhC-C2DH-U373,2,56,57,PhC-C2DH-U373/02/t056,56,63,423,5,5,PhC-C2DH-U373/02/t057,57,53,430,5,5,,,
CTC-PHASE81-0082,PhC-C2DH-U373,2,78,79,PhC-C2DH-U373/02/t078,78,638,264,3,3,PhC-C2DH-U373/02/t079,79,53,233,1,1,,,
CTC-PHASE81-0096,PhC-C2DH-U373,2,30,31,PhC-C2DH-U373/02/t030,30,642,322,3,3,PhC-C2DH-U373/02/t031,31,565,457,5,5,,,
CTC-PHASE81-0114,PhC-C2DH-U373,2,82,83,PhC-C2DH-U373/02/t082,82,638,264,3,3,PhC-C2DH-U373/02/t083,83,485,439,3,3,,,
CTC-PHASE81-0129,PhC-C2DH-U373,2,97,98,PhC-C2DH-U373/02/t097,97,55,299,1,1,PhC-C2DH-U373/02/t098,98,449,438,3,3,,,
CTC-PHASE81-0140,PhC-C2DH-U373,2,85,86,PhC-C2DH-U373/02/t085,85,580,190,11,11,PhC-C2DH-U373/02/t086,86,635,265,3,3,,,
CTC-PHASE81-0142,PhC-C2DH-U373,2,8,9,PhC-C2DH-U373/02/t008,8,77,402,7,7,PhC-C2DH-U373/02/t009,9,61,275,9,9,,,
CTC-PHASE81-0144,PhC-C2DH-U373,2,42,43,PhC-C2DH-U373/02/t042,42,76,462,5,6,PhC-C2DH-U373/02/t043,43,60,442,5,5,,,
CTC-PHASE81-0148,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,638,264,3,3,PhC-C2DH-U373/02/t078,78,484,446,3,3,,,
CTC-PHASE81-0149,PhC-C2DH-U373,2,43,44,PhC-C2DH-U373/02/t043,43,72,461,5,5,PhC-C2DH-U373/02/t044,44,58,444,5,5,,,
CTC-PHASE81-0164,PhC-C2DH-U373,2,81,82,PhC-C2DH-U373/02/t081,81,485,441,3,3,PhC-C2DH-U373/02/t082,82,638,264,3,3,,,
CTC-PHASE81-0186,PhC-C2DH-U373,2,106,107,PhC-C2DH-U373/02/t106,106,424,430,3,3,PhC-C2DH-U373/02/t107,107,634,318,3,3,,,
CTC-PHASE81-0202,PhC-C2DH-U373,2,26,27,PhC-C2DH-U373/02/t026,26,569,458,6,5,PhC-C2DH-U373/02/t027,27,639,323,3,3,,,
CTC-PHASE81-0203,PhC-C2DH-U373,2,33,34,PhC-C2DH-U373/02/t033,33,642,301,3,3,PhC-C2DH-U373/02/t034,34,548,458,5,5,,,
CTC-PHASE81-0206,PhC-C2DH-U373,2,83,84,PhC-C2DH-U373/02/t083,83,635,265,3,3,PhC-C2DH-U373/02/t084,84,485,438,3,3,,,
CTC-PHASE81-0240,PhC-C2DH-U373,2,80,81,PhC-C2DH-U373/02/t080,80,638,264,3,3,PhC-C2DH-U373/02/t081,81,485,441,3,3,,,
CTC-PHASE81-0241,PhC-C2DH-U373,2,83,84,PhC-C2DH-U373/02/t083,83,485,439,3,3,PhC-C2DH-U373/02/t084,84,635,265,3,3,,,
CTC-PHASE81-0245,PhC-C2DH-U373,2,81,82,PhC-C2DH-U373/02/t081,81,638,264,3,3,PhC-C2DH-U373/02/t082,82,485,441,3,3,,,
CTC-PHASE81-0257,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,484,446,3,3,PhC-C2DH-U373/02/t078,78,638,264,3,3,,,
CTC-PHASE81-0264,PhC-C2DH-U373,2,104,105,PhC-C2DH-U373/02/t104,104,641,301,3,3,PhC-C2DH-U373/02/t105,105,424,431,3,3,,,
CTC-PHASE81-0290,PhC-C2DH-U373,2,3,4,PhC-C2DH-U373/02/t003,3,641,291,3,3,PhC-C2DH-U373/02/t004,4,578,106,9,9,,,
CTC-PHASE81-0334,PhC-C2DH-U373,2,105,106,PhC-C2DH-U373/02/t105,105,424,431,3,3,PhC-C2DH-U373/02/t106,106,53,306,3,3,,,
CTC-PHASE81-0348,PhC-C2DH-U373,2,27,28,PhC-C2DH-U373/02/t027,27,569,458,5,5,PhC-C2DH-U373/02/t028,28,640,322,3,3,,,
CTC-PHASE81-0354,PhC-C2DH-U373,2,15,16,PhC-C2DH-U373/02/t015,15,606,444,11,11,PhC-C2DH-U373/02/t016,16,641,325,3,3,,,
CTC-PHASE81-0378,PhC-C2DH-U373,2,74,75,PhC-C2DH-U373/02/t074,74,638,266,3,3,PhC-C2DH-U373/02/t075,75,482,453,3,3,,,
CTC-PHASE81-0380,PhC-C2DH-U373,2,8,9,PhC-C2DH-U373/02/t008,8,187,182,11,11,PhC-C2DH-U373/02/t009,9,61,275,9,9,,,
CTC-PHASE81-0397,PhC-C2DH-U373,2,12,13,PhC-C2DH-U373/02/t012,12,52,262,9,9,PhC-C2DH-U373/02/t013,13,78,421,7,7,,,
CTC-PHASE81-0402,PhC-C2DH-U373,2,31,32,PhC-C2DH-U373/02/t031,31,107,455,10,12,PhC-C2DH-U373/02/t032,32,60,410,5,5,,,
CTC-PHASE81-0408,PhC-C2DH-U373,2,79,80,PhC-C2DH-U373/02/t079,79,53,233,1,1,PhC-C2DH-U373/02/t080,80,485,441,3,3,,,
CTC-PHASE81-0419,PhC-C2DH-U373,2,31,32,PhC-C2DH-U373/02/t031,31,56,394,5,5,PhC-C2DH-U373/02/t032,32,106,461,7,7,,,
CTC-PHASE81-0420,PhC-C2DH-U373,2,1,2,PhC-C2DH-U373/02/t001,1,622,431,11,11,PhC-C2DH-U373/02/t002,2,639,286,3,3,,,
CTC-PHASE81-0423,PhC-C2DH-U373,2,84,85,PhC-C2DH-U373/02/t084,84,485,438,3,3,PhC-C2DH-U373/02/t085,85,635,265,3,3,,,
CTC-PHASE81-0433,PhC-C2DH-U373,2,78,79,PhC-C2DH-U373/02/t078,78,58,423,5,5,PhC-C2DH-U373/02/t079,79,53,233,1,1,,,
CTC-PHASE81-0443,PhC-C2DH-U373,2,81,82,PhC-C2DH-U373/02/t081,81,60,424,5,5,PhC-C2DH-U373/02/t082,82,485,441,3,3,,,
CTC-PHASE81-0461,PhC-C2DH-U373,2,57,58,PhC-C2DH-U373/02/t057,57,63,422,5,5,PhC-C2DH-U373/02/t058,58,54,431,5,5,,,
CTC-PHASE81-0465,PhC-C2DH-U373,2,93,94,PhC-C2DH-U373/02/t093,93,637,291,3,3,PhC-C2DH-U373/02/t094,94,455,422,3,3,,,
CTC-PHASE81-0466,PhC-C2DH-U373,2,72,73,PhC-C2DH-U373/02/t072,72,39,390,13,13,PhC-C2DH-U373/02/t073,73,58,423,5,5,,,
