audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,ai_label,ai_confidence,ai_support_score,ai_reason,human_label,human_confidence,human_notes,human_accepts_ai_label
CTC-PHASE81-0013,PhC-C2DH-U373,2,54,55,PhC-C2DH-U373/02/t054,54,56,434,5,5,PhC-C2DH-U373/02/t055,55,56,437,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0018,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,761,59,5,5,Fluo-N2DL-HeLa/02/t020,20,761,59,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0035,DIC-C2DH-HeLa,2,23,24,DIC-C2DH-HeLa/02/t023,23,87,44,19,19,DIC-C2DH-HeLa/02/t024,24,87,44,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0042,Fluo-N2DL-HeLa,2,46,47,Fluo-N2DL-HeLa/02/t046,46,401,388,5,5,Fluo-N2DL-HeLa/02/t047,47,401,388,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0047,Fluo-N2DH-GOWT1,2,87,88,Fluo-N2DH-GOWT1/02/t087,87,761,621,33,34,Fluo-N2DH-GOWT1/02/t088,88,763,620,33,34,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0054,Fluo-N2DL-HeLa,2,39,40,Fluo-N2DL-HeLa/02/t039,39,561,392,5,5,Fluo-N2DL-HeLa/02/t040,40,561,392,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0060,PhC-C2DH-U373,2,105,106,PhC-C2DH-U373/02/t105,105,55,305,3,3,PhC-C2DH-U373/02/t106,106,53,306,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0098,PhC-C2DH-U373,2,37,38,PhC-C2DH-U373/02/t037,37,539,152,9,9,PhC-C2DH-U373/02/t038,38,539,151,9,10,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0107,Fluo-N2DH-GOWT1,2,51,52,Fluo-N2DH-GOWT1/02/t051,51,506,305,41,41,Fluo-N2DH-GOWT1/02/t052,52,506,305,41,41,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0122,Fluo-N2DL-HeLa,2,63,64,Fluo-N2DL-HeLa/02/t063,63,961,669,5,5,Fluo-N2DL-HeLa/02/t064,64,961,669,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0139,Fluo-N2DL-HeLa,2,28,29,Fluo-N2DL-HeLa/02/t028,28,495,402,5,5,Fluo-N2DL-HeLa/02/t029,29,495,402,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0160,Fluo-N2DH-GOWT1,2,44,45,Fluo-N2DH-GOWT1/02/t044,44,127,459,41,40,Fluo-N2DH-GOWT1/02/t045,45,126,458,41,41,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0161,Fluo-N2DL-HeLa,2,6,7,Fluo-N2DL-HeLa/02/t006,6,910,255,7,7,Fluo-N2DL-HeLa/02/t007,7,910,255,7,7,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0167,DIC-C2DH-HeLa,2,43,44,DIC-C2DH-HeLa/02/t043,43,83,51,19,19,DIC-C2DH-HeLa/02/t044,44,83,51,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0178,Fluo-N2DL-HeLa,2,37,38,Fluo-N2DL-HeLa/02/t037,37,441,612,5,5,Fluo-N2DL-HeLa/02/t038,38,441,612,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
