element,pseudo_path,pseudo_file,pseudo_sha256,source
Al,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Al.pbe-n-kjpaw_psl.1.0.0.UPF,Al.pbe-n-kjpaw_psl.1.0.0.UPF,fd7b78921e6d0939095b681c328732668eaefd1dee6882fdbc03be463550cc97,SSSP_efficiency_v1.1
As,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/As.pbe-n-rrkjus_psl.0.2.UPF,As.pbe-n-rrkjus_psl.0.2.UPF,5b31b3d612abd028d3a9ab896bf6de95d455080ad415d21f1011e130342b4434,SSSP_efficiency_v1.1
B,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/b_pbe_v1.4.uspp.F.UPF,b_pbe_v1.4.uspp.F.UPF,01a3696c14b1b245b9741165ffea38120b879286cddbeb956142f8fa922941ee,SSSP_efficiency_v1.1
Ba,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ba.pbe-spn-kjpaw_psl.1.0.0.UPF,Ba.pbe-spn-kjpaw_psl.1.0.0.UPF,315a2af416c5906cdff071f5f8e59cfdff912f3c488be1be2cb2f1a044ec7c64,SSSP_efficiency_v1.1
Bi,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Bi_pbe_v1.uspp.F.UPF,Bi_pbe_v1.uspp.F.UPF,56e4e097a6b5a74149ba3b3bb75c03f2b022b509f53767143653dcd7b079e97d,SSSP_efficiency_v1.1
Br,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/br_pbe_v1.4.uspp.F.UPF,br_pbe_v1.4.uspp.F.UPF,611dc0ac2804aed2e5b8a3c138f272b2a4e131009aad5279454170f948176951,SSSP_efficiency_v1.1
C,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/C.pbe-n-kjpaw_psl.1.0.0.UPF,C.pbe-n-kjpaw_psl.1.0.0.UPF,9900d1efd50b9848e31849f39094b33348486b400ee51e0f3922f716137cf3d7,SSSP_efficiency_v1.1
Ca,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ca_pbe_v1.uspp.F.UPF,Ca_pbe_v1.uspp.F.UPF,5887acb75823f7f92df1b3117fece4e43498cafccaaaf9cfa653615af1a20d6e,SSSP_efficiency_v1.1
Cd,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Cd.pbe-dn-rrkjus_psl.0.3.1.UPF,Cd.pbe-dn-rrkjus_psl.0.3.1.UPF,eb5553c18543c409454926825f7653c985cd40a24993a26d37a913d6f4d40b8c,SSSP_efficiency_v1.1
Ce,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/Ce.GGA-PBE-paw-v1.0.UPF,Ce.GGA-PBE-paw-v1.0.UPF,2682b4bd433cbd14b97dd0e7f803271508ae07d9b1d256c8d759bdd7c3280ca0,SSSP_efficiency_v1.1
Cl,outputs/milestones/mattergen_parc_prospective_dft_followup/A3_QE_LOCAL_RUN/pseudos/cl_pbe_v1.4.uspp.F.UPF,cl_pbe_v1.4.uspp.F.UPF,5b1ebdea1e5ba743fba0100806206287e1f7f00460c7e6f19791446beaee0655,SSSP_efficiency_v1.1
