dataset,generator,mondrian_variant,alpha1,released_mean,released_std,utr_mean,conservative_ftr_mean,margin_mean,nonempty_rate,n_rank_cell_mean,n_rank_cell_min
OVT-B,GroundingDINO,category,0.1,34.0,58.88972745734183,0.0032679738562091504,0.00980392156862745,0.4660261509158854,0.3333333333333333,144.37777777777777,0.0
OVT-B,GroundingDINO,category,0.2,97.66666666666667,4.041451884327382,0.0032679738562091504,0.0032679738562091504,5.195455382360884,1.0,144.37777777777777,0.0
OVT-B,GroundingDINO,category_occ,0.1,34.0,58.88972745734183,0.0032679738562091504,0.00980392156862745,0.4660261509158854,0.3333333333333333,144.37777777777777,0.0
OVT-B,GroundingDINO,category_occ,0.2,97.66666666666667,4.041451884327382,0.0032679738562091504,0.0032679738562091504,5.195455382360884,1.0,144.37777777777777,0.0
OVT-B,GroundingDINO,global,0.1,135.0,25.98076211353316,0.02190476190476191,0.02190476190476191,5.480572478786656,1.0,666.0,666.0
OVT-B,GroundingDINO,global,0.2,150.0,0.0,0.02,0.02,10.12947452118192,1.0,666.0,666.0
OVT-B,GroundingDINO,query_cluster,0.1,34.0,58.88972745734183,0.0032679738562091504,0.00980392156862745,0.4660261509158854,0.3333333333333333,144.37777777777777,0.0
OVT-B,GroundingDINO,query_cluster,0.2,97.66666666666667,4.041451884327382,0.0032679738562091504,0.0032679738562091504,5.195455382360884,1.0,144.37777777777777,0.0
TAO,GroundingDINO,category,0.1,0.0,0.0,0.0,,,0.0,119.0911111111111,0.0
TAO,GroundingDINO,category,0.2,0.0,0.0,0.0,,,0.0,119.0911111111111,0.0
TAO,GroundingDINO,category_occ,0.1,0.0,0.0,0.0,,,0.0,119.0911111111111,0.0
TAO,GroundingDINO,category_occ,0.2,0.0,0.0,0.0,,,0.0,119.0911111111111,0.0
TAO,GroundingDINO,global,0.1,0.0,0.0,0.0,,,0.0,587.3333333333334,587.3333333333334
TAO,GroundingDINO,global,0.2,147.33333333333334,4.61880215351701,0.02456964006259781,0.017777777777777778,0.5994989182711778,1.0,587.3333333333334,587.3333333333334
TAO,GroundingDINO,query_cluster,0.1,0.0,0.0,0.0,,,0.0,119.0911111111111,0.0
TAO,GroundingDINO,query_cluster,0.2,0.0,0.0,0.0,,,0.0,119.0911111111111,0.0
