dataset,generator,alpha1,seed,stress_level,split_rule,result_status,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,assumption_status,paper_use
OVT-B,GroundingDINO,0.1,0,iid_baseline,existing_random_seed_splits,actual_existing_certificate,105.0,0.019047619047619,0.0,0.0095238095238095,1.0642654355923875,38.546439933685846,nan,main_iid_reference,main_reference
OVT-B,GroundingDINO,0.1,0,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
OVT-B,GroundingDINO,0.1,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
OVT-B,GroundingDINO,0.1,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,nan,assumption_boundary_actual_rerun,assumption_boundary_result
OVT-B,GroundingDINO,0.1,1,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.0266666666666666,0.0,0.02,1.46913017622778,37.20674236442314,nan,main_iid_reference,main_reference
OVT-B,GroundingDINO,0.1,1,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
OVT-B,GroundingDINO,0.1,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
OVT-B,GroundingDINO,0.1,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,nan,assumption_boundary_actual_rerun,assumption_boundary_result
OVT-B,GroundingDINO,0.1,2,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.02,0.0,0.0066666666666666,2.0832338022762347,37.44649344759844,nan,main_iid_reference,main_reference
OVT-B,GroundingDINO,0.1,2,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
OVT-B,GroundingDINO,0.1,2,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
OVT-B,GroundingDINO,0.1,2,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,1.7249101668151992,30.8851209998927,nan,assumption_boundary_actual_rerun,assumption_boundary_result
OVT-B,GroundingDINO,0.2,0,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.0133333333333333,0.0,0.0066666666666666,1.972956755701122,38.546439933685846,nan,main_iid_reference,main_reference
OVT-B,GroundingDINO,0.2,0,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
OVT-B,GroundingDINO,0.2,0,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
OVT-B,GroundingDINO,0.2,0,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,nan,assumption_boundary_actual_rerun,assumption_boundary_result
OVT-B,GroundingDINO,0.2,1,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.0266666666666666,0.0,0.02,2.93826035245556,37.20674236442314,nan,main_iid_reference,main_reference
OVT-B,GroundingDINO,0.2,1,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
OVT-B,GroundingDINO,0.2,1,moderate_head_to_tail_query_shift,head_query_calibration_tail_query_test,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,assumption_boundary_design,design_row_not_certificate
OVT-B,GroundingDINO,0.2,1,severe_sparse_annotation_shift,dense_supported_calibration_sparse_unmatched_test,actual_assumption_boundary_rerun,150.0,0.0533333333333333,0.0,0.02,3.4498203336303983,30.8851209998927,nan,assumption_boundary_actual_rerun,assumption_boundary_result
OVT-B,GroundingDINO,0.2,2,iid_baseline,existing_random_seed_splits,actual_existing_certificate,150.0,0.02,0.0,0.0066666666666666,4.166467604552469,37.44649344759844,nan,main_iid_reference,main_reference
OVT-B,GroundingDINO,0.2,2,mild_scene_shift,scene_or_video_family_split,requires_custom_split_rerun,,,,,,,requires_custom_split_rerun,not_claimed_until_rerun,design_row_not_certificate
