tracker,dataset,method,alpha1,released_mean,released_std,parc_release_mean,parc_release_std,raw_release_mean,raw_release_std,utr_mean,utr_std,audited_ftr_on_labeled_released_mean,audited_ftr_on_labeled_released_std,conservative_ftr_uncertain_and_unlabeled_false_mean,conservative_ftr_uncertain_and_unlabeled_false_std,mass_ratio_mean,mass_ratio_std,self_consistency_margin_mean,self_consistency_margin_std,HOTA_mean,HOTA_std,IDF1_mean,IDF1_std,MOTA_mean,MOTA_std
ovtb_baseline,ovtb,parc_wrapped,0.1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.22559195006063493,0.04634980333924016,,,,,,,,
ovtb_baseline,ovtb,parc_wrapped,0.2,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.45118390012126985,0.09269960667848025,,,,,,,,
ovtb_baseline,ovtb,raw_tracker_topM,0.1,150.0,0.0,,,150.0,0.0,0.3933333333333333,0.07688375063113864,,,0.3933333333333333,0.07688375063113864,,,,,,,,,,
ovtb_baseline,ovtb,raw_tracker_topM,0.2,150.0,0.0,,,150.0,0.0,0.3933333333333333,0.07688375063113864,,,0.3933333333333333,0.07688375063113864,,,,,,,,,,
ovtb_baseline,tao,parc_wrapped,0.1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0885361399308547,0.009605572831764888,,,,,,,,
ovtb_baseline,tao,parc_wrapped,0.2,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.17707227986170948,0.01921114566352972,,,,,,,,
ovtb_baseline,tao,raw_tracker_topM,0.1,150.0,0.0,,,150.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,
ovtb_baseline,tao,raw_tracker_topM,0.2,150.0,0.0,,,150.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,
ovtr,ovtb,parc_wrapped,0.1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.329716383121129,0.11563186435771114,,,,,,,,
ovtr,ovtb,parc_wrapped,0.2,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.659432766242258,0.23126372871542225,,,,,,,,
ovtr,ovtb,raw_tracker_topM,0.1,150.0,0.0,,,150.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,
ovtr,ovtb,raw_tracker_topM,0.2,150.0,0.0,,,150.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,
ovtr,tao,parc_wrapped,0.1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.3063312599447548,0.1308081336543227,,,,,,,,
ovtr,tao,parc_wrapped,0.2,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.6126625198895096,0.2616162673086454,,,,,,,,
ovtr,tao,raw_tracker_topM,0.1,150.0,0.0,,,150.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,
ovtr,tao,raw_tracker_topM,0.2,150.0,0.0,,,150.0,0.0,1.0,0.0,,,1.0,0.0,,,,,,,,,,
