dataset,task,certified_risk_target_alpha,seed,M,released,official_unsupported_rate,conservative_unknown_as_false_rate,mass_ratio,empty_reason,mask_iou_threshold,paper_scope,paper_placement
BURST,OVVIS_box_to_mask_scaffold,0.1,0,150,150.0,0.04,0.04,1.398232229130564,,0.5,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.1,1,150,150.0,0.04,0.04,1.3898344569291232,,0.5,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.1,2,150,0.0,0.0,0.0,0.0167819013445068,no_k_satisfies_uniform_self_consistency,0.5,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.2,0,150,150.0,0.04,0.04,2.796464458261128,,0.5,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.2,1,150,150.0,0.04,0.04,2.7796689138582464,,0.5,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.2,2,150,150.0,0.0466666666666666,0.0466666666666666,1.5845114960100246,,0.5,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.1,0,150,150.0,0.04,0.04,1.398232229130564,,0.3,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.1,1,150,150.0,0.04,0.04,1.3898344569291232,,0.3,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.1,2,150,0.0,0.0,0.0,0.0167819013445068,no_k_satisfies_uniform_self_consistency,0.3,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.2,0,150,150.0,0.04,0.04,2.796464458261128,,0.3,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.2,1,150,150.0,0.04,0.04,2.7796689138582464,,0.3,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
BURST,OVVIS_box_to_mask_scaffold,0.2,2,150,150.0,0.0466666666666666,0.0466666666666666,1.5845114960100246,,0.3,box_to_mask_proof_of_principle_not_full_mask_benchmark,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,0,150,150.0,0.02,0.02,3.474771639560635,,0.3,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,0,150,150.0,0.02,0.02,3.474771639560635,,0.5,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,0,150,150.0,0.02,0.02,3.474771639560635,,0.7,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,1,150,150.0,0.0066666666666666,0.0066666666666666,1.3563814207424882,,0.3,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,1,150,150.0,0.0066666666666666,0.0066666666666666,1.3563814207424882,,0.5,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
LVVIS,LVVIS_SAM_mask_path_certification,0.1,1,150,150.0,0.0066666666666666,0.0066666666666666,1.3563814207424882,,0.7,SAM_box_prompt_mask_benchmark_without_official_mask_gt,appendix_proof_of_principle
