K,gate,value,threshold,status,interpretation,evidence_scope
300,PARC_M_best_empirical_t1_improvement_ge_0p05,0.0353016688061617,0.05,FAIL,best empirical fusion row is PARC-M-avg,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
300,PARC_M_best_empirical_t1_improvement_ge_0p03,0.0353016688061617,0.03,PASS,best empirical fusion row is PARC-M-avg,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
300,PARC_M_best_release_size_ge_100,164,100,PASS,best empirical fusion release should not be trivial,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
300,theorem_grade_all_evalue_sources_available,0,1,FAIL,CHGNet/MACE are queue-level score proxies without full null-superset calibration blocks,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
300,PARC_M_headline_claim_allowed,0,1,FAIL,empirical medium signal is not a theorem-grade or DFT-supported headline result,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
500,PARC_M_best_empirical_t1_improvement_ge_0p05,0.03685185185185186,0.05,FAIL,best empirical fusion row is PARC-M-avg,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
500,PARC_M_best_empirical_t1_improvement_ge_0p03,0.03685185185185186,0.03,PASS,best empirical fusion row is PARC-M-avg,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
500,PARC_M_best_release_size_ge_100,150,100,PASS,best empirical fusion release should not be trivial,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
500,theorem_grade_all_evalue_sources_available,0,1,FAIL,CHGNet/MACE are queue-level score proxies without full null-superset calibration blocks,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
500,PARC_M_headline_claim_allowed,0,1,FAIL,empirical medium signal is not a theorem-grade or DFT-supported headline result,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
