method,K,alpha,release_size,t0_FTR,t1_FTR,t1_raw_topK_minus_method,t1_original_PARC_minus_method,stable_to_current_not_stable_rate,CHGNet_MACE_consensus_supported_fraction,fusion_e_min,fusion_e_max,release_threshold_tau,self_consistency_margin,best_mass_ratio,construction_rule,theorem_grade_status,evidence_scope
raw top-K,300,0.1,701,0.28815977175463625,0.4222539229671897,0.0,-0.10646444928297921,0.2296718972895863,0.6576319543509273,4.26778796297149,164.84325750151808,nan,nan,nan,fixed_existing_membership,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
PARC original release,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.0,0.19736842105263158,0.8125,14.421678661637175,164.84325750151808,nan,nan,nan,fixed_existing_membership,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
matched raw top-R,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.0,0.19736842105263158,0.8125,14.421678661637175,164.84325750151808,nan,nan,nan,fixed_existing_membership,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
raw-only extra-tail,300,0.1,541,0.36229205175600737,0.46950092421441775,-0.047247001247228027,-0.15371145053020724,0.22920517560073936,0.589648798521257,4.26778796297149,164.64649723852398,nan,nan,nan,fixed_existing_membership,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
PARC-M-avg,300,0.1,164,0.06707317073170732,0.2804878048780488,0.1417661180891409,0.0353016688061617,0.21951219512195122,0.9024390243902439,20.12592829577891,51.45640754276821,18.292682926829265,1.833245368949644,2.0717896628661423,SCS_on_frozen_proxy_fusion_evidence,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
PARC-M-raw-heavy,300,0.1,235,0.11914893617021277,0.31063829787234043,0.11161562509484929,0.005151175811870079,0.20851063829787234,0.851063829787234,12.973176792595499,85.84591230715012,12.76595744680851,0.20721934578698864,4.122817654882496,SCS_on_frozen_proxy_fusion_evidence,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
PARC-M-maxBonf,300,0.1,162,0.06790123456790123,0.2839506172839506,0.13830330568323912,0.03183885640025991,0.2222222222222222,0.9012345679012346,22.394072170774137,41.21081437537952,18.51851851851852,3.8755536522556184,2.05808121548155,SCS_on_frozen_proxy_fusion_evidence,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
PARC-M-consensus,300,0.1,235,0.11914893617021277,0.31063829787234043,0.11161562509484929,0.005151175811870079,0.20851063829787234,0.851063829787234,12.973176792595499,85.84591230715012,12.76595744680851,0.20721934578698864,4.122817654882496,SCS_on_frozen_proxy_fusion_evidence,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
PARC-M-aux-only,300,0.1,0,nan,nan,nan,nan,nan,nan,nan,nan,4.279600570613409,-4.12423648576826,0.03930730569833929,SCS_on_frozen_proxy_fusion_evidence,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
raw top-K,500,0.1,1191,0.3602015113350126,0.4869857262804366,0.0,-0.17680054109525145,0.23761544920235098,0.6624685138539043,2.9621815726991896,164.84325750151808,nan,nan,nan,fixed_existing_membership,proxy_fusion_not_theorem_grade,PARC_M_multi_evidence_fusion_feasibility;empirical_proxy_fusion_not_theorem_grade;CHGNet_MACE_queue_scores_not_full_null_calibration;not_DFT_evidence;not_prospective_discovery
