milestone,priority,status,source_artifact,paper_role,claim_boundary
materials_label_source_discordance_atlas,MUST,completed_existing_artifact,outputs/milestones/materials_label_source_discordance_atlas/table_mp_alex_discordance_atlas_summary.csv,frontier_benchmark_reliability_result,not PARC validation; not prospective discovery
verified_positive_contamination_sensitivity,MUST,completed_new_run,outputs/milestones/verification_assumption_sensitivity/table_verified_positive_contamination_sensitivity_summary.csv,verification_assumption_boundary_diagnostic,nonzero contamination rows are not formal guarantees
audit_budget_release_frontier,MUST,completed_simulated_audit_frontier,outputs/milestones/audit_budget_release_frontier/table_audit_budget_frontier_summary.csv,active_audit_budget_methodological_frontier,simulated audit only; not prospective discovery; does not modify A3
audit_budget_release_frontier_headline,MUST,completed_paper_facing_postprocess,outputs/milestones/audit_budget_release_frontier_headline/table_audit_budget_transition_primary.csv,strict_CTC_headline_plus_materials_boundary,CTC strict headline candidate; materials ALIGNN rows are mean-operating boundary secondary rows
audit_budget_frontier_strong_positive,MUST,completed_strong_positive_simulated_audit,outputs/milestones/audit_budget_frontier_strong_positive/table_strong_positive_gate_audit.csv,primary_active_audit_strong_positive,CTC K=100 is the only active-audit strong positive; CTC K=300 support only; materials excluded
nmi_reviewer_p0_hardening,MUST,completed_aggregation_package,outputs/milestones/nmi_reviewer_p0_hardening/table_p0_reviewer_gap_action_matrix.csv,reviewer_facing_p0_risk_hardening,does not create prospective materials evidence; diagnostic rows remain scoped
nmi_maintext_evidence_package,MUST,completed_paper_facing_postprocess,outputs/milestones/nmi_maintext_evidence_package/table_headline_evidence_hierarchy.csv,maintext_claim_sentence_and_figure_source_package,only CTC K=100 active-audit strong-positive row is primary headline; materials prospective discovery remains forbidden
llm_release_agent_stress_test,MUST,blocked_missing_credentials_protocol_frozen,outputs/milestones/llm_release_agent_stress_test/model_run_manifest.csv,protocol_scaffold_pending_model_outputs,no LLM behavioral evidence until model outputs are run and scored
materials_label_discordance_preregistration,SUPPORT,completed_preregistration_and_minimal_probe,outputs/milestones/materials_label_discordance_preregistration/table_minimal_discordance_probe.csv,preregistration_probe_not_primary_claim,not PARC primary contribution; not prospective discovery
materials_selection_conditional_discordance,SUPPORT,completed_no_go_diagnostic,outputs/milestones/materials_selection_conditional_discordance/table_selection_conditional_go_no_go.csv,selection_conditional_go_no_go_diagnostic,hypothesis B not supported; do not promote as positive validation
materials_queue_source_uncertainty_overlay,NICE,completed_existing_diagnostic,outputs/milestones/materials_queue_source_uncertainty_overlay/table_materials_queue_overlay_summary.csv,diagnostic_only_source_uncertainty_overlay,not positive independent validation
external_blind_audit_packet,NICE,packet_completed_labels_pending,outputs/milestones/external_blind_audit_packet/table_external_blind_audit_packet_summary.csv,pending_trust_upgrade,no positive audit claim until labels/adjudication return
