audit_id,sample_set,aoi,video_id,source_year,source_month,target_year,target_month,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,score,path_id,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
SPCAL-000001,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1000,2018,1,2018,2,1.0,1.0,1.0,1.0,0.9996848185349188,SN7::L15-0571E-1075N_2287_3888_13::2018-01->2018-02::9012->9012::17ead524a4db8236->17ead524a4db8236,,,,,
SPCAL-000002,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1001,2018,2,2018,3,1.0,1.0,1.0,1.0,0.9996878183268335,SN7::L15-0571E-1075N_2287_3888_13::2018-02->2018-03::13566->13566::80ce1091115dfb1b->80ce1091115dfb1b,,,,,
SPCAL-000003,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1002,2018,3,2018,4,1.0,1.0,1.0,1.0,0.9996907928486829,SN7::L15-0571E-1075N_2287_3888_13::2018-03->2018-04::3795->3795::f82dfc828538befd->f82dfc828538befd,,,,,
SPCAL-000004,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1003,2018,4,2018,7,1.0,1.0,1.0,1.0,0.9996937302135571,SN7::L15-0571E-1075N_2287_3888_13::2018-04->2018-07::1371->1371::888c6c5d2d12da03->888c6c5d2d12da03,,,,,
SPCAL-000005,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1004,2018,7,2018,8,1.0,1.0,1.0,1.0,0.999696649077548,SN7::L15-0571E-1075N_2287_3888_13::2018-07->2018-08::11824->11824::3da276bc4da3e529->3da276bc4da3e529,,,,,
SPCAL-000006,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1005,2018,8,2018,9,1.0,1.0,1.0,1.0,0.9996994967484096,SN7::L15-0571E-1075N_2287_3888_13::2018-08->2018-09::4905->4905::c0bab39d92f0287f->c0bab39d92f0287f,,,,,
SPCAL-000007,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1006,2018,9,2018,10,1.0,1.0,1.0,1.0,0.9997023424043019,SN7::L15-0571E-1075N_2287_3888_13::2018-09->2018-10::9884->9884::2cd14bb27e1cb114->2cd14bb27e1cb114,,,,,
SPCAL-000008,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1007,2018,10,2018,11,1.0,1.0,1.0,1.0,0.9997052087826325,SN7::L15-0571E-1075N_2287_3888_13::2018-10->2018-11::2817->2817::1461f9e59e4f03ba->1461f9e59e4f03ba,,,,,
SPCAL-000009,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1008,2018,11,2018,12,1.0,1.0,1.0,1.0,0.999708031299502,SN7::L15-0571E-1075N_2287_3888_13::2018-11->2018-12::5572->5572::a892f4f7ea7cb207->a892f4f7ea7cb207,,,,,
SPCAL-000010,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1009,2018,12,2019,1,1.0,1.0,1.0,1.0,0.9997108147881375,SN7::L15-0571E-1075N_2287_3888_13::2018-12->2019-01::8853->8853::42eea8db81fd2ce8->42eea8db81fd2ce8,,,,,
SPCAL-000011,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1010,2019,1,2019,2,1.0,1.0,1.0,1.0,0.999713567101511,SN7::L15-0571E-1075N_2287_3888_13::2019-01->2019-02::9976->9976::ea79c4603c818b79->ea79c4603c818b79,,,,,
SPCAL-000012,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1011,2019,2,2019,3,1.0,1.0,1.0,1.0,0.9997162764619321,SN7::L15-0571E-1075N_2287_3888_13::2019-02->2019-03::1172->1172::8a683b0094a69f5e->8a683b0094a69f5e,,,,,
SPCAL-000013,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1012,2019,3,2019,4,1.0,1.0,1.0,1.0,0.9997189936617993,SN7::L15-0571E-1075N_2287_3888_13::2019-03->2019-04::5415->5415::21fda0cc25189698->21fda0cc25189698,,,,,
SPCAL-000014,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1013,2019,4,2019,5,1.0,1.0,1.0,1.0,0.9997216641647347,SN7::L15-0571E-1075N_2287_3888_13::2019-04->2019-05::9754->9754::cf6518b30eff6355->cf6518b30eff6355,,,,,
SPCAL-000015,prospective_calibration_audit,L15-0571E-1075N_2287_3888_13,1014,2019,5,2019,6,1.0,1.0,1.0,1.0,0.9997243182668002,SN7::L15-0571E-1075N_2287_3888_13::2019-05->2019-06::9538->9538::236cac4ddcfa104a->236cac4ddcfa104a,,,,,
