alpha,seed,M,released,official_proxy_FTR,partial_UTR_seen_by_PARC,raw_topM_official_proxy_FTR,n_cal_blocks,n_nonempty_null_cal_blocks,p_min_effective,gamma,emax_effective,required_emax,max_observed_e,best_mass_ratio,tau_k,self_consistency_margin,empty_reason
0.1,0,25,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,10.0,8.670635121662734,0.554920647786415,,,resolution_below_required_emax
0.1,0,50,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,10.0,8.670635121662734,0.3649550608910415,,,resolution_below_required_emax
0.1,0,100,0,0.0,0.0,0.04,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,10.0,8.670635121662734,0.3649550608910415,,,resolution_below_required_emax
0.2,0,25,16,0.0,0.5625,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,5.0,8.670635121662734,1.10984129557283,7.8125,0.858135121662734,
0.2,0,50,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,5.0,8.670635121662734,0.729910121782083,,,insufficient_high_e_mass_for_uniform_scs
0.2,0,100,0,0.0,0.0,0.04,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,5.0,8.670635121662734,0.729910121782083,,,insufficient_high_e_mass_for_uniform_scs
0.1,1,25,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,10.0,8.670635121662734,0.29095750975053186,,,resolution_below_required_emax
0.1,1,50,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,10.0,8.670635121662734,0.29095750975053186,,,resolution_below_required_emax
0.1,1,100,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,10.0,8.670635121662734,0.29095750975053186,,,resolution_below_required_emax
0.2,1,25,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,5.0,8.670635121662734,0.5819150195010637,,,insufficient_high_e_mass_for_uniform_scs
0.2,1,50,0,0.0,0.0,0.0,110,110,0.009009009009009009,0.21233540443616755,8.670635121662734,5.0,8.670635121662734,0.5819150195010637,,,insufficient_high_e_mass_for_uniform_scs
