audit_id,sample_set,aoi,video_id,source_year,source_month,target_year,target_month,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,score,path_id,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
SPREL-000001,prospective_release_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470575080634,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::9229->9229::a34a1555144db390->a34a1555144db390,,,,,
SPREL-000002,prospective_release_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470548191608,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::7365->7365::f4335fd2ab7f5e60->f4335fd2ab7f5e60,,,,,
SPREL-000003,prospective_release_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470493730426,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::3153->3153::c4a3eedaabac82f1->c4a3eedaabac82f1,,,,,
SPREL-000004,prospective_release_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470482713632,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::9126->9126::b957665e272d31cf->b957665e272d31cf,,,,,
SPREL-000005,prospective_release_audit,L15-0595E-1278N_2383_3079_13,14023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999747044271966,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::737->737::3d7cfb3afa6eb185->3d7cfb3afa6eb185,,,,,
SPREL-000006,prospective_release_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470441174473,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2757->2757::e1a2bc12f8e8b775->e1a2bc12f8e8b775,,,,,
SPREL-000007,prospective_release_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470437542272,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::5634->5634::25725ea31186a999->25725ea31186a999,,,,,
SPREL-000008,prospective_release_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999747043190332,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::6161->6161::9840a8e6054dd586->9840a8e6054dd586,,,,,
SPREL-000009,prospective_release_audit,L15-0760E-0887N_3041_4643_13,11023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.999747043112069,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::9557->9557::78cda7a26ec266f7->78cda7a26ec266f7,,,,,
SPREL-000010,prospective_release_audit,L15-0586E-1127N_2345_3680_13,4023,2019,12,2020,1,1.0,1.0,1.0,1.0,0.9997470413461251,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2042->2042::b78c91d77b168233->b78c91d77b168233,,,,,
