domain,proposal_source,sensitivity,rho,observed_positive_strategy,alpha,M,seeds,nonempty_seeds,released_mean,released_min,released_max,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topM_actual_FTR_mean,max_observed_e_mean,required_e,best_mass_ratio_mean,dominant_empty_reason,result_status,interpretation
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.1,10,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.76,9.804598402757112,10.0,0.23877413630399205,observed_e_below_required_emax,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.1,25,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.79,9.804598402757112,10.0,0.1273890778500645,observed_e_below_required_emax,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.1,50,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.808,9.804598402757112,10.0,0.07721563821154176,observed_e_below_required_emax,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.1,75,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.808,9.804598402757112,10.0,0.0621919768618589,observed_e_below_required_emax,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.1,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.8074999999999999,9.804598402757112,10.0,0.056251337105283405,observed_e_below_required_emax,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.1,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.7966666666666666,9.804598402757112,10.0,0.03940105487540136,observed_e_below_required_emax,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.2,10,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.76,9.804598402757112,5.0,0.4775482726079841,insufficient_high_e_mass_for_uniform_scs,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.2,25,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.79,9.804598402757112,5.0,0.25477815570012907,insufficient_high_e_mass_for_uniform_scs,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.2,50,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.808,9.804598402757112,5.0,0.1544312764230836,insufficient_high_e_mass_for_uniform_scs,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.2,75,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.808,9.804598402757112,5.0,0.12438395372371787,insufficient_high_e_mass_for_uniform_scs,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.2,100,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.8074999999999999,9.804598402757112,5.0,0.1125026742105669,insufficient_high_e_mass_for_uniform_scs,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
biomedical_cell_tracking,random_score_negative_control,destroyed_learned_ranking,0.1,top_score,0.2,300,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.7966666666666666,9.804598402757112,5.0,0.07880210975080276,insufficient_high_e_mass_for_uniform_scs,certified_refusal,PARC refuses random ranking despite high raw top-K false-link rates.
