panel,group,metric,value,unit,display_label
a_materials_followup,ALIGNN K=500,raw_unstable,163.45,unstable candidates per seed,Raw top-K unstable
a_materials_followup,ALIGNN K=500,parc_unstable,5.15,unstable candidates per seed,PARC unstable
a_materials_followup,ALIGNN K=500,prevented_unstable,158.3,unstable candidates per seed,Prevented
a_materials_followup,ALIGNN K=5000,raw_unstable,2577.4,unstable candidates per seed,Raw top-K unstable
a_materials_followup,ALIGNN K=5000,parc_unstable,0.0,unstable candidates per seed,PARC unstable
a_materials_followup,ALIGNN K=5000,prevented_unstable,2577.4,unstable candidates per seed,Prevented
b_materials_model_zoo,ALIGNN-FF,K=100,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,ALIGNN-FF,K=300,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,ALIGNN-FF,K=500,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,ALIGNN-FF,K=1000,15.0,non-empty seeds out of 20,boundary_or_partial_release
b_materials_model_zoo,ALIGNN-FF,K=5000,0.0,non-empty seeds out of 20,certified_refusal_or_low_power
b_materials_model_zoo,CGCNN 10-member ensemble,K=100,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,CGCNN 10-member ensemble,K=300,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,CGCNN 10-member ensemble,K=500,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,CGCNN 10-member ensemble,K=1000,16.0,non-empty seeds out of 20,boundary_or_partial_release
b_materials_model_zoo,CGCNN 10-member ensemble,K=5000,0.0,non-empty seeds out of 20,certified_refusal_or_low_power
b_materials_model_zoo,MEGNet,K=100,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,MEGNet,K=300,20.0,non-empty seeds out of 20,boundary_or_partial_release
b_materials_model_zoo,MEGNet,K=500,20.0,non-empty seeds out of 20,certified_release_low_FTR
b_materials_model_zoo,MEGNet,K=1000,16.0,non-empty seeds out of 20,boundary_or_partial_release
b_materials_model_zoo,MEGNet,K=5000,0.0,non-empty seeds out of 20,certified_refusal_or_low_power
c_ctc_lineage,Noisy geometric K=5000,raw_false_links,2907.5,false links per seed,Raw false lineage edges
c_ctc_lineage,Noisy geometric K=5000,prevented_false_links,2907.5,false links per seed,Prevented false lineage edges
c_ctc_lineage,Noisy geometric K=5000,component_corruption_proxy,6899.6,component-corruption proxy per seed,Prevented component-corruption proxy
c_ctc_lineage,Random-score K=5000,raw_false_links,3997.05,false links per seed,Raw false lineage edges
c_ctc_lineage,Random-score K=5000,prevented_false_links,3997.05,false links per seed,Prevented false lineage edges
c_ctc_lineage,Random-score K=5000,component_corruption_proxy,8636.95,component-corruption proxy per seed,Prevented component-corruption proxy
d_spacenet_map,Geometry K=5000,raw_false_persistence_links,9.0,false persistence links,Raw false persistence links
d_spacenet_map,Geometry K=5000,false_persistence_chain_proxy,0.0,false chain proxy,False chain proxy
d_spacenet_map,Randomized K=5000,raw_false_persistence_links,3381.0,false persistence links,Raw false persistence links
d_spacenet_map,Randomized K=5000,false_persistence_chain_proxy,3381.0,false chain proxy,False chain proxy
