domain,dataset,unit,proposal_source,model_family,verification_mode,block_definition,rho,alpha,K,seed,released,PARC_FTR,raw_topK_FTR,raw_topR_FTR,raw_only_tail_FTR,raw_unstable_count,PARC_unstable_count,prevented_unstable_followups,DFT_efficiency,raw_DFT_efficiency,max_observed_e,required_e,best_mass_ratio,self_consistency_margin,block_coverage,evidence_status
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,100,0,100,0.06,0.06,0.06,0.0,6,6,0,0.94,0.94,164.60714181580366,10.0,8.888785658053399,19.80583811480544,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,300,0,102,0.06862745098039216,0.29,0.06862745098039216,0.40404040404040403,87,7,80,0.9313725490196079,0.71,164.60714181580366,10.0,2.962928552684466,0.39407340892308795,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,500,0,61,0.01639344262295082,0.362,0.01639344262295082,0.41002277904328016,181,1,180,0.9836065573770492,0.638,164.60714181580366,10.0,1.7777571316106795,7.587914928194081,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,1000,0,0,0.0,0.415,0.0,0.415,415,0,415,0.0,0.585,164.60714181580366,10.0,0.8888785658053397,-8.058864935633773,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,5000,0,0,0.0,0.4006,0.0,0.4006,2003,0,2003,0.0,0.5994,164.60714181580366,10.0,0.17777571316106797,-9.638678437144307,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,100,0,100,0.06,0.06,0.06,0.0,6,6,0,0.94,0.94,164.60714181580366,5.0,17.777571316106798,24.80583811480544,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,300,0,150,0.16666666666666666,0.29,0.16666666666666666,0.41333333333333333,87,25,62,0.8333333333333334,0.71,164.60714181580366,5.0,5.925857105368932,0.10127447585055016,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,500,0,121,0.15702479338842976,0.362,0.15702479338842976,0.42744063324538256,181,19,162,0.8429752066115702,0.638,164.60714181580366,5.0,3.555514263221359,1.1294682789310713,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,1000,0,61,0.01639344262295082,0.415,0.01639344262295082,0.44089456869009586,415,1,414,0.9836065573770492,0.585,164.60714181580366,5.0,1.7777571316106795,7.587914928194081,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,5000,0,0,0.0,0.4006,0.0,0.4006,2003,0,2003,0.0,0.5994,164.60714181580366,5.0,0.35555142632213593,-4.638678437144306,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,100,1,100,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,164.60714181580366,10.0,16.460714181580364,154.60714181580366,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,300,1,211,0.10426540284360189,0.21666666666666667,0.10426540284360189,0.48314606741573035,65,22,43,0.8957345971563981,0.7833333333333333,164.60714181580366,10.0,6.035595199912801,1.0446442218877916,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,500,1,176,0.03977272727272727,0.338,0.03977272727272727,0.5,169,7,162,0.9602272727272727,0.662,164.60714181580366,10.0,3.6213571199476804,1.396747205714533,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,1000,1,121,0.008264462809917356,0.435,0.008264462809917356,0.4937428896473265,435,1,434,0.9917355371900827,0.565,164.60714181580366,10.0,1.8106785599738402,6.910499943774624,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,5000,1,0,0.0,0.4248,0.0,0.4248,2124,0,2124,0.0,0.5752,164.60714181580366,10.0,0.3621357119947681,-9.59643245483601,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,100,1,100,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,164.60714181580366,5.0,32.92142836316073,159.60714181580366,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,300,1,300,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.0,65,65,0,0.7833333333333333,0.7833333333333333,164.60714181580366,5.0,12.071190399825602,2.846167941986419,0.9962018448182312,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,cgcnn_ensemble_learned_materials_model,CGCNN 10-member ensemble,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,500,1,285,0.2,0.338,0.2,0.5209302325581395,169,57,112,0.8,0.662,164.60714181580366,5.0,7.242714239895361,0.05043288165220616,0.9962018448182312,completed_public_DFT_label_followup
