claim_id,exact_manuscript_sentence,manuscript_role,evidence_state,completed_artifact,source_sha256,evidence_completed,claim_boundary
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K100,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K300,"In materials fixed-budget public-label replay, the ALIGNN-FF K=300 request prevented 64.25 unstable follow-ups on average while keeping the PARC FTR at 0.087.",primary_headline,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K500,"In materials fixed-budget public-label replay, the ALIGNN-FF K=500 request prevented 158.30 unstable follow-ups on average while keeping the PARC FTR at 0.048.",primary_headline,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K1000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.1_K5000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K100,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K300,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K500,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K1000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_alignn_ff_modern_learned_materials_model_alpha0.2_K5000,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K100,,calibration_check,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K300,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
materials_cgcnn_ensemble_learned_materials_model_alpha0.1_K500,,secondary_support,completed_public_label_utility_evidence,outputs/milestones/materials_fixed_budget_scientific_utility/table_materials_fixed_budget_lead_numbers.csv,a22c20c573411b5b85308198c6142d2923e1aac348af35efe75847e70ea6d52a,True,utility under public labels; not prospective discovery
