dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path
TAO,2297,ovtb_v2297_p001228,guitar,531,0.827917184148516,0.827917184148516,0.827917184148516,7,0.8571428571428571,,0.0,0.0,True,cat:531,unknown,guitar,unknown,global,180,1350,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v2297_p001228.jpg
TAO,2112,ovtb_v2112_p001119,guitar,531,0.7392801443735758,0.7392801443735758,0.7392801443735758,3,0.6666666666666666,,0.0,0.0,True,cat:531,unknown,guitar,unknown,global,1680,2010,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v2112_p001119.jpg
TAO,2112,ovtb_v2112_p001111,guitar,531,0.7367216944694519,0.7367216944694519,0.7367216944694519,3,0.6666666666666666,,0.0,0.0,True,cat:531,unknown,guitar,unknown,global,840,1170,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v2112_p001111.jpg
TAO,5668,ovtb_v5668_p004122,automatic washer,1182,0.7984659820795059,0.7984659820795059,0.7984659820795059,8,0.875,33867,0.3424561208299733,0.0,True,cat:1182,unknown,automatic washer,unknown,global,0,1080,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v5668_p004122.jpg
TAO,1414,ovtb_v1414_p000718,curtain,352,0.7817050293087959,0.7817050293087959,0.7817050293087959,8,0.875,,0.0,0.0,True,cat:352,unknown,curtain,unknown,global,0,775,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v1414_p000718.jpg
TAO,1414,ovtb_v1414_p000719,curtain,352,0.34542200714349747,0.34542200714349747,0.34542200714349747,4,0.75,9292,0.37825522281171614,0.0,True,cat:352,unknown,curtain,unknown,global,225,675,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v1414_p000719.jpg
TAO,4431,ovtb_v4431_p002875,cellular telephone,235,0.7521933913230896,0.7521933913230896,0.7521933913230896,2,0.5,27086,0.3595338782156004,0.0,True,cat:235,unknown,cellular telephone,unknown,global,1104,1224,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v4431_p002875.jpg
TAO,5886,ovtb_v5886_p004364,cellular telephone,235,0.4834175258874893,0.4834175258874893,0.4834175258874893,4,0.75,34821,0.4057453305391086,0.0,True,cat:235,unknown,cellular telephone,unknown,global,0,510,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v5886_p004364.jpg
TAO,4431,ovtb_v4431_p002873,cellular telephone,235,0.4026772777239482,0.4026772777239482,0.4026772777239482,3,0.6666666666666666,,0.0,0.0,True,cat:235,unknown,cellular telephone,unknown,global,432,696,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v4431_p002873.jpg
TAO,4624,ovtb_v4624_p003063,cellular telephone,235,0.3994510918855667,0.3994510918855667,0.3994510918855667,2,0.5,,0.0,0.0,True,cat:235,unknown,cellular telephone,unknown,global,1200,1380,,/home/waas/paper_experiments/outputs/phase3_tao_full/shards/shard_00/audit_viewer/montages/ovtb_v4624_p003063.jpg
