dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
TAO,4971,ovtb_v4971_p003485,,giraffe,502,0.9436233043670654,0.9436233043670654,0.9436233043670654,3,0.6666666666666666,600,930,3,1,False,30086,0.9865034954893126,1.0,3,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy
TAO,1659,ovtb_v1659_p000804,,giraffe,502,0.9294925928115845,0.9294925928115845,0.9294925928115845,6,0.8333333333333334,210,1380,6,2,False,10796,0.9575246829986904,1.0,6,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy
TAO,5694,ovtb_v5694_p004140,,bottle,133,0.9269163608551025,0.9269163608551025,0.9269163608551025,1,0.0,391,391,1,3,False,33987,0.9802709193619611,1.0,1,True,False,,no,cat:133,unknown,bottle,unknown,global,0,final_score_proxy
TAO,3506,ovtb_v3506_p002220,,baby,805,0.9240887335368565,0.9240887335368565,0.9240887335368565,7,0.8571428571428571,660,1830,7,4,False,20959,0.9914643565129747,1.0,7,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
TAO,1955,ovtb_v1955_p000996,,dog,382,0.9234456817309061,0.9234456817309061,0.9234456817309061,3,0.6666666666666666,390,1560,3,5,False,12325,0.9834812432813633,1.0,3,True,False,,no,cat:382,unknown,dog,unknown,global,0,final_score_proxy
TAO,1659,ovtb_v1659_p000806,,giraffe,502,0.9226021468639374,0.9226021468639374,0.9226021468639374,4,0.75,390,1380,4,6,False,10796,0.953513140768539,1.0,4,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy
TAO,2339,ovtb_v2339_p001242,,baby,805,0.9208633899688721,0.9208633899688721,0.9208633899688721,2,0.5,630,1110,2,7,False,14240,0.9635997545232002,1.0,2,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
TAO,2488,ovtb_v2488_p001328,,turtle,1152,0.9162839651107788,0.9162839651107788,0.9162839651107788,3,0.6666666666666666,1050,1380,3,8,False,14973,0.9871013317641264,1.0,3,True,False,,no,cat:1152,unknown,turtle,unknown,global,0,final_score_proxy
TAO,1955,ovtb_v1955_p000998,,dog,382,0.9153846502304077,0.9153846502304077,0.9153846502304077,1,0.0,720,720,1,9,False,12325,0.96844879707365,1.0,1,True,False,,no,cat:382,unknown,dog,unknown,global,0,final_score_proxy
TAO,4971,ovtb_v4971_p003486,,giraffe,502,0.9151294231414795,0.9151294231414795,0.9151294231414795,1,0.0,1260,1260,1,10,False,30086,0.977860134716437,1.0,1,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy
TAO,4151,ovtb_v4151_p002662,,baby,805,0.9132193326950073,0.9132193326950073,0.9132193326950073,1,0.0,1290,1290,1,11,False,25364,0.9846488564141568,1.0,1,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
TAO,1955,ovtb_v1955_p000997,,dog,382,0.9098915755748749,0.9098915755748749,0.9098915755748749,2,0.5,570,1230,2,12,False,12325,0.9787775781769704,1.0,2,True,False,,no,cat:382,unknown,dog,unknown,global,0,final_score_proxy
TAO,4935,ovtb_v4935_p003428,,baby,805,0.9069300889968872,0.9069300889968872,0.9069300889968872,1,0.0,1230,1230,1,13,False,29888,0.9869143324265347,1.0,1,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
TAO,1935,ovtb_v1935_p000977,,baby,805,0.905537337064743,0.905537337064743,0.905537337064743,8,0.875,360,1530,8,14,False,12209,0.98526699506683,1.0,8,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
TAO,4935,ovtb_v4935_p003432,,skateboard,980,0.9049566388130188,0.9049566388130188,0.9049566388130188,1,0.0,1230,1230,1,15,False,29889,0.9629299013255094,1.0,1,True,False,,no,cat:980,unknown,skateboard,unknown,global,0,final_score_proxy
TAO,5976,ovtb_v5976_p004477,,water bottle,1184,0.904356986284256,0.904356986284256,0.904356986284256,2,0.5,221,357,2,16,False,35238,0.9532134889395073,1.0,2,True,False,,no,cat:1184,unknown,water bottle,unknown,global,0,final_score_proxy
TAO,5976,ovtb_v5976_p004478,,water bottle,1184,0.9043059945106506,0.9043059945106506,0.9043059945106506,1,0.0,289,289,1,17,False,35238,0.9348776825252585,1.0,1,True,False,,no,cat:1184,unknown,water bottle,unknown,global,0,final_score_proxy
TAO,4971,ovtb_v4971_p003487,,giraffe,502,0.9021729230880737,0.9021729230880737,0.9021729230880737,1,0.0,1440,1440,1,18,False,30086,0.9907966255888413,1.0,1,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy
TAO,4971,ovtb_v4971_p003482,,giraffe,502,0.9007627964019775,0.9007627964019775,0.9007627964019775,2,0.5,450,1110,2,19,False,30086,0.9857441121785379,1.0,2,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy
TAO,1955,ovtb_v1955_p000999,,dog,382,0.9001098275184631,0.9001098275184631,0.9001098275184631,1,0.0,1050,1050,1,20,False,12325,0.9586754731879865,1.0,1,True,False,,no,cat:382,unknown,dog,unknown,global,0,final_score_proxy
TAO,4135,ovtb_v4135_p002650,,baby,805,0.8979674130678177,0.8979674130678177,0.8979674130678177,8,0.875,25,1000,8,21,False,25272,0.9908536472570905,1.0,8,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
TAO,4773,ovtb_v4773_p003221,,surfboard,1057,0.8971291780471802,0.8971291780471802,0.8971291780471802,1,0.0,330,330,1,22,False,29056,0.46703024897528306,0.0,0,False,True,,no,cat:1057,unknown,surfboard,unknown,global,0,final_score_proxy
TAO,4941,ovtb_v4941_p003439,,skateboard,980,0.8949126899242401,0.8949126899242401,0.8949126899242401,2,0.5,150,1140,2,23,False,29929,0.9695348103849768,1.0,2,True,False,,no,cat:980,unknown,skateboard,unknown,global,0,final_score_proxy
TAO,4773,ovtb_v4773_p003214,,baby,805,0.8945517539978027,0.8945517539978027,0.8945517539978027,1,0.0,150,150,1,24,False,29055,0.9362449967136768,1.0,1,True,False,,no,cat:805,unknown,baby,unknown,global,0,final_score_proxy
