dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
BURST,1513,ovtb_v1513_p007933,,,,,,
BURST,1513,ovtb_v1513_p007935,,,,,,
BURST,1513,ovtb_v1513_p007934,,,,,,
BURST,1531,ovtb_v1531_p007657,,,,,,
BURST,1531,ovtb_v1531_p007655,,,,,,
BURST,1505,ovtb_v1505_p007882,,,,,,
BURST,1505,ovtb_v1505_p007885,,,,,,
BURST,1505,ovtb_v1505_p007886,,,,,,
BURST,1531,ovtb_v1531_p007661,,,,,,
BURST,1785,ovtb_v1785_p008628,,,,,,
BURST,1819,ovtb_v1819_p008734,,,,,,
BURST,1680,ovtb_v1680_p008075,,,,,,
BURST,1680,ovtb_v1680_p008077,,,,,,
BURST,1680,ovtb_v1680_p008076,,,,,,
BURST,1761,ovtb_v1761_p008851,,,,,,
BURST,1626,ovtb_v1626_p007955,,,,,,
BURST,2085,ovtb_v2085_p009863,,,,,,
BURST,1762,ovtb_v1762_p008735,,,,,,
BURST,1762,ovtb_v1762_p008706,,,,,,
BURST,1762,ovtb_v1762_p008720,,,,,,
BURST,1762,ovtb_v1762_p008755,,,,,,
BURST,1762,ovtb_v1762_p008707,,,,,,
BURST,1762,ovtb_v1762_p008721,,,,,,
BURST,2327,ovtb_v2327_p010399,,,,,,
BURST,1649,ovtb_v1649_p007282,,,,,,
BURST,1649,ovtb_v1649_p007284,,,,,,
BURST,1649,ovtb_v1649_p007281,,,,,,
BURST,1854,ovtb_v1854_p007846,,,,,,
BURST,1771,ovtb_v1771_p008596,,,,,,
BURST,1331,ovtb_v1331_p006492,,,,,,
BURST,2410,ovtb_v2410_p010934,,,,,,
BURST,1787,ovtb_v1787_p008811,,,,,,
BURST,1771,ovtb_v1771_p008608,,,,,,
BURST,2610,ovtb_v2610_p011389,,,,,,
BURST,2410,ovtb_v2410_p010936,,,,,,
BURST,840,ovtb_v840_p003666,,,,,,
BURST,2539,ovtb_v2539_p011216,,,,,,
BURST,2094,ovtb_v2094_p009038,,,,,,
BURST,2125,ovtb_v2125_p010242,,,,,,
BURST,2499,ovtb_v2499_p011119,,,,,,
BURST,2125,ovtb_v2125_p010239,,,,,,
BURST,2125,ovtb_v2125_p010250,,,,,,
BURST,2125,ovtb_v2125_p010241,,,,,,
BURST,2125,ovtb_v2125_p010238,,,,,,
BURST,2125,ovtb_v2125_p010243,,,,,,
BURST,2094,ovtb_v2094_p009039,,,,,,
BURST,2125,ovtb_v2125_p010245,,,,,,
BURST,1891,ovtb_v1891_p009414,,,,,,
BURST,1891,ovtb_v1891_p009395,,,,,,
BURST,1936,ovtb_v1936_p009414,,,,,,
BURST,2492,ovtb_v2492_p010992,,,,,,
BURST,1936,ovtb_v1936_p009405,,,,,,
BURST,2492,ovtb_v2492_p010997,,,,,,
BURST,2492,ovtb_v2492_p011004,,,,,,
BURST,1936,ovtb_v1936_p009410,,,,,,
BURST,2492,ovtb_v2492_p010998,,,,,,
BURST,2492,ovtb_v2492_p010995,,,,,,
BURST,2281,ovtb_v2281_p010215,,,,,,
BURST,1175,ovtb_v1175_p006524,,,,,,
BURST,2281,ovtb_v2281_p010218,,,,,,
BURST,1175,ovtb_v1175_p006523,,,,,,
BURST,1175,ovtb_v1175_p006528,,,,,,
