dataset,generator,alpha1,seed,candidate_budget_M,strategy,max_observed_e_reference,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec
OVT-B,GroundingDINO,0.05,0,150,coverage_conditional_parc,38.546439933685846,0,0,0,0.0,,,0.0,0.0
OVT-B,GroundingDINO,0.05,1,150,coverage_conditional_parc,37.20674236442314,148,144,4,0.02702702702702703,,0.02702702702702703,0.9866666666666667,0.0
OVT-B,GroundingDINO,0.05,2,150,coverage_conditional_parc,37.44649344759844,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,0.1,0,150,coverage_conditional_parc,38.546439933685846,105,103,2,0.01904761904761905,,0.01904761904761905,0.7,0.0
OVT-B,GroundingDINO,0.1,1,150,coverage_conditional_parc,37.20674236442314,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,0.1,2,150,coverage_conditional_parc,37.44649344759844,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,0.15,0,150,coverage_conditional_parc,38.546439933685846,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,0.15,1,150,coverage_conditional_parc,37.20674236442314,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,0.15,2,150,coverage_conditional_parc,37.44649344759844,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,0.2,0,150,coverage_conditional_parc,38.546439933685846,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,0.2,1,150,coverage_conditional_parc,37.20674236442314,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,0.2,2,150,coverage_conditional_parc,37.44649344759844,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,0.25,0,150,coverage_conditional_parc,38.546439933685846,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,0.25,1,150,coverage_conditional_parc,37.20674236442314,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
OVT-B,GroundingDINO,0.25,2,150,coverage_conditional_parc,37.44649344759844,150,147,3,0.02,,0.02,1.0,0.0
OVT-B,GroundingDINO,0.3,0,150,coverage_conditional_parc,38.546439933685846,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
