dataset,score_variant,alpha1,released_mean,nonempty_rate,utr_mean,conservative_ftr_mean,margin_mean
OVT-B,detector_association,0.1,150.0,1.0,0.0044444444444444,0.0044444444444444,8.912558538832371
OVT-B,detector_association,0.2,150.0,1.0,0.0044444444444444,0.0044444444444444,13.912558538832371
OVT-B,detector_only,0.1,135.0,1.0,0.021904761904761868,0.012063492063492033,5.480572478786656
OVT-B,detector_only,0.2,150.0,1.0,0.019999999999999966,0.011111111111111066,10.12947452118192
OVT-B,detector_temporal,0.1,150.0,1.0,0.0044444444444444,0.0044444444444444,8.912558538832371
OVT-B,detector_temporal,0.2,150.0,1.0,0.0044444444444444,0.0044444444444444,13.912558538832371
OVT-B,weighted_components,0.1,150.0,1.0,0.0044444444444444,0.0044444444444444,8.912558538832371
OVT-B,weighted_components,0.2,150.0,1.0,0.0044444444444444,0.0044444444444444,13.912558538832371
TAO,detector_association,0.1,150.0,1.0,0.006666666666666601,0.0022222222222222,3.439604111400662
TAO,detector_association,0.2,150.0,1.0,0.006666666666666601,0.0022222222222222,8.439604111400662
TAO,detector_only,0.1,0.0,0.0,0.0,,
TAO,detector_only,0.2,147.33333333333334,1.0,0.024569640062597764,0.017777777777777733,0.5994989182711778
TAO,detector_temporal,0.1,126.0,1.0,0.0022222222222222,0.0022222222222222,1.600118890502009
TAO,detector_temporal,0.2,150.0,1.0,0.0022222222222222,0.0022222222222222,4.475982650213989
TAO,weighted_components,0.1,146.0,1.0,0.011388888888888832,0.0023148148148148,0.26703601659264403
TAO,weighted_components,0.2,150.0,1.0,0.0133333333333333,0.0022222222222222,4.336249269181404
