method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,dataset,score_variant
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,10.0,True,38.546439933685846,18.6686405303884,150,150.0,0.0,105,103,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.019047619047619,0.0,0.0,0.0095238095238095,0.7,67.0,2391.0,14.285714285714286,0.9180776513198196,105.0,14.285714285714286,0.9180776513198196,15.203791937034106,22.304934535929057,38.546439933685846,,,0,certified_or_core_baseline,,,OVT-B,detector_only
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,655.0,327.0,655.0,655.0,655.0,327.0,0.0,0.1541744080264767,0.1541744080264767,0.0010172939979654,0.0015243902439024,0.0015243902439024,52.38303295760676,37.20674236442314,10.0,True,37.20674236442314,23.262240544677287,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,77.0,2191.0,10.0,4.691301762277799,148.0,10.135135135135137,10.566410521565524,14.6913017622778,23.262240544677287,37.20674236442314,,,1,certified_or_core_baseline,,,OVT-B,detector_only
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,660.0,322.0,660.0,660.0,660.0,322.0,0.0,0.1539941341575152,0.1539941341575152,0.0010172939979654,0.0015128593040847,0.0015128593040847,52.38681658022706,37.44649344759844,10.0,True,37.44649344759844,33.68061821796893,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,67.0,2370.0,10.0,10.83233802276235,116.0,12.93103448275862,24.515458964839823,20.83233802276235,33.68061821796893,37.44649344759844,,,2,certified_or_core_baseline,,,OVT-B,detector_only
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,5.0,True,38.546439933685846,18.6686405303884,150,150.0,0.0,150,148,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0133333333333333,0.0,0.0,0.0066666666666666,1.0,67.0,2391.0,5.0,4.864783778505613,73.0,10.273972602739724,11.158300708238848,9.864783778505611,18.6686405303884,38.546439933685846,,,0,certified_or_core_baseline,,,OVT-B,detector_only
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,655.0,327.0,655.0,655.0,655.0,327.0,0.0,0.1541744080264767,0.1541744080264767,0.0010172939979654,0.0015243902439024,0.0015243902439024,52.38303295760676,37.20674236442314,5.0,True,37.20674236442314,23.262240544677287,150,150.0,0.0,150,146,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0266666666666666,0.0,0.0,0.02,1.0,77.0,2191.0,5.0,9.6913017622778,148.0,5.067567567567568,15.633978089133093,14.6913017622778,23.262240544677287,37.20674236442314,,,1,certified_or_core_baseline,,,OVT-B,detector_only
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,660.0,322.0,660.0,660.0,660.0,322.0,0.0,0.1539941341575152,0.1539941341575152,0.0010172939979654,0.0015128593040847,0.0015128593040847,52.38681658022706,37.44649344759844,5.0,True,37.44649344759844,33.68061821796893,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,67.0,2370.0,5.0,15.83233802276235,116.0,6.46551724137931,30.980976206219133,20.83233802276235,33.68061821796893,37.44649344759844,,,2,certified_or_core_baseline,,,OVT-B,detector_only
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,10.0,True,38.546439933685846,25.516835313021303,150,150.0,0.0,150,150,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,2391.0,10.0,5.203791937034106,58.0,25.86206896551724,12.684370968168608,15.203791937034106,25.516835313021303,38.546439933685846,,,0,certified_or_core_baseline,,,OVT-B,detector_temporal
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,655.0,327.0,655.0,655.0,655.0,327.0,0.0,0.1541744080264767,0.1541744080264767,0.0010172939979654,0.0015243902439024,0.0015243902439024,52.38303295760676,37.20674236442314,10.0,True,37.20674236442314,32.475252641542696,150,150.0,0.0,150,149,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0066666666666666,0.0,0.0,0.0066666666666666,1.0,77.0,2191.0,10.0,10.70154565670066,107.0,14.018691588785046,23.188050775638096,20.70154565670066,32.475252641542696,37.20674236442314,,,1,certified_or_core_baseline,,,OVT-B,detector_temporal
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,982.0,660.0,322.0,660.0,660.0,660.0,322.0,0.0,0.1539941341575152,0.1539941341575152,0.0010172939979654,0.0015128593040847,0.0015128593040847,52.38681658022706,37.44649344759844,10.0,True,37.44649344759844,34.677467543459095,150,150.0,0.0,150,149,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0066666666666666,,0.0,0.0066666666666666,1.0,67.0,2370.0,10.0,10.83233802276235,125.0,12.0,25.44649344759844,20.83233802276235,34.677467543459095,37.44649344759844,,,2,certified_or_core_baseline,,,OVT-B,detector_temporal
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.2,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,5.0,True,38.546439933685846,25.516835313021303,150,150.0,0.0,150,150,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,2391.0,5.0,10.203791937034106,58.0,12.93103448275862,25.615405450927227,15.203791937034106,25.516835313021303,38.546439933685846,,,0,certified_or_core_baseline,,,OVT-B,detector_temporal
