panel,domain,dataset,proposal_source,alpha,K,method,mean_release,release_rate,FTR_mean,empirical_FTR_mean,seeds,source_artifact,source_sha256,evidence_status,claim_boundary,method_family,certificate_type,uses_null_superset,uses_SCS_denominator,respects_compatibility,deployable,target_object,false_followups_mean,prevented_unstable_followups_mean,is_parc_certificate,has_full_release_certificate,false_count_mean
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Fixed score threshold,150.0,1.0,0.042222222222222196,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,fixed threshold,empirical_filter,False,False,False,True,score threshold,,,False,False,6.3333333333333295
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Full PARC,100.0,0.6666666666666666,0.04,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,4.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Oracle true upper bound,100.0,0.6666666666666666,0.0,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,oracle prefix,non_deployable_oracle,False,False,False,False,full-label oracle diagnostic,,,False,False,0.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Per-generator calibrated score threshold,150.0,1.0,0.042222222222222196,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,calibrated threshold,threshold_policy,False,False,False,True,calibrated score threshold,,,False,False,6.3333333333333295
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Post-filter e-value threshold,100.0,0.6666666666666666,0.04,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,4.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Raw top-M,150.0,1.0,0.042222222222222196,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,6.3333333333333295
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,Split conformal p-value threshold,150.0,1.0,0.042222222222222196,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,split conformal candidate threshold,different_target,False,False,False,True,candidate-level threshold,,,False,False,6.3333333333333295
visual_full_baseline_matrix,visual_scientific_audit,BURST,GroundingDINO,0.1,150,e-BH style selection,150.0,1.0,0.042222222222222196,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,e-BH-style,different_target,True,False,False,True,e-value multiple testing,,,False,False,6.3333333333333295
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Fixed score threshold,150.0,1.0,0.9666666666666667,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,fixed threshold,empirical_filter,False,False,False,True,score threshold,,,False,False,145.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Full PARC,0.0,0.0,,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,PARC,set_level_release_certificate,True,True,True,True,finite compatible release set,,,True,True,
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Oracle true upper bound,0.0,0.0,0.0,0.0,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,oracle prefix,non_deployable_oracle,False,False,False,False,full-label oracle diagnostic,,,False,False,0.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Per-generator calibrated score threshold,150.0,1.0,0.9666666666666667,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,calibrated threshold,threshold_policy,False,False,False,True,calibrated score threshold,,,False,False,145.0
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Post-filter e-value threshold,0.0,0.0,,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,post-filter e-value,missing_SCS_denominator,True,False,False,True,candidate e-value filter,,,False,False,
visual_full_baseline_matrix,visual_scientific_audit,BURST,OWLv2,0.1,150,Raw top-M,150.0,1.0,0.9666666666666667,,3,outputs/milestones/reliability_fortress/paper_tables/table_baseline_comparison.csv,76e21fab80a6dbc009fd5974e69317f90895f7694d320b47626ecd996da2548e,completed_empirical_baseline_matrix,visual empirical baseline frontier; target-object differences remain explicit,raw top-K,no_certificate,False,False,False,True,ranked prefix,,,False,False,145.0
