dataset,generator,policy,certified_risk_level_alpha,M,metric,seed_count,mean,ci_low_95,ci_high_95,ci_status,statistical_reporting_note
BURST,GroundingDINO,Fixed score threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Fixed score threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.042222222222222196,0.04,0.0466666666666666,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Full PARC,0.1,150,released,3,100.0,0.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Full PARC,0.1,150,conservative_label_uncertainty_FTR,3,0.04,0.04,0.04,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Full PARC,0.1,150,mass_ratio,3,3.8108891218464067,-2.0774425199498765,9.611765316197866,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Oracle true upper bound,0.1,150,released,3,100.0,0.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Oracle true upper bound,0.1,150,empirical_audited_FTR,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Oracle true upper bound,0.1,150,conservative_label_uncertainty_FTR,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,PARC certified release,0.1,150,released,3,100.0,0.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,PARC certified release,0.1,150,conservative_label_uncertainty_FTR,3,0.04,0.04,0.04,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,PARC certified release,0.1,150,mass_ratio,3,1.2700196240863544,0.7922557480050122,1.6279686673249272,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Per-generator calibrated score threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Per-generator calibrated score threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.042222222222222196,0.04,0.0466666666666666,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Post-filter e-value threshold,0.1,150,released,3,100.0,0.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Post-filter e-value threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.04,0.04,0.04,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Raw top-M,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Raw top-M,0.1,150,conservative_label_uncertainty_FTR,3,0.042222222222222196,0.04,0.0466666666666666,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Raw top-M/no risk,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Split conformal p-value threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,Split conformal p-value threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.042222222222222196,0.04,0.0466666666666666,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,e-BH style selection,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,GroundingDINO,e-BH style selection,0.1,150,conservative_label_uncertainty_FTR,3,0.042222222222222196,0.04,0.0466666666666666,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Fixed score threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Fixed score threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.9666666666666667,0.96,0.98,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Full PARC,0.1,150,released,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Full PARC,0.1,150,mass_ratio,3,-9.267135971150855,-9.399456550072516,-9.168466608399822,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Oracle true upper bound,0.1,150,released,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Oracle true upper bound,0.1,150,empirical_audited_FTR,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Oracle true upper bound,0.1,150,conservative_label_uncertainty_FTR,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,PARC certified release,0.1,150,released,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,PARC certified release,0.1,150,mass_ratio,3,0.07328640288491454,0.0600543449927483,0.0831533391600178,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Per-generator calibrated score threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Per-generator calibrated score threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.9666666666666667,0.96,0.98,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Post-filter e-value threshold,0.1,150,released,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Raw top-M,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Raw top-M,0.1,150,conservative_label_uncertainty_FTR,3,0.9666666666666667,0.96,0.98,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Raw top-M/no risk,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Split conformal p-value threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,Split conformal p-value threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.9666666666666667,0.96,0.98,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
BURST,OWLv2,e-BH style selection,0.1,150,released,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,GroundingDINO,PARC certified release,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,GroundingDINO,PARC certified release,0.1,150,conservative_label_uncertainty_FTR,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,GroundingDINO,PARC certified release,0.1,150,mass_ratio,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,GroundingDINO,PARC certified release,0.2,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,GroundingDINO,PARC certified release,0.2,150,conservative_label_uncertainty_FTR,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,GroundingDINO,PARC certified release,0.2,150,mass_ratio,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,OWLv2,PARC certified release,0.1,150,released,3,1.6666666666666667,0.0,3.3333333333333335,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,OWLv2,PARC certified release,0.1,150,conservative_label_uncertainty_FTR,3,0.19999999999999998,0.0,0.39999999999999997,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,OWLv2,PARC certified release,0.1,150,mass_ratio,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,OWLv2,PARC certified release,0.2,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,OWLv2,PARC certified release,0.2,150,conservative_label_uncertainty_FTR,3,0.5777777777777777,0.5644444444444444,0.5911111111111111,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVIS,OWLv2,PARC certified release,0.2,150,mass_ratio,3,0.0,0.0,0.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVVIS,GroundingDINO,Fixed score threshold,0.1,150,released,3,150.0,150.0,150.0,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
LVVIS,GroundingDINO,Fixed score threshold,0.1,150,conservative_label_uncertainty_FTR,3,0.011111111111111066,0.006666666666666601,0.02,current_completed_ci_not_30seed_final,bootstrap over completed seeds; refresh after 30-seed rerun
