domain,target_row,audit_policy,audit_budget_fraction,release_rate,safe_release_rate,mean_release,actual_FTR_mean,alpha,cost_per_true_release_mean,first_safe_release_budget_fraction
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.0,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.005,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.01,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.02,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.05,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.1,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.2,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,0.5,0.0,0.0,0.0,0.0,0.1,inf,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,random,1.0,1.0,1.0,100.0,0.0,0.1,722.995,1.0
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.0,0.0,0.0,0.0,0.0,0.1,inf,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.005,1.0,1.0,100.0,0.0,0.1,3.616,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.01,1.0,1.0,100.0,0.0,0.1,7.23,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.02,1.0,1.0,100.0,0.0,0.1,14.4595,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.05,1.0,1.0,100.0,0.0,0.1,36.149499999999996,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.1,1.0,1.0,100.0,0.0,0.1,72.2995,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.2,1.0,1.0,100.0,0.0,0.1,144.599,0.005
biomedical_cell_tracking,ctc_learned_strict_alpha010_K100,top_score,0.5,1.0,1.0,100.0,0.0,0.1,361.4975,0.005
