domain,dataset,unit,target_row,proposal_source,block_definition,alpha,K,audit_policy,audit_budget_fraction,seeds,non_empty_seeds,release_rate,safe_release_rate,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,alpha_violation_rate,refusal_rate,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,audit_candidates_inspected_mean,verified_positives_found_mean,verified_positive_yield_mean,cost_per_release_mean,cost_per_true_release_mean,dominant_empty_reason,evidence_status,paper_role,first_safe_release_budget_fraction
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.0,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04588400952452208,3.6049306125076703,10.0,1.0,0.0,0.0,0.0,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.005,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04591350417970878,3.6049306125076703,10.0,1.0,361.6,73.3,0.20234183669426908,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.01,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04600010540050208,3.6049306125076703,10.0,1.0,723.0,143.95,0.19834515486370252,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.02,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04639027220851025,3.6297686423251796,10.0,1.0,1445.95,289.1,0.1994802888940553,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.05,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04720592670944386,3.665605104290311,10.0,1.0,3614.95,718.5,0.19850033381681642,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.1,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04829681710364866,3.8856628097001717,10.0,1.0,7229.95,1437.6,0.1987096211464267,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.2,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.05118533334173029,4.162371061518941,10.0,1.0,14459.9,2882.25,0.19919863416671282,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,0.5,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.07120567082334897,6.51648396400397,10.0,1.0,36149.75,7217.85,0.19966046572457927,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,random,1.0,20,20,1.0,1.0,100.0,100,100,0.0,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,72299.5,14491.15,0.2004312475394454,722.995,722.995,,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,1.0
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,100,top_score,0.0,20,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.04588400952452208,3.6049306125076703,10.0,1.0,0.0,0.0,0.0,inf,inf,observed_e_below_required_emax,completed_simulated_audit_frontier,methodological_frontier_candidate_not_prospective_discovery,0.005
